date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-07-21T17:00:00+00:00,2023,1. Division,Denmark,Hillerød,0,4,HB Koge,Match Finished
2023-07-21T17:00:00+00:00,2023,1. Division,Denmark,Vendsyssel FF,1,1,Sonderjyske,Match Finished
2023-07-22T12:00:00+00:00,2023,1. Division,Denmark,B 93,0,3,Aalborg,Match Finished
2023-07-23T12:00:00+00:00,2023,1. Division,Denmark,FC Fredericia,0,2,Hobro,Match Finished
2023-07-23T12:00:00+00:00,2023,1. Division,Denmark,FC Helsingor,2,1,Naestved,Match Finished
2023-07-23T12:00:00+00:00,2023,1. Division,Denmark,Kolding IF,2,1,AC Horsens,Match Finished
2023-07-28T17:00:00+00:00,2023,1. Division,Denmark,HB Koge,3,1,Vendsyssel FF,Match Finished
2023-07-28T17:00:00+00:00,2023,1. Division,Denmark,Hobro,3,2,Naestved,Match Finished
2023-07-28T17:00:00+00:00,2023,1. Division,Denmark,Sonderjyske,1,3,FC Fredericia,Match Finished
2023-07-29T12:00:00+00:00,2023,1. Division,Denmark,Aalborg,1,0,AC Horsens,Match Finished
2023-07-29T12:00:00+00:00,2023,1. Division,Denmark,Kolding IF,2,1,Hillerød,Match Finished
2023-07-30T12:00:00+00:00,2023,1. Division,Denmark,FC Helsingor,2,0,B 93,Match Finished
2023-08-04T17:00:00+00:00,2023,1. Division,Denmark,AC Horsens,2,0,HB Koge,Match Finished
2023-08-04T17:00:00+00:00,2023,1. Division,Denmark,Hillerød,0,1,Hobro,Match Finished
2023-08-05T12:00:00+00:00,2023,1. Division,Denmark,Vendsyssel FF,2,1,FC Helsingor,Match Finished
2023-08-05T13:00:00+00:00,2023,1. Division,Denmark,B 93,1,1,Kolding IF,Match Finished
2023-08-06T11:00:00+00:00,2023,1. Division,Denmark,Naestved,1,4,Sonderjyske,Match Finished
2023-08-06T13:00:00+00:00,2023,1. Division,Denmark,Aalborg,4,0,FC Fredericia,Match Finished
2023-08-11T16:30:00+00:00,2023,1. Division,Denmark,FC Fredericia,3,2,Hillerød,Match Finished
2023-08-11T17:00:00+00:00,2023,1. Division,Denmark,FC Helsingor,1,1,Aalborg,Match Finished
