date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2023-04-10T13:00:00+00:00,2023,1. Division,Norway,Bryne,2,1,Kongsvinger,Match Finished,,,,,,
2023-04-10T13:00:00+00:00,2023,1. Division,Norway,hodd,1,0,Raufoss,Match Finished,,,,,,
2023-04-10T13:00:00+00:00,2023,1. Division,Norway,jerv,1,2,Ranheim,Match Finished,,,,,,
2023-04-10T13:00:00+00:00,2023,1. Division,Norway,KFUM Oslo,1,1,Sogndal,Match Finished,,,,,,
2023-04-10T13:00:00+00:00,2023,1. Division,Norway,Kristiansund BK,0,1,Fredrikstad,Match Finished,,,,,,
2023-04-10T13:00:00+00:00,2023,1. Division,Norway,Mjondalen,0,0,Asane,Match Finished,,,,,,
2023-04-10T13:00:00+00:00,2023,1. Division,Norway,Moss,0,0,Start,Match Finished,,,,,,
2023-04-10T13:00:00+00:00,2023,1. Division,Norway,Sandnes ULF,4,1,Skeid,Match Finished,,,,,,
2023-04-15T13:00:00+00:00,2023,1. Division,Norway,Sogndal,1,0,Sandnes ULF,Match Finished,,,,,,
2023-04-15T13:00:00+00:00,2023,1. Division,Norway,Ranheim,2,1,Bryne,Match Finished,,,,,,
