date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-07-22T15:30:00+00:00,2023,1. SNL,Slovenia,Mura,2,3,NK Domzale,Match Finished
2023-07-22T15:30:00+00:00,2023,1. SNL,Slovenia,Bravo,2,0,Rogaška,Match Finished
2023-07-22T18:15:00+00:00,2023,1. SNL,Slovenia,Koper,2,1,Olimpija Ljubljana,Match Finished
2023-07-23T15:30:00+00:00,2023,1. SNL,Slovenia,Radomlje,0,4,Maribor,Match Finished
2023-07-23T18:15:00+00:00,2023,1. SNL,Slovenia,Aluminij,2,2,Celje,Match Finished
2023-07-29T15:30:00+00:00,2023,1. SNL,Slovenia,Koper,1,0,Radomlje,Match Finished
2023-07-29T18:15:00+00:00,2023,1. SNL,Slovenia,Olimpija Ljubljana,5,0,Rogaška,Match Finished
2023-07-30T15:30:00+00:00,2023,1. SNL,Slovenia,NK Domzale,1,1,Bravo,Match Finished
2023-07-30T15:30:00+00:00,2023,1. SNL,Slovenia,Maribor,1,0,Aluminij,Match Finished
2023-07-30T18:15:00+00:00,2023,1. SNL,Slovenia,Celje,5,0,Mura,Match Finished
2023-11-25T16:30:00+00:00,2023,1. SNL,Slovenia,Radomlje,0,2,Olimpija Ljubljana,Match Finished
2023-11-26T16:30:00+00:00,2023,1. SNL,Slovenia,Aluminij,3,2,Koper,Match Finished
2023-11-26T14:00:00+00:00,2023,1. SNL,Slovenia,Mura,0,0,Maribor,Match Finished
2023-11-26T12:00:00+00:00,2023,1. SNL,Slovenia,Bravo,0,2,Celje,Match Finished
2023-11-25T12:00:00+00:00,2023,1. SNL,Slovenia,Rogaška,1,2,NK Domzale,Match Finished
2023-08-12T15:30:00+00:00,2023,1. SNL,Slovenia,Olimpija Ljubljana,2,1,NK Domzale,Match Finished
2023-08-13T18:15:00+00:00,2023,1. SNL,Slovenia,Celje,2,0,Rogaška,Match Finished
2023-08-13T15:30:00+00:00,2023,1. SNL,Slovenia,Maribor,2,1,Bravo,Match Finished
