date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-07-28T18:30:00+00:00,2023,2. Bundesliga,Germany,Hamburger SV,5,3,FC Schalke 04,Match Finished
2023-07-29T18:30:00+00:00,2023,2. Bundesliga,Germany,Fortuna Dusseldorf,1,0,Hertha Berlin,Match Finished
2023-07-29T11:00:00+00:00,2023,2. Bundesliga,Germany,FC Kaiserslautern,1,2,FC St. Pauli,Match Finished
2023-07-29T11:00:00+00:00,2023,2. Bundesliga,Germany,Hannover 96,2,2,SV Elversberg,Match Finished
2023-07-30T11:30:00+00:00,2023,2. Bundesliga,Germany,SpVgg Greuther Furth,5,0,SC Paderborn 07,Match Finished
2023-07-30T11:30:00+00:00,2023,2. Bundesliga,Germany,Hansa Rostock,2,0,FC Nurnberg,Match Finished
2023-07-30T11:30:00+00:00,2023,2. Bundesliga,Germany,Eintracht Braunschweig,0,1,Holstein Kiel,Match Finished
2023-07-29T11:00:00+00:00,2023,2. Bundesliga,Germany,VfL Osnabruck,2,3,Karlsruher SC,Match Finished
2023-07-29T11:00:00+00:00,2023,2. Bundesliga,Germany,SV Wehen,1,1,FC Magdeburg,Match Finished
2023-08-05T18:30:00+00:00,2023,2. Bundesliga,Germany,FC Schalke 04,3,0,FC Kaiserslautern,Match Finished
2023-08-04T16:30:00+00:00,2023,2. Bundesliga,Germany,Hertha Berlin,0,1,SV Wehen,Match Finished
2023-08-05T11:00:00+00:00,2023,2. Bundesliga,Germany,FC St. Pauli,0,0,Fortuna Dusseldorf,Match Finished
2023-08-04T16:30:00+00:00,2023,2. Bundesliga,Germany,SC Paderborn 07,1,1,VfL Osnabruck,Match Finished
2023-08-06T11:30:00+00:00,2023,2. Bundesliga,Germany,Karlsruher SC,2,2,Hamburger SV,Match Finished
2023-08-05T11:00:00+00:00,2023,2. Bundesliga,Germany,Holstein Kiel,2,1,SpVgg Greuther Furth,Match Finished
2023-08-06T11:30:00+00:00,2023,2. Bundesliga,Germany,FC Magdeburg,2,1,Eintracht Braunschweig,Match Finished
2023-08-06T11:30:00+00:00,2023,2. Bundesliga,Germany,FC Nurnberg,2,2,Hannover 96,Match Finished
2023-08-05T11:00:00+00:00,2023,2. Bundesliga,Germany,SV Elversberg,1,2,Hansa Rostock,Match Finished
2023-08-19T18:30:00+00:00,2023,2. Bundesliga,Germany,Hamburger SV,3,0,Hertha Berlin,Match Finished
2023-08-19T11:00:00+00:00,2023,2. Bundesliga,Germany,Fortuna Dusseldorf,1,2,SC Paderborn 07,Match Finished
2023-08-20T11:30:00+00:00,2023,2. Bundesliga,Germany,Holstein Kiel,2,4,FC Magdeburg,Match Finished
2023-08-18T16:30:00+00:00,2023,2. Bundesliga,Germany,FC Kaiserslautern,3,2,SV Elversberg,Match Finished
2023-08-19T11:00:00+00:00,2023,2. Bundesliga,Germany,SpVgg Greuther Furth,0,0,FC St. Pauli,Match Finished
2023-08-19T11:00:00+00:00,2023,2. Bundesliga,Germany,Hansa Rostock,1,2,Hannover 96,Match Finished
2023-08-20T11:30:00+00:00,2023,2. Bundesliga,Germany,Eintracht Braunschweig,1,0,FC Schalke 04,Match Finished
2023-08-20T11:30:00+00:00,2023,2. Bundesliga,Germany,VfL Osnabruck,2,3,FC Nurnberg,Match Finished
2023-08-18T16:30:00+00:00,2023,2. Bundesliga,Germany,SV Wehen,1,0,Karlsruher SC,Match Finished
