date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-07-28T15:45:00+00:00,2023,2. Liga,Austria,FC Liefering,0,1,Dornbirn,Match Finished
2023-07-28T15:45:00+00:00,2023,2. Liga,Austria,Schwarz-Weiß Bregenz,2,0,First Vienna,Match Finished
2023-07-28T15:45:00+00:00,2023,2. Liga,Austria,SV Lafnitz,3,0,SV Kapfenberg,Match Finished
2023-07-28T15:45:00+00:00,2023,2. Liga,Austria,Grazer AK,3,0,SKU Amstetten,Match Finished
2023-07-30T08:30:00+00:00,2023,2. Liga,Austria,Sturm Graz II,1,4,SKN ST. Polten,Match Finished
2023-07-28T15:45:00+00:00,2023,2. Liga,Austria,Leoben,3,2,SV Horn,Match Finished
2023-07-30T08:30:00+00:00,2023,2. Liga,Austria,Floridsdorfer AC,1,1,Ried,Match Finished
2023-07-28T15:45:00+00:00,2023,2. Liga,Austria,Admira Wacker,1,0,Stripfing,Match Finished
2023-08-04T16:10:00+00:00,2023,2. Liga,Austria,Stripfing,1,4,Leoben,Match Finished
2023-08-04T16:10:00+00:00,2023,2. Liga,Austria,SV Kapfenberg,1,1,Floridsdorfer AC,Match Finished
2023-08-04T18:30:00+00:00,2023,2. Liga,Austria,Ried,2,2,Admira Wacker,Match Finished
2023-08-22T16:30:00+00:00,2023,2. Liga,Austria,SV Horn,2,1,FC Liefering,Match Finished
2023-08-04T16:10:00+00:00,2023,2. Liga,Austria,Dornbirn,0,1,Grazer AK,Match Finished
2023-08-06T08:30:00+00:00,2023,2. Liga,Austria,First Vienna,2,2,Sturm Graz II,Match Finished
2023-08-04T16:10:00+00:00,2023,2. Liga,Austria,SKN ST. Polten,2,0,SV Lafnitz,Match Finished
2023-08-05T18:00:00+00:00,2023,2. Liga,Austria,SKU Amstetten,1,2,Schwarz-Weiß Bregenz,Match Finished
2023-08-13T08:30:00+00:00,2023,2. Liga,Austria,Sturm Graz II,2,2,Floridsdorfer AC,Match Finished
2023-08-11T16:10:00+00:00,2023,2. Liga,Austria,SKN ST. Polten,0,1,FC Liefering,Match Finished
2023-08-12T12:30:00+00:00,2023,2. Liga,Austria,SV Lafnitz,1,0,Dornbirn,Match Finished
2023-08-11T18:30:00+00:00,2023,2. Liga,Austria,First Vienna,2,3,Grazer AK,Match Finished
2023-08-12T12:30:00+00:00,2023,2. Liga,Austria,Schwarz-Weiß Bregenz,0,2,SV Kapfenberg,Match Finished
2023-08-13T08:30:00+00:00,2023,2. Liga,Austria,Leoben,1,0,SKU Amstetten,Match Finished
2023-08-11T16:10:00+00:00,2023,2. Liga,Austria,Admira Wacker,1,0,SV Horn,Match Finished
2023-08-11T16:10:00+00:00,2023,2. Liga,Austria,Stripfing,1,0,Ried,Match Finished
2023-08-18T16:10:00+00:00,2023,2. Liga,Austria,Ried,2,0,Leoben,Match Finished
