date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2024-03-30T14:00:00+00:00,2024,Allsvenskan,Sweden,IFK Norrkoping,1,5,Malmo FF,Match Finished,6,9,4,1,,
2024-03-31T12:00:00+00:00,2024,Allsvenskan,Sweden,Hammarby FF,3,1,kalmar FF,Match Finished,3,4,1,1,,
2024-03-31T12:00:00+00:00,2024,Allsvenskan,Sweden,Gais,0,4,IF Brommapojkarna,Match Finished,6,6,3,2,,
2024-03-31T14:30:00+00:00,2024,Allsvenskan,Sweden,BK Hacken,0,1,Mjallby AIF,Match Finished,11,4,3,1,,
2024-04-01T12:00:00+00:00,2024,Allsvenskan,Sweden,IFK Goteborg,1,4,Djurgardens IF,Match Finished,2,6,4,2,1,0
2024-04-01T12:00:00+00:00,2024,Allsvenskan,Sweden,Sirius,3,0,Halmstad,Match Finished,5,2,2,4,,
2024-04-01T14:30:00+00:00,2024,Allsvenskan,Sweden,AIK stockholm,1,0,Vasteras SK FK,Match Finished,3,7,2,1,,
2024-04-01T14:30:00+00:00,2024,Allsvenskan,Sweden,IF elfsborg,2,2,IFK Varnamo,Match Finished,7,2,2,1,,
2024-04-06T13:00:00+00:00,2024,Allsvenskan,Sweden,IF Brommapojkarna,2,2,AIK stockholm,Match Finished,7,5,2,1,,
2024-04-06T15:30:00+00:00,2024,Allsvenskan,Sweden,Mjallby AIF,3,0,IFK Norrkoping,Match Finished,7,6,2,2,,
