date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-04T18:45:00+00:00,2023,Championship,Scotland,Arbroath,0,4,Dundee Utd,Match Finished
2023-08-05T14:00:00+00:00,2023,Championship,Scotland,Dunfermline,2,1,Airdrie United,Match Finished
2023-08-05T14:00:00+00:00,2023,Championship,Scotland,Morton,3,1,Ayr Utd,Match Finished
2023-08-05T14:00:00+00:00,2023,Championship,Scotland,Inverness CT,1,2,Queen's Park,Match Finished
2023-08-05T14:00:00+00:00,2023,Championship,Scotland,Partick,2,2,Raith Rovers,Match Finished
2023-08-12T14:00:00+00:00,2023,Championship,Scotland,Airdrie United,2,1,Partick,Match Finished
2023-08-12T14:00:00+00:00,2023,Championship,Scotland,Ayr Utd,1,0,Inverness CT,Match Finished
2023-08-12T14:00:00+00:00,2023,Championship,Scotland,Dundee Utd,1,1,Dunfermline,Match Finished
2023-08-12T14:00:00+00:00,2023,Championship,Scotland,Queen's Park,2,1,Arbroath,Match Finished
2023-08-12T14:00:00+00:00,2023,Championship,Scotland,Raith Rovers,3,2,Morton,Match Finished
2023-08-26T14:00:00+00:00,2023,Championship,Scotland,Airdrie United,2,1,Inverness CT,Match Finished
2023-08-26T14:00:00+00:00,2023,Championship,Scotland,Ayr Utd,0,3,Dundee Utd,Match Finished
2023-08-26T14:00:00+00:00,2023,Championship,Scotland,Dunfermline,0,1,Raith Rovers,Match Finished
2023-08-26T14:00:00+00:00,2023,Championship,Scotland,Morton,0,3,Arbroath,Match Finished
2023-08-26T14:00:00+00:00,2023,Championship,Scotland,Partick,3,1,Queen's Park,Match Finished
2023-09-02T14:00:00+00:00,2023,Championship,Scotland,Arbroath,2,1,Ayr Utd,Match Finished
2023-09-02T14:00:00+00:00,2023,Championship,Scotland,Dundee Utd,2,0,Airdrie United,Match Finished
2023-09-02T14:00:00+00:00,2023,Championship,Scotland,Morton,1,4,Partick,Match Finished
2023-09-02T14:00:00+00:00,2023,Championship,Scotland,Inverness CT,1,1,Dunfermline,Match Finished
2023-09-02T14:00:00+00:00,2023,Championship,Scotland,Raith Rovers,3,2,Queen's Park,Match Finished
2023-09-16T14:00:00+00:00,2023,Championship,Scotland,Arbroath,4,0,Airdrie United,Match Finished
