date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-07-22T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Pardubice,0,1,Bohemians 1905,Match Finished
2023-07-22T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Karviná,4,1,Zlin,Match Finished
2023-07-22T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Teplice,1,0,Plzen,Match Finished
2023-07-22T16:00:00+00:00,2023,Czech Liga,Czech-Republic,Slavia Praha,2,0,Hradec Králové,Match Finished
2023-07-23T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Mlada Boleslav,3,1,FK Jablonec,Match Finished
2023-07-23T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Slovan Liberec,3,1,Baník Ostrava,Match Finished
2023-07-23T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Slovácko,4,1,České Budějovice,Match Finished
2023-07-23T16:00:00+00:00,2023,Czech Liga,Czech-Republic,Sparta Praha,2,0,Sigma Olomouc,Match Finished
2023-07-29T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Sigma Olomouc,3,1,Karviná,Match Finished
2023-07-29T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Zlin,0,1,Sparta Praha,Match Finished
2023-07-29T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Pardubice,0,0,FK Jablonec,Match Finished
2023-07-29T16:00:00+00:00,2023,Czech Liga,Czech-Republic,Baník Ostrava,0,0,Slovácko,Match Finished
2023-07-30T13:00:00+00:00,2023,Czech Liga,Czech-Republic,České Budějovice,1,3,Slavia Praha,Match Finished
2023-07-30T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Bohemians 1905,1,2,Teplice,Match Finished
2023-07-30T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Mlada Boleslav,2,2,Slovan Liberec,Match Finished
2023-07-30T16:00:00+00:00,2023,Czech Liga,Czech-Republic,Plzen,1,1,Hradec Králové,Match Finished
2023-08-05T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Sparta Praha,5,2,Pardubice,Match Finished
2023-08-05T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Karviná,1,2,Mlada Boleslav,Match Finished
2023-08-05T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Slovácko,0,2,Sigma Olomouc,Match Finished
2023-08-05T16:00:00+00:00,2023,Czech Liga,Czech-Republic,Hradec Králové,5,1,České Budějovice,Match Finished
2023-08-06T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Plzen,3,1,Baník Ostrava,Match Finished
2023-08-06T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Teplice,0,0,FK Jablonec,Match Finished
2023-08-06T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Slovan Liberec,0,1,Bohemians 1905,Match Finished
2023-08-06T16:00:00+00:00,2023,Czech Liga,Czech-Republic,Slavia Praha,2,1,Zlin,Match Finished
2023-08-12T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Baník Ostrava,2,0,Hradec Králové,Match Finished
2023-08-12T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Zlin,1,1,Slovan Liberec,Match Finished
2023-08-13T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Pardubice,2,1,Karviná,Match Finished
2023-08-12T16:00:00+00:00,2023,Czech Liga,Czech-Republic,FK Jablonec,1,5,Sparta Praha,Match Finished
2023-08-13T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Bohemians 1905,0,1,Slovácko,Match Finished
2023-08-13T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Sigma Olomouc,2,1,Teplice,Match Finished
2023-08-13T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Mlada Boleslav,0,1,Slavia Praha,Match Finished
2023-08-13T16:00:00+00:00,2023,Czech Liga,Czech-Republic,České Budějovice,2,5,Plzen,Match Finished
2023-08-19T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Slovácko,2,2,Mlada Boleslav,Match Finished
2023-08-19T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Slovan Liberec,1,0,Pardubice,Match Finished
2023-08-19T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Karviná,1,1,FK Jablonec,Match Finished
2023-08-19T16:00:00+00:00,2023,Czech Liga,Czech-Republic,Teplice,1,1,Sparta Praha,Match Finished
2023-08-20T13:00:00+00:00,2023,Czech Liga,Czech-Republic,České Budějovice,3,0,Bohemians 1905,Match Finished
2023-08-20T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Plzen,2,1,Sigma Olomouc,Match Finished
2023-08-20T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Hradec Králové,2,0,Zlin,Match Finished
2023-08-20T16:00:00+00:00,2023,Czech Liga,Czech-Republic,Slavia Praha,1,0,Baník Ostrava,Match Finished
2023-08-27T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Bohemians 1905,2,1,Hradec Králové,Match Finished
2023-12-06T16:00:00+00:00,2023,Czech Liga,Czech-Republic,Mlada Boleslav,1,3,Plzen,Match Finished
2023-08-26T16:00:00+00:00,2023,Czech Liga,Czech-Republic,Baník Ostrava,2,0,České Budějovice,Match Finished
2023-08-27T16:00:00+00:00,2023,Czech Liga,Czech-Republic,Sparta Praha,3,1,Karviná,Match Finished
2023-08-26T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Zlin,2,1,Teplice,Match Finished
2023-08-27T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Sigma Olomouc,2,0,Slovan Liberec,Match Finished
2023-08-27T13:00:00+00:00,2023,Czech Liga,Czech-Republic,FK Jablonec,1,1,Slavia Praha,Match Finished
2023-08-26T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Pardubice,0,1,Slovácko,Match Finished
2023-09-03T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Plzen,2,0,Bohemians 1905,Match Finished
2023-09-03T18:00:00+00:00,2023,Czech Liga,Czech-Republic,Hradec Králové,1,3,Sigma Olomouc,Match Finished
2023-09-02T16:00:00+00:00,2023,Czech Liga,Czech-Republic,Baník Ostrava,2,0,Mlada Boleslav,Match Finished
2023-09-02T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Slovácko,1,0,Zlin,Match Finished
2023-09-03T16:00:00+00:00,2023,Czech Liga,Czech-Republic,Slavia Praha,5,1,Karviná,Match Finished
2023-09-02T13:00:00+00:00,2023,Czech Liga,Czech-Republic,České Budějovice,2,1,FK Jablonec,Match Finished
2023-09-03T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Slovan Liberec,0,2,Sparta Praha,Match Finished
2023-09-02T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Teplice,0,1,Pardubice,Match Finished
2023-09-16T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Mlada Boleslav,5,1,Hradec Králové,Match Finished
2023-09-17T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Zlin,1,7,Plzen,Match Finished
2023-09-16T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Sigma Olomouc,2,1,České Budějovice,Match Finished
2023-09-16T13:00:00+00:00,2023,Czech Liga,Czech-Republic,Bohemians 1905,1,1,Baník Ostrava,Match Finished
