date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-14T16:35:00+00:00,2023,Division 1,Saudi-Arabia,Al Jabalain,1,0,Al Kholood,Match Finished
2023-08-15T16:15:00+00:00,2023,Division 1,Saudi-Arabia,Al-Faisaly FC,3,0,Al Jandal,Match Finished
2023-08-15T16:15:00+00:00,2023,Division 1,Saudi-Arabia,Al Najma,0,0,Al Qaisoma,Match Finished
2023-08-15T17:40:00+00:00,2023,Division 1,Saudi-Arabia,Al-Qadisiyah FC,2,1,Al-Adalah,Match Finished
2023-08-16T15:55:00+00:00,2023,Division 1,Saudi-Arabia,Hajer,0,2,Ohod,Match Finished
2023-08-16T16:15:00+00:00,2023,Division 1,Saudi-Arabia,Al Baten,3,0,Al-Ain,Match Finished
2023-08-16T16:15:00+00:00,2023,Division 1,Saudi-Arabia,Al Bukayriyah,2,0,Al Safa,Match Finished
2023-08-16T17:40:00+00:00,2023,Division 1,Saudi-Arabia,Al Arabi SC,2,1,Jeddah Club,Match Finished
2023-08-20T15:50:00+00:00,2023,Division 1,Saudi-Arabia,Al-Adalah,1,0,Al Orubah,Match Finished
2023-08-20T16:30:00+00:00,2023,Division 1,Saudi-Arabia,Al Jandal,0,1,Al-Qadisiyah FC,Match Finished
2023-08-20T17:40:00+00:00,2023,Division 1,Saudi-Arabia,Al Kholood,2,2,Al Najma,Match Finished
2023-08-21T16:30:00+00:00,2023,Division 1,Saudi-Arabia,Ohod,0,2,Al-Faisaly FC,Match Finished
2023-08-21T17:40:00+00:00,2023,Division 1,Saudi-Arabia,Al Arabi SC,4,0,Hajer,Match Finished
2023-08-22T15:50:00+00:00,2023,Division 1,Saudi-Arabia,Al Safa,0,1,Al Baten,Match Finished
2023-08-22T16:05:00+00:00,2023,Division 1,Saudi-Arabia,Al Qaisoma,1,2,Al Jabalain,Match Finished
2023-08-22T13:10:00+00:00,2023,Division 1,Saudi-Arabia,Al-Ain,1,0,Al Bukayriyah,Match Finished
2023-08-26T16:05:00+00:00,2023,Division 1,Saudi-Arabia,Al Najma,1,2,Ohod,Match Finished
2023-08-26T17:40:00+00:00,2023,Division 1,Saudi-Arabia,Jeddah Club,0,1,Al-Adalah,Match Finished
2023-08-27T15:45:00+00:00,2023,Division 1,Saudi-Arabia,Hajer,2,0,Al Safa,Match Finished
2023-08-27T15:45:00+00:00,2023,Division 1,Saudi-Arabia,Al-Qadisiyah FC,2,1,Al Baten,Match Finished
2023-08-27T17:40:00+00:00,2023,Division 1,Saudi-Arabia,Al Qaisoma,1,1,Al Jandal,Match Finished
2023-08-28T16:20:00+00:00,2023,Division 1,Saudi-Arabia,Al Orubah,4,1,Al-Ain,Match Finished
2023-08-28T16:20:00+00:00,2023,Division 1,Saudi-Arabia,Al Jabalain,3,3,Al Arabi SC,Match Finished
2023-08-28T17:40:00+00:00,2023,Division 1,Saudi-Arabia,Al Bukayriyah,2,1,Al Kholood,Match Finished
2023-09-01T15:35:00+00:00,2023,Division 1,Saudi-Arabia,Al-Adalah,4,2,Al-Faisaly FC,Match Finished
2023-09-01T17:30:00+00:00,2023,Division 1,Saudi-Arabia,Al Jandal,2,1,Al Safa,Match Finished
2023-09-02T16:10:00+00:00,2023,Division 1,Saudi-Arabia,Al-Ain,0,0,Al-Qadisiyah FC,Match Finished
2023-09-02T16:10:00+00:00,2023,Division 1,Saudi-Arabia,Ohod,1,2,Al Orubah,Match Finished
2023-09-02T17:45:00+00:00,2023,Division 1,Saudi-Arabia,Jeddah Club,2,1,Al Bukayriyah,Match Finished
2023-09-03T16:05:00+00:00,2023,Division 1,Saudi-Arabia,Al Jabalain,2,1,Hajer,Match Finished
2023-09-03T16:05:00+00:00,2023,Division 1,Saudi-Arabia,Al Arabi SC,4,2,Al Qaisoma,Match Finished
2023-09-03T17:30:00+00:00,2023,Division 1,Saudi-Arabia,Al Baten,0,5,Al Kholood,Match Finished
2023-09-14T15:45:00+00:00,2023,Division 1,Saudi-Arabia,Al Bukayriyah,1,0,Ohod,Match Finished
2023-09-15T15:45:00+00:00,2023,Division 1,Saudi-Arabia,Al Kholood,1,0,Al Jandal,Match Finished
2023-09-14T17:30:00+00:00,2023,Division 1,Saudi-Arabia,Al-Faisaly FC,2,0,Al Jabalain,Match Finished
2023-09-14T15:20:00+00:00,2023,Division 1,Saudi-Arabia,Al Safa,0,3,Al Arabi SC,Match Finished
2023-09-14T15:20:00+00:00,2023,Division 1,Saudi-Arabia,Hajer,0,0,Jeddah Club,Match Finished
2023-09-14T16:05:00+00:00,2023,Division 1,Saudi-Arabia,Al Orubah,1,0,Al Baten,Match Finished
2023-09-15T15:45:00+00:00,2023,Division 1,Saudi-Arabia,Al Qaisoma,1,2,Al-Ain,Match Finished
2023-09-15T15:25:00+00:00,2023,Division 1,Saudi-Arabia,Al Najma,1,3,Al-Adalah,Match Finished
2023-09-19T17:30:00+00:00,2023,Division 1,Saudi-Arabia,Al-Faisaly FC,0,1,Al-Qadisiyah FC,Match Finished
2023-09-20T13:00:00+00:00,2023,Division 1,Saudi-Arabia,Al-Ain,4,1,Al Safa,Match Finished
