date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-09-09T13:40:00+00:00,2023,Division 1,United-Arab-Emirates,Al Jazira Al Hamra,1,1,Al-Dhafra,Match Finished
2023-09-09T13:45:00+00:00,2023,Division 1,United-Arab-Emirates,Al Hamriyah,3,1,Gulf Heroes,Match Finished
2023-09-09T13:45:00+00:00,2023,Division 1,United-Arab-Emirates,Al Arabi,3,0,Gulf United,Match Finished
2023-09-09T13:40:00+00:00,2023,Division 1,United-Arab-Emirates,Dibba Al Hisn,0,2,Al Urooba,Match Finished
2023-09-10T13:40:00+00:00,2023,Division 1,United-Arab-Emirates,Masafi,0,0,Al Taawon,Match Finished
2023-09-10T13:45:00+00:00,2023,Division 1,United-Arab-Emirates,Masfut,4,2,Dubai United,Match Finished
2023-09-10T13:40:00+00:00,2023,Division 1,United-Arab-Emirates,Al Fujairah SC,2,0,City,Match Finished
2023-09-10T13:40:00+00:00,2023,Division 1,United-Arab-Emirates,Al Ramms,1,0,Al Thaid,Match Finished
2023-09-16T13:35:00+00:00,2023,Division 1,United-Arab-Emirates,Al Urooba,2,1,Masafi,Match Finished
2023-09-16T13:40:00+00:00,2023,Division 1,United-Arab-Emirates,Gulf United,0,3,Dibba Al Hisn,Match Finished
2023-09-16T13:40:00+00:00,2023,Division 1,United-Arab-Emirates,Gulf Heroes,0,2,Al Arabi,Match Finished
2023-09-16T13:50:00+00:00,2023,Division 1,United-Arab-Emirates,Al-Dhafra,3,0,Al Hamriyah,Match Finished
2023-09-17T13:35:00+00:00,2023,Division 1,United-Arab-Emirates,Al Taawon,0,0,Masfut,Match Finished
2023-09-17T13:35:00+00:00,2023,Division 1,United-Arab-Emirates,Al Thaid,0,4,Dibba Al-Fujairah,Match Finished
2023-09-17T13:40:00+00:00,2023,Division 1,United-Arab-Emirates,Dubai United,0,0,Al Fujairah SC,Match Finished
2023-09-17T13:40:00+00:00,2023,Division 1,United-Arab-Emirates,City,1,0,Al Ramms,Match Finished
2023-09-23T13:25:00+00:00,2023,Division 1,United-Arab-Emirates,Masafi,2,1,Gulf United,Match Finished
2023-09-23T13:25:00+00:00,2023,Division 1,United-Arab-Emirates,Dibba Al Hisn,1,0,Gulf Heroes,Match Finished
2023-09-23T13:30:00+00:00,2023,Division 1,United-Arab-Emirates,Masfut,1,3,Al Urooba,Match Finished
2023-09-23T13:30:00+00:00,2023,Division 1,United-Arab-Emirates,Al Arabi,2,2,Al-Dhafra,Match Finished
2023-09-24T13:25:00+00:00,2023,Division 1,United-Arab-Emirates,Al Ramms,2,4,Dubai United,Match Finished
2023-09-24T13:25:00+00:00,2023,Division 1,United-Arab-Emirates,Dibba Al-Fujairah,4,0,City,Match Finished
2023-09-24T13:25:00+00:00,2023,Division 1,United-Arab-Emirates,Al Fujairah SC,0,1,Al Taawon,Match Finished
2023-09-24T13:30:00+00:00,2023,Division 1,United-Arab-Emirates,Al Hamriyah,1,2,Al Jazira Al Hamra,Match Finished
2023-09-30T13:20:00+00:00,2023,Division 1,United-Arab-Emirates,Gulf Heroes,0,2,Masafi,Match Finished
2023-09-30T13:20:00+00:00,2023,Division 1,United-Arab-Emirates,Gulf United,2,2,Masfut,Match Finished
2023-09-30T13:20:00+00:00,2023,Division 1,United-Arab-Emirates,City,1,1,Al Thaid,Match Finished
2023-09-30T13:30:00+00:00,2023,Division 1,United-Arab-Emirates,Al-Dhafra,2,1,Dibba Al Hisn,Match Finished
2023-10-01T13:15:00+00:00,2023,Division 1,United-Arab-Emirates,Al Jazira Al Hamra,3,3,Al Arabi,Match Finished
2023-10-01T13:15:00+00:00,2023,Division 1,United-Arab-Emirates,Al Taawon,2,0,Al Ramms,Match Finished
2023-10-01T13:15:00+00:00,2023,Division 1,United-Arab-Emirates,Al Urooba,2,1,Al Fujairah SC,Match Finished
2023-10-01T13:20:00+00:00,2023,Division 1,United-Arab-Emirates,Dubai United,2,1,Dibba Al-Fujairah,Match Finished
2023-10-08T13:10:00+00:00,2023,Division 1,United-Arab-Emirates,Al Fujairah SC,0,1,Gulf United,Match Finished
2023-10-08T13:10:00+00:00,2023,Division 1,United-Arab-Emirates,Masafi,2,4,Al-Dhafra,Match Finished
2023-10-08T13:10:00+00:00,2023,Division 1,United-Arab-Emirates,Al Ramms,2,3,Al Urooba,Match Finished
2023-10-08T13:15:00+00:00,2023,Division 1,United-Arab-Emirates,Masfut,0,3,Gulf Heroes,Match Finished
2023-10-09T13:10:00+00:00,2023,Division 1,United-Arab-Emirates,Dibba Al-Fujairah,0,0,Al Taawon,Match Finished
2023-10-09T13:10:00+00:00,2023,Division 1,United-Arab-Emirates,Al Thaid,3,2,Dubai United,Match Finished
2023-10-09T13:10:00+00:00,2023,Division 1,United-Arab-Emirates,Dibba Al Hisn,2,1,Al Jazira Al Hamra,Match Finished
2023-10-09T13:15:00+00:00,2023,Division 1,United-Arab-Emirates,Al Arabi,1,2,Al Hamriyah,Match Finished
2023-10-21T12:55:00+00:00,2023,Division 1,United-Arab-Emirates,Al Urooba,0,0,Dibba Al-Fujairah,Match Finished
2023-10-22T13:00:00+00:00,2023,Division 1,United-Arab-Emirates,Gulf United,2,1,Al Ramms,Match Finished
2023-10-21T13:00:00+00:00,2023,Division 1,United-Arab-Emirates,Gulf Heroes,1,1,Al Fujairah SC,Match Finished
2023-10-21T13:10:00+00:00,2023,Division 1,United-Arab-Emirates,Al-Dhafra,3,2,Masfut,Match Finished
2023-10-22T12:55:00+00:00,2023,Division 1,United-Arab-Emirates,Al Jazira Al Hamra,2,0,Masafi,Match Finished
2023-10-22T12:55:00+00:00,2023,Division 1,United-Arab-Emirates,Al Taawon,1,3,Al Thaid,Match Finished
2023-10-22T13:00:00+00:00,2023,Division 1,United-Arab-Emirates,Al Hamriyah,0,1,Dibba Al Hisn,Match Finished
2023-10-22T13:00:00+00:00,2023,Division 1,United-Arab-Emirates,Dubai United,6,2,City,Match Finished
2023-10-28T12:50:00+00:00,2023,Division 1,United-Arab-Emirates,Al Ramms,1,3,Gulf Heroes,Match Finished
2023-10-28T12:50:00+00:00,2023,Division 1,United-Arab-Emirates,Al Fujairah SC,4,3,Al-Dhafra,Match Finished
2023-10-28T12:50:00+00:00,2023,Division 1,United-Arab-Emirates,Al Thaid,0,1,Al Urooba,Match Finished
2023-10-28T12:50:00+00:00,2023,Division 1,United-Arab-Emirates,Dibba Al-Fujairah,2,0,Gulf United,Match Finished
2023-10-29T12:50:00+00:00,2023,Division 1,United-Arab-Emirates,Dibba Al Hisn,3,0,Al Arabi,Match Finished
2023-10-29T12:50:00+00:00,2023,Division 1,United-Arab-Emirates,Masafi,1,1,Al Hamriyah,Match Finished
2023-10-29T12:55:00+00:00,2023,Division 1,United-Arab-Emirates,City,1,3,Al Taawon,Match Finished
2023-10-29T12:55:00+00:00,2023,Division 1,United-Arab-Emirates,Masfut,0,0,Al Jazira Al Hamra,Match Finished
