date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-11T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Den Bosch,1,0,FC OSS,Match Finished
2023-08-11T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Dordrecht,2,2,NAC Breda,Match Finished
2023-08-11T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Cambuur,2,2,Emmen,Match Finished
2023-08-11T18:00:00+00:00,2023,Eerste Divisie,Netherlands,De Graafschap,0,0,ADO Den Haag,Match Finished
2023-08-11T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Roda,4,1,Helmond Sport,Match Finished
2023-08-11T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Groningen,4,1,Jong Ajax,Match Finished
2023-08-13T10:15:00+00:00,2023,Eerste Divisie,Netherlands,FC Eindhoven,1,1,Willem II,Match Finished
2023-08-13T14:45:00+00:00,2023,Eerste Divisie,Netherlands,VVV Venlo,1,3,MVV,Match Finished
2023-08-14T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Jong AZ,1,0,Jong Utrecht,Match Finished
2023-08-14T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Jong PSV,1,0,Telstar,Match Finished
2023-08-18T18:00:00+00:00,2023,Eerste Divisie,Netherlands,ADO Den Haag,0,3,Roda,Match Finished
2023-08-18T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Emmen,2,2,VVV Venlo,Match Finished
2023-08-18T18:00:00+00:00,2023,Eerste Divisie,Netherlands,FC OSS,4,1,Jong PSV,Match Finished
2023-08-18T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Helmond Sport,1,0,Den Bosch,Match Finished
2023-08-18T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Willem II,2,0,Dordrecht,Match Finished
2023-10-02T18:00:00+00:00,2023,Eerste Divisie,Netherlands,MVV,0,1,FC Eindhoven,Match Finished
2023-08-18T18:00:00+00:00,2023,Eerste Divisie,Netherlands,NAC Breda,2,1,Jong AZ,Match Finished
2023-08-18T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Telstar,2,3,Cambuur,Match Finished
2023-08-21T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Jong Ajax,1,2,De Graafschap,Match Finished
2023-08-21T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Jong Utrecht,1,0,Groningen,Match Finished
2023-08-25T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Dordrecht,2,2,MVV,Match Finished
2023-08-25T18:00:00+00:00,2023,Eerste Divisie,Netherlands,FC Eindhoven,2,0,NAC Breda,Match Finished
2023-08-25T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Den Bosch,1,2,ADO Den Haag,Match Finished
2023-08-25T18:00:00+00:00,2023,Eerste Divisie,Netherlands,De Graafschap,0,1,Emmen,Match Finished
2023-08-25T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Cambuur,4,2,Jong Ajax,Match Finished
2023-08-25T18:00:00+00:00,2023,Eerste Divisie,Netherlands,VVV Venlo,4,1,Jong Utrecht,Match Finished
2023-08-25T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Roda,2,0,FC OSS,Match Finished
2023-08-27T12:30:00+00:00,2023,Eerste Divisie,Netherlands,Groningen,0,0,Willem II,Match Finished
2023-08-28T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Jong AZ,3,1,Telstar,Match Finished
2023-08-28T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Jong PSV,2,1,Helmond Sport,Match Finished
2023-09-01T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Den Bosch,1,2,Jong PSV,Match Finished
2023-09-01T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Emmen,2,4,Dordrecht,Match Finished
2023-09-01T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Telstar,0,1,FC Eindhoven,Match Finished
2023-09-01T18:00:00+00:00,2023,Eerste Divisie,Netherlands,FC OSS,0,2,Groningen,Match Finished
2023-09-01T18:00:00+00:00,2023,Eerste Divisie,Netherlands,MVV,2,1,Jong Ajax,Match Finished
2023-09-01T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Jong Utrecht,1,0,Roda,Match Finished
2023-09-01T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Helmond Sport,2,1,Cambuur,Match Finished
2023-09-01T18:00:00+00:00,2023,Eerste Divisie,Netherlands,VVV Venlo,2,0,De Graafschap,Match Finished
2023-09-05T12:30:00+00:00,2023,Eerste Divisie,Netherlands,Willem II,1,4,NAC Breda,Match Finished
2023-09-03T14:45:00+00:00,2023,Eerste Divisie,Netherlands,ADO Den Haag,4,1,Jong AZ,Match Finished
2023-09-08T19:00:00+00:00,2023,Eerste Divisie,Netherlands,Willem II,2,1,MVV,Match Finished
2023-09-09T14:30:00+00:00,2023,Eerste Divisie,Netherlands,Telstar,1,2,VVV Venlo,Match Finished
2023-09-09T16:45:00+00:00,2023,Eerste Divisie,Netherlands,Cambuur,3,1,Den Bosch,Match Finished
2023-09-09T19:00:00+00:00,2023,Eerste Divisie,Netherlands,NAC Breda,1,3,Roda,Match Finished
2023-09-18T18:00:00+00:00,2023,Eerste Divisie,Netherlands,De Graafschap,2,1,Helmond Sport,Match Finished
2023-09-18T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Emmen,2,0,Jong Utrecht,Match Finished
2023-09-18T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Groningen,4,0,Jong PSV,Match Finished
2023-09-18T18:00:00+00:00,2023,Eerste Divisie,Netherlands,FC Eindhoven,1,1,ADO Den Haag,Match Finished
2023-09-18T18:00:00+00:00,2023,Eerste Divisie,Netherlands,FC OSS,0,1,Dordrecht,Match Finished
2023-09-18T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Jong AZ,5,2,Jong Ajax,Match Finished
2023-09-15T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Dordrecht,3,3,Jong Utrecht,Match Finished
2023-09-15T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Helmond Sport,1,1,FC OSS,Match Finished
2023-09-15T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Jong Ajax,3,3,Emmen,Match Finished
2023-09-15T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Jong AZ,0,0,FC Eindhoven,Match Finished
2023-09-15T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Groningen,0,1,ADO Den Haag,Match Finished
2023-09-15T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Jong PSV,1,3,De Graafschap,Match Finished
2023-09-15T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Den Bosch,3,2,MVV,Match Finished
2023-09-15T18:00:00+00:00,2023,Eerste Divisie,Netherlands,Roda,3,0,Telstar,Match Finished
