date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-07-23T13:00:00+00:00,2023,Ekstraklasa,Poland,Gornik Zabrze,0,2,Radomiak Radom,Match Finished
2023-07-23T15:30:00+00:00,2023,Ekstraklasa,Poland,Zaglebie Lubin,2,1,Ruch Chorzów,Match Finished
2023-07-24T17:00:00+00:00,2023,Ekstraklasa,Poland,Korona Kielce,1,1,Slask Wroclaw,Match Finished
2023-07-21T18:30:00+00:00,2023,Ekstraklasa,Poland,Legia Warszawa,3,0,ŁKS Łódź,Match Finished
2023-07-22T18:00:00+00:00,2023,Ekstraklasa,Poland,Piast Gliwice,1,2,Lech Poznan,Match Finished
2023-07-22T15:30:00+00:00,2023,Ekstraklasa,Poland,Raków Częstochowa,3,0,Jagiellonia,Match Finished
2023-07-22T13:00:00+00:00,2023,Ekstraklasa,Poland,Stal Mielec,2,2,Cracovia Krakow,Match Finished
2023-07-21T16:00:00+00:00,2023,Ekstraklasa,Poland,Warta Poznań,0,1,Pogon Szczecin,Match Finished
2023-07-23T18:00:00+00:00,2023,Ekstraklasa,Poland,Widzew Łódź,3,2,Puszcza Niepołomice,Match Finished
2023-12-20T18:00:00+00:00,2023,Ekstraklasa,Poland,Cracovia Krakow,2,0,Legia Warszawa,Match Finished
2023-07-29T15:30:00+00:00,2023,Ekstraklasa,Poland,Jagiellonia,4,1,Puszcza Niepołomice,Match Finished
2024-03-13T17:30:00+00:00,2023,Ekstraklasa,Poland,Korona Kielce,0,2,Raków Częstochowa,Match Finished
2023-07-30T15:30:00+00:00,2023,Ekstraklasa,Poland,Lech Poznan,2,0,Radomiak Radom,Match Finished
2023-07-30T18:00:00+00:00,2023,Ekstraklasa,Poland,Pogon Szczecin,2,1,Widzew Łódź,Match Finished
2023-07-28T18:30:00+00:00,2023,Ekstraklasa,Poland,Ruch Chorzów,2,0,ŁKS Łódź,Match Finished
2023-07-30T13:00:00+00:00,2023,Ekstraklasa,Poland,Stal Mielec,0,0,Piast Gliwice,Match Finished
2023-07-29T13:00:00+00:00,2023,Ekstraklasa,Poland,Warta Poznań,2,0,Gornik Zabrze,Match Finished
2023-07-29T18:00:00+00:00,2023,Ekstraklasa,Poland,Slask Wroclaw,1,2,Zaglebie Lubin,Match Finished
2023-08-05T15:30:00+00:00,2023,Ekstraklasa,Poland,Gornik Zabrze,0,0,Piast Gliwice,Match Finished
2023-08-04T16:00:00+00:00,2023,Ekstraklasa,Poland,Jagiellonia,2,1,Widzew Łódź,Match Finished
2023-08-06T15:30:00+00:00,2023,Ekstraklasa,Poland,Zaglebie Lubin,1,1,Lech Poznan,Match Finished
2023-08-06T18:00:00+00:00,2023,Ekstraklasa,Poland,Legia Warszawa,3,0,Ruch Chorzów,Match Finished
2023-08-07T17:00:00+00:00,2023,Ekstraklasa,Poland,Puszcza Niepołomice,1,0,Stal Mielec,Match Finished
2023-08-05T18:00:00+00:00,2023,Ekstraklasa,Poland,Radomiak Radom,0,1,Cracovia Krakow,Match Finished
2023-08-05T13:00:00+00:00,2023,Ekstraklasa,Poland,Raków Częstochowa,2,2,Warta Poznań,Match Finished
2023-08-04T18:30:00+00:00,2023,Ekstraklasa,Poland,ŁKS Łódź,2,1,Korona Kielce,Match Finished
2024-02-11T16:30:00+00:00,2023,Ekstraklasa,Poland,Slask Wroclaw,0,1,Pogon Szczecin,Match Finished
2023-08-11T16:00:00+00:00,2023,Ekstraklasa,Poland,Cracovia Krakow,2,1,Zaglebie Lubin,Match Finished
2023-08-12T15:30:00+00:00,2023,Ekstraklasa,Poland,Korona Kielce,0,1,Gornik Zabrze,Match Finished
2023-10-24T16:00:00+00:00,2023,Ekstraklasa,Poland,Lech Poznan,3,3,Jagiellonia,Match Finished
2023-08-11T18:30:00+00:00,2023,Ekstraklasa,Poland,Piast Gliwice,2,1,Raków Częstochowa,Match Finished
2023-08-13T13:00:00+00:00,2023,Ekstraklasa,Poland,Pogon Szczecin,0,2,Radomiak Radom,Match Finished
2023-08-13T15:30:00+00:00,2023,Ekstraklasa,Poland,Puszcza Niepołomice,1,1,Legia Warszawa,Match Finished
2023-08-12T13:00:00+00:00,2023,Ekstraklasa,Poland,Stal Mielec,3,1,Slask Wroclaw,Match Finished
2023-08-14T17:00:00+00:00,2023,Ekstraklasa,Poland,Warta Poznań,2,2,Ruch Chorzów,Match Finished
2023-08-12T18:00:00+00:00,2023,Ekstraklasa,Poland,Widzew Łódź,1,0,ŁKS Łódź,Match Finished
2023-08-21T17:00:00+00:00,2023,Ekstraklasa,Poland,Cracovia Krakow,1,1,Piast Gliwice,Match Finished
2023-08-18T18:30:00+00:00,2023,Ekstraklasa,Poland,Gornik Zabrze,1,1,Widzew Łódź,Match Finished
2023-08-18T16:00:00+00:00,2023,Ekstraklasa,Poland,Zaglebie Lubin,1,0,Puszcza Niepołomice,Match Finished
2023-08-20T18:00:00+00:00,2023,Ekstraklasa,Poland,Legia Warszawa,1,0,Korona Kielce,Match Finished
2023-08-19T13:00:00+00:00,2023,Ekstraklasa,Poland,Radomiak Radom,3,2,Warta Poznań,Match Finished
2023-08-19T15:30:00+00:00,2023,Ekstraklasa,Poland,Raków Częstochowa,2,0,Stal Mielec,Match Finished
2023-08-19T18:00:00+00:00,2023,Ekstraklasa,Poland,Ruch Chorzów,0,1,Jagiellonia,Match Finished
2023-08-20T13:00:00+00:00,2023,Ekstraklasa,Poland,ŁKS Łódź,1,0,Pogon Szczecin,Match Finished
