date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2023-04-10T12:30:00+00:00,2023,Eliteserien,Norway,Rosenborg,1,0,Viking,Match Finished,5,5,4,5,0,1
2023-04-10T15:00:00+00:00,2023,Eliteserien,Norway,Aalesund,0,1,Valerenga,Match Finished,3,1,3,1,,
2023-04-10T15:00:00+00:00,2023,Eliteserien,Norway,Ham-Kam,2,0,Sandefjord,Match Finished,2,6,1,1,,
2023-04-19T16:30:00+00:00,2023,Eliteserien,Norway,Lillestrom,4,3,Stromsgodset,Match Finished,14,4,1,2,,
2023-04-10T15:00:00+00:00,2023,Eliteserien,Norway,Sarpsborg 08 FF,0,2,Bodo/Glimt,Match Finished,1,3,1,1,1,0
2023-04-10T15:00:00+00:00,2023,Eliteserien,Norway,Stabaek,0,0,ODD Ballklubb,Match Finished,5,3,1,1,,
2023-04-10T15:00:00+00:00,2023,Eliteserien,Norway,Tromso,1,0,Molde,Match Finished,0,10,2,2,,
2023-04-10T17:15:00+00:00,2023,Eliteserien,Norway,Brann,3,0,Haugesund,Match Finished,9,7,0,5,,
2023-04-15T16:00:00+00:00,2023,Eliteserien,Norway,Viking,2,0,Lillestrom,Match Finished,4,5,1,3,,
2023-04-16T15:00:00+00:00,2023,Eliteserien,Norway,Bodo/Glimt,4,0,Stabaek,Match Finished,8,4,0,1,,
