date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-07-14T15:45:00+00:00,2023,First League,Bulgaria,Pirin Blagoevgrad,1,2,Beroe,Match Finished
2023-07-15T18:00:00+00:00,2023,First League,Bulgaria,Arda Kardzhali,3,3,Cherno More Varna,Match Finished
2023-07-15T15:45:00+00:00,2023,First League,Bulgaria,Levski Sofia,1,2,CSKA 1948,Match Finished
2023-07-14T18:00:00+00:00,2023,First League,Bulgaria,Levski Krumovgrad,3,1,Ludogorets,Match Finished
2023-07-16T15:30:00+00:00,2023,First League,Bulgaria,Lokomotiv Plovdiv,1,1,Botev Plovdiv,Match Finished
2023-07-16T18:00:00+00:00,2023,First League,Bulgaria,Hebar 1918,0,0,CSKA Sofia,Match Finished
2023-07-17T15:30:00+00:00,2023,First League,Bulgaria,Lokomotiv Sofia,1,0,Botev Vratsa,Match Finished
2023-07-17T17:45:00+00:00,2023,First League,Bulgaria,Etar Veliko Tarnovo,0,1,Slavia Sofia,Match Finished
2023-07-21T16:00:00+00:00,2023,First League,Bulgaria,CSKA 1948,3,0,Pirin Blagoevgrad,Match Finished
2023-07-21T18:15:00+00:00,2023,First League,Bulgaria,CSKA Sofia,1,0,Levski Krumovgrad,Match Finished
2023-07-22T16:15:00+00:00,2023,First League,Bulgaria,Botev Plovdiv,1,3,Levski Sofia,Match Finished
2023-07-22T18:30:00+00:00,2023,First League,Bulgaria,Ludogorets,5,0,Etar Veliko Tarnovo,Match Finished
2023-07-23T16:00:00+00:00,2023,First League,Bulgaria,Cherno More Varna,1,0,Hebar 1918,Match Finished
2023-07-23T18:15:00+00:00,2023,First League,Bulgaria,Lokomotiv Sofia,2,4,Lokomotiv Plovdiv,Match Finished
2023-07-24T16:00:00+00:00,2023,First League,Bulgaria,Botev Vratsa,2,0,Slavia Sofia,Match Finished
2023-07-24T18:15:00+00:00,2023,First League,Bulgaria,Beroe,1,0,Arda Kardzhali,Match Finished
2023-07-31T18:15:00+00:00,2023,First League,Bulgaria,Lokomotiv Plovdiv,4,0,Botev Vratsa,Match Finished
2023-07-30T18:15:00+00:00,2023,First League,Bulgaria,Levski Sofia,6,0,Lokomotiv Sofia,Match Finished
2023-07-29T18:15:00+00:00,2023,First League,Bulgaria,Pirin Blagoevgrad,0,0,Botev Plovdiv,Match Finished
2023-11-27T10:45:00+00:00,2023,First League,Bulgaria,Arda Kardzhali,0,3,CSKA 1948,Match Finished
2023-07-29T16:00:00+00:00,2023,First League,Bulgaria,Hebar 1918,1,0,Beroe,Match Finished
2023-07-28T18:15:00+00:00,2023,First League,Bulgaria,Levski Krumovgrad,1,3,Cherno More Varna,Match Finished
2023-11-01T15:00:00+00:00,2023,First League,Bulgaria,Etar Veliko Tarnovo,0,1,CSKA Sofia,Match Finished
2023-11-02T16:00:00+00:00,2023,First League,Bulgaria,Slavia Sofia,0,2,Ludogorets,Match Finished
2023-08-05T16:00:00+00:00,2023,First League,Bulgaria,Botev Vratsa,0,5,Ludogorets,Match Finished
2023-08-06T15:45:00+00:00,2023,First League,Bulgaria,CSKA Sofia,1,1,Slavia Sofia,Match Finished
2023-08-04T16:00:00+00:00,2023,First League,Bulgaria,Cherno More Varna,2,1,Etar Veliko Tarnovo,Match Finished
2023-08-07T18:15:00+00:00,2023,First League,Bulgaria,Beroe,2,0,Levski Krumovgrad,Match Finished
2023-08-07T16:00:00+00:00,2023,First League,Bulgaria,CSKA 1948,1,1,Hebar 1918,Match Finished
2023-08-04T18:15:00+00:00,2023,First League,Bulgaria,Botev Plovdiv,0,2,Arda Kardzhali,Match Finished
2023-08-05T18:15:00+00:00,2023,First League,Bulgaria,Lokomotiv Sofia,2,0,Pirin Blagoevgrad,Match Finished
2023-08-06T18:15:00+00:00,2023,First League,Bulgaria,Lokomotiv Plovdiv,2,1,Levski Sofia,Match Finished
2023-08-13T15:45:00+00:00,2023,First League,Bulgaria,Levski Sofia,1,0,Botev Vratsa,Match Finished
2023-08-11T18:15:00+00:00,2023,First League,Bulgaria,Pirin Blagoevgrad,0,1,Lokomotiv Plovdiv,Match Finished
2023-08-11T16:00:00+00:00,2023,First League,Bulgaria,Arda Kardzhali,1,0,Lokomotiv Sofia,Match Finished
2023-08-12T16:00:00+00:00,2023,First League,Bulgaria,Hebar 1918,1,0,Botev Plovdiv,Match Finished
2023-08-14T18:15:00+00:00,2023,First League,Bulgaria,Levski Krumovgrad,1,0,CSKA 1948,Match Finished
2023-08-14T16:00:00+00:00,2023,First League,Bulgaria,Etar Veliko Tarnovo,2,2,Beroe,Match Finished
2023-08-12T18:15:00+00:00,2023,First League,Bulgaria,Slavia Sofia,1,5,Cherno More Varna,Match Finished
2023-08-13T18:15:00+00:00,2023,First League,Bulgaria,Ludogorets,3,0,CSKA Sofia,Match Finished
2023-08-19T18:15:00+00:00,2023,First League,Bulgaria,Botev Vratsa,0,2,CSKA Sofia,Match Finished
2023-08-20T18:15:00+00:00,2023,First League,Bulgaria,Cherno More Varna,1,0,Ludogorets,Match Finished
2023-08-19T16:00:00+00:00,2023,First League,Bulgaria,Beroe,3,0,Slavia Sofia,Match Finished
2023-08-21T17:30:00+00:00,2023,First League,Bulgaria,CSKA 1948,1,0,Etar Veliko Tarnovo,Match Finished
2023-08-20T16:00:00+00:00,2023,First League,Bulgaria,Botev Plovdiv,1,2,Levski Krumovgrad,Match Finished
2023-08-18T16:00:00+00:00,2023,First League,Bulgaria,Lokomotiv Sofia,0,1,Hebar 1918,Match Finished
2023-08-18T18:15:00+00:00,2023,First League,Bulgaria,Lokomotiv Plovdiv,1,0,Arda Kardzhali,Match Finished
2023-09-14T17:30:00+00:00,2023,First League,Bulgaria,Levski Sofia,2,0,Pirin Blagoevgrad,Match Finished
2023-08-25T16:00:00+00:00,2023,First League,Bulgaria,Pirin Blagoevgrad,0,1,Botev Vratsa,Match Finished
2023-11-01T17:30:00+00:00,2023,First League,Bulgaria,Arda Kardzhali,0,0,Levski Sofia,Match Finished
