date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-07-23T16:45:00+00:00,2023,HNL,Croatia,HNK Gorica,1,1,NK Varazdin,Match Finished
2023-07-23T19:00:00+00:00,2023,HNL,Croatia,NK Lokomotiva Zagreb,1,1,Istra 1961,Match Finished
2023-07-21T18:00:00+00:00,2023,HNL,Croatia,Dinamo Zagreb,1,2,HNK Hajduk Split,Match Finished
2023-07-22T16:45:00+00:00,2023,HNL,Croatia,HNK Rijeka,4,0,Rudes,Match Finished
2023-07-22T19:00:00+00:00,2023,HNL,Croatia,NK Osijek,6,1,NK Slaven Belupo,Match Finished
2023-07-28T18:00:00+00:00,2023,HNL,Croatia,NK Varazdin,2,2,NK Slaven Belupo,Match Finished
2023-07-30T16:45:00+00:00,2023,HNL,Croatia,Rudes,3,4,NK Osijek,Match Finished
2023-07-30T19:05:00+00:00,2023,HNL,Croatia,HNK Hajduk Split,1,0,HNK Rijeka,Match Finished
2023-07-29T19:00:00+00:00,2023,HNL,Croatia,Istra 1961,0,3,Dinamo Zagreb,Match Finished
2023-07-29T16:45:00+00:00,2023,HNL,Croatia,HNK Gorica,1,0,NK Lokomotiva Zagreb,Match Finished
2023-08-04T18:00:00+00:00,2023,HNL,Croatia,NK Lokomotiva Zagreb,3,3,NK Varazdin,Match Finished
2023-08-05T19:00:00+00:00,2023,HNL,Croatia,Dinamo Zagreb,0,0,HNK Gorica,Match Finished
2023-08-06T19:00:00+00:00,2023,HNL,Croatia,HNK Rijeka,6,0,Istra 1961,Match Finished
2023-11-08T16:00:00+00:00,2023,HNL,Croatia,NK Osijek,0,1,HNK Hajduk Split,Match Finished
2023-08-05T16:45:00+00:00,2023,HNL,Croatia,NK Slaven Belupo,3,2,Rudes,Match Finished
2023-08-12T18:00:00+00:00,2023,HNL,Croatia,NK Varazdin,2,0,Rudes,Match Finished
2023-08-13T19:05:00+00:00,2023,HNL,Croatia,HNK Hajduk Split,3,0,NK Slaven Belupo,Match Finished
2023-08-13T16:55:00+00:00,2023,HNL,Croatia,Istra 1961,4,4,NK Osijek,Match Finished
2024-01-24T16:00:00+00:00,2023,HNL,Croatia,HNK Gorica,2,3,HNK Rijeka,Match Finished
2024-04-21T15:00:00+00:00,2023,HNL,Croatia,NK Lokomotiva Zagreb,0,1,Dinamo Zagreb,Match Finished
2024-04-17T15:00:00+00:00,2023,HNL,Croatia,Dinamo Zagreb,2,1,NK Varazdin,Match Finished
2023-08-20T19:05:00+00:00,2023,HNL,Croatia,HNK Rijeka,2,1,NK Lokomotiva Zagreb,Match Finished
2023-08-20T19:00:00+00:00,2023,HNL,Croatia,NK Osijek,1,0,HNK Gorica,Match Finished
2023-08-19T16:30:00+00:00,2023,HNL,Croatia,NK Slaven Belupo,2,2,Istra 1961,Match Finished
2023-08-20T16:50:00+00:00,2023,HNL,Croatia,Rudes,0,2,HNK Hajduk Split,Match Finished
2023-08-26T17:00:00+00:00,2023,HNL,Croatia,NK Varazdin,1,2,HNK Hajduk Split,Match Finished
2023-08-27T16:30:00+00:00,2023,HNL,Croatia,Istra 1961,0,0,Rudes,Match Finished
2023-08-25T18:00:00+00:00,2023,HNL,Croatia,HNK Gorica,2,2,NK Slaven Belupo,Match Finished
2023-08-26T19:05:00+00:00,2023,HNL,Croatia,NK Lokomotiva Zagreb,2,2,NK Osijek,Match Finished
2023-08-27T19:05:00+00:00,2023,HNL,Croatia,Dinamo Zagreb,2,1,HNK Rijeka,Match Finished
2023-09-03T16:30:00+00:00,2023,HNL,Croatia,HNK Rijeka,2,2,NK Varazdin,Match Finished
2023-09-03T19:05:00+00:00,2023,HNL,Croatia,NK Osijek,2,3,Dinamo Zagreb,Match Finished
2023-09-01T18:00:00+00:00,2023,HNL,Croatia,NK Slaven Belupo,0,1,NK Lokomotiva Zagreb,Match Finished
2023-09-02T17:00:00+00:00,2023,HNL,Croatia,Rudes,0,2,HNK Gorica,Match Finished
2023-09-02T19:05:00+00:00,2023,HNL,Croatia,HNK Hajduk Split,0,1,Istra 1961,Match Finished
2023-09-17T17:15:00+00:00,2023,HNL,Croatia,NK Varazdin,1,0,Istra 1961,Match Finished
2023-09-17T15:00:00+00:00,2023,HNL,Croatia,HNK Gorica,2,1,HNK Hajduk Split,Match Finished
2023-09-15T16:00:00+00:00,2023,HNL,Croatia,NK Lokomotiva Zagreb,1,0,Rudes,Match Finished
2023-09-16T15:00:00+00:00,2023,HNL,Croatia,Dinamo Zagreb,3,0,NK Slaven Belupo,Match Finished
2023-09-16T17:30:00+00:00,2023,HNL,Croatia,HNK Rijeka,2,1,NK Osijek,Match Finished
2023-09-22T16:00:00+00:00,2023,HNL,Croatia,NK Osijek,1,1,NK Varazdin,Match Finished
2023-09-24T15:00:00+00:00,2023,HNL,Croatia,NK Slaven Belupo,0,1,HNK Rijeka,Match Finished
2023-09-24T17:15:00+00:00,2023,HNL,Croatia,Rudes,1,5,Dinamo Zagreb,Match Finished
2023-09-23T17:15:00+00:00,2023,HNL,Croatia,HNK Hajduk Split,1,0,NK Lokomotiva Zagreb,Match Finished
2023-09-23T15:00:00+00:00,2023,HNL,Croatia,Istra 1961,0,1,HNK Gorica,Match Finished
2023-09-30T15:00:00+00:00,2023,HNL,Croatia,NK Varazdin,1,0,HNK Gorica,Match Finished
2023-10-02T16:00:00+00:00,2023,HNL,Croatia,Istra 1961,0,4,NK Lokomotiva Zagreb,Match Finished
2023-10-01T16:00:00+00:00,2023,HNL,Croatia,HNK Hajduk Split,1,0,Dinamo Zagreb,Match Finished
2023-10-01T13:15:00+00:00,2023,HNL,Croatia,Rudes,1,2,HNK Rijeka,Match Finished
2023-09-30T17:15:00+00:00,2023,HNL,Croatia,NK Slaven Belupo,1,0,NK Osijek,Match Finished
2023-10-06T16:00:00+00:00,2023,HNL,Croatia,NK Slaven Belupo,3,2,NK Varazdin,Match Finished
2023-10-07T14:00:00+00:00,2023,HNL,Croatia,NK Osijek,3,0,Rudes,Match Finished
2023-10-07T16:30:00+00:00,2023,HNL,Croatia,HNK Rijeka,1,0,HNK Hajduk Split,Match Finished
2023-10-08T15:15:00+00:00,2023,HNL,Croatia,Dinamo Zagreb,3,0,Istra 1961,Match Finished
2023-10-08T13:00:00+00:00,2023,HNL,Croatia,NK Lokomotiva Zagreb,1,1,HNK Gorica,Match Finished
2023-10-21T14:00:00+00:00,2023,HNL,Croatia,NK Varazdin,0,0,NK Lokomotiva Zagreb,Match Finished
2023-10-21T16:10:00+00:00,2023,HNL,Croatia,HNK Gorica,2,1,Dinamo Zagreb,Match Finished
2023-10-22T13:00:00+00:00,2023,HNL,Croatia,Istra 1961,1,1,HNK Rijeka,Match Finished
2023-10-22T16:00:00+00:00,2023,HNL,Croatia,HNK Hajduk Split,0,2,NK Osijek,Match Finished
2023-10-20T16:00:00+00:00,2023,HNL,Croatia,Rudes,0,0,NK Slaven Belupo,Match Finished
2023-10-28T14:00:00+00:00,2023,HNL,Croatia,Rudes,0,0,NK Varazdin,Match Finished
2023-10-27T16:00:00+00:00,2023,HNL,Croatia,NK Slaven Belupo,0,1,HNK Hajduk Split,Match Finished
2023-10-28T16:10:00+00:00,2023,HNL,Croatia,NK Osijek,3,1,Istra 1961,Match Finished
2023-10-29T14:00:00+00:00,2023,HNL,Croatia,HNK Rijeka,1,0,HNK Gorica,Match Finished
2023-10-29T16:10:00+00:00,2023,HNL,Croatia,Dinamo Zagreb,2,1,NK Lokomotiva Zagreb,Match Finished
2023-11-05T14:00:00+00:00,2023,HNL,Croatia,NK Varazdin,1,1,Dinamo Zagreb,Match Finished
2023-11-03T17:00:00+00:00,2023,HNL,Croatia,NK Lokomotiva Zagreb,1,1,HNK Rijeka,Match Finished
2023-11-04T15:00:00+00:00,2023,HNL,Croatia,HNK Gorica,3,0,NK Osijek,Match Finished
2023-11-05T16:10:00+00:00,2023,HNL,Croatia,Istra 1961,2,0,NK Slaven Belupo,Match Finished
2023-11-04T17:10:00+00:00,2023,HNL,Croatia,HNK Hajduk Split,1,0,Rudes,Match Finished
2023-11-12T15:30:00+00:00,2023,HNL,Croatia,HNK Hajduk Split,3,1,NK Varazdin,Match Finished
2023-11-11T15:00:00+00:00,2023,HNL,Croatia,Rudes,0,4,Istra 1961,Match Finished
2023-11-10T17:00:00+00:00,2023,HNL,Croatia,NK Slaven Belupo,0,0,HNK Gorica,Match Finished
2023-11-11T17:10:00+00:00,2023,HNL,Croatia,NK Osijek,1,1,NK Lokomotiva Zagreb,Match Finished
2023-11-12T18:00:00+00:00,2023,HNL,Croatia,HNK Rijeka,2,2,Dinamo Zagreb,Match Finished
2023-11-25T14:00:00+00:00,2023,HNL,Croatia,NK Varazdin,0,2,HNK Rijeka,Match Finished
2023-11-25T16:30:00+00:00,2023,HNL,Croatia,Dinamo Zagreb,2,1,NK Osijek,Match Finished
2023-11-24T17:00:00+00:00,2023,HNL,Croatia,NK Lokomotiva Zagreb,1,3,NK Slaven Belupo,Match Finished
