date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-07-24T16:00:00+00:00,2023,I Liga,Poland,Stal Rzeszów,2,5,Odra Opole,Match Finished
2023-07-21T16:00:00+00:00,2023,I Liga,Poland,Arka Gdynia,2,2,Nieciecza,Match Finished
2023-07-23T16:00:00+00:00,2023,I Liga,Poland,Miedz Legnica,1,0,GKS Katowice,Match Finished
2023-07-22T13:00:00+00:00,2023,I Liga,Poland,Chrobry Głogów,2,4,Lechia Gdansk,Match Finished
2023-07-21T18:30:00+00:00,2023,I Liga,Poland,Motor Lublin,3,2,Zaglebie Sosnowiec,Match Finished
2023-07-23T13:00:00+00:00,2023,I Liga,Poland,Znicz Pruszków,2,0,Resovia Rzeszów,Match Finished
2023-07-22T18:00:00+00:00,2023,I Liga,Poland,Polonia Warszawa,2,3,Tychy 71,Match Finished
2023-07-22T15:30:00+00:00,2023,I Liga,Poland,Górnik Łęczna,2,2,Wisla Krakow,Match Finished
2023-07-23T10:40:00+00:00,2023,I Liga,Poland,Podbeskidzie,1,1,Wisla Plock,Match Finished
2023-07-30T13:00:00+00:00,2023,I Liga,Poland,Odra Opole,3,0,Resovia Rzeszów,Match Finished
2023-07-29T13:00:00+00:00,2023,I Liga,Poland,Podbeskidzie,1,1,Znicz Pruszków,Match Finished
2023-07-29T15:30:00+00:00,2023,I Liga,Poland,Zaglebie Sosnowiec,1,1,Wisla Plock,Match Finished
2023-07-28T18:30:00+00:00,2023,I Liga,Poland,Lechia Gdansk,0,1,Motor Lublin,Match Finished
2023-07-31T16:00:00+00:00,2023,I Liga,Poland,GKS Katowice,3,1,Chrobry Głogów,Match Finished
2023-07-29T18:00:00+00:00,2023,I Liga,Poland,Nieciecza,1,4,Miedz Legnica,Match Finished
2023-07-28T16:00:00+00:00,2023,I Liga,Poland,Górnik Łęczna,0,0,Arka Gdynia,Match Finished
2023-07-30T10:40:00+00:00,2023,I Liga,Poland,Polonia Warszawa,2,3,Wisla Krakow,Match Finished
2023-07-30T16:00:00+00:00,2023,I Liga,Poland,Stal Rzeszów,1,2,Tychy 71,Match Finished
2023-08-05T15:30:00+00:00,2023,I Liga,Poland,Wisla Krakow,0,0,Stal Rzeszów,Match Finished
