date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-07-28T18:45:00+00:00,2023,Jupiler Pro League,Belgium,Union St. Gilloise,2,0,Anderlecht,Match Finished
2023-07-29T14:00:00+00:00,2023,Jupiler Pro League,Belgium,AS Eupen,2,2,KVC Westerlo,Match Finished
2023-07-29T16:15:00+00:00,2023,Jupiler Pro League,Belgium,Charleroi,1,1,OH Leuven,Match Finished
2023-07-29T18:45:00+00:00,2023,Jupiler Pro League,Belgium,RWDM,0,4,Genk,Match Finished
2023-07-30T11:30:00+00:00,2023,Jupiler Pro League,Belgium,Antwerp,1,0,Cercle Brugge,Match Finished
2023-07-30T14:00:00+00:00,2023,Jupiler Pro League,Belgium,Gent,3,2,Kortrijk,Match Finished
2023-07-30T16:30:00+00:00,2023,Jupiler Pro League,Belgium,Club Brugge KV,1,1,KV Mechelen,Match Finished
2023-07-30T17:15:00+00:00,2023,Jupiler Pro League,Belgium,St. Truiden,1,0,Standard Liege,Match Finished
2023-08-04T18:45:00+00:00,2023,Jupiler Pro League,Belgium,Standard Liege,0,1,Union St. Gilloise,Match Finished
2023-08-05T14:00:00+00:00,2023,Jupiler Pro League,Belgium,Genk,0,1,AS Eupen,Match Finished
2023-08-05T16:15:00+00:00,2023,Jupiler Pro League,Belgium,Cercle Brugge,2,0,Charleroi,Match Finished
2023-08-05T18:45:00+00:00,2023,Jupiler Pro League,Belgium,OH Leuven,1,2,RWDM,Match Finished
2023-08-06T11:30:00+00:00,2023,Jupiler Pro League,Belgium,Anderlecht,1,0,Antwerp,Match Finished
2023-08-06T14:00:00+00:00,2023,Jupiler Pro League,Belgium,KV Mechelen,0,1,Gent,Match Finished
2023-08-06T16:30:00+00:00,2023,Jupiler Pro League,Belgium,KVC Westerlo,0,1,Club Brugge KV,Match Finished
2023-08-06T17:15:00+00:00,2023,Jupiler Pro League,Belgium,Kortrijk,0,1,St. Truiden,Match Finished
2023-08-11T18:45:00+00:00,2023,Jupiler Pro League,Belgium,Antwerp,6,0,Kortrijk,Match Finished
2023-08-12T14:00:00+00:00,2023,Jupiler Pro League,Belgium,RWDM,1,0,KV Mechelen,Match Finished
2023-08-12T16:15:00+00:00,2023,Jupiler Pro League,Belgium,Union St. Gilloise,5,1,OH Leuven,Match Finished
2023-08-13T14:00:00+00:00,2023,Jupiler Pro League,Belgium,Cercle Brugge,0,1,Genk,Match Finished
2023-08-13T11:30:00+00:00,2023,Jupiler Pro League,Belgium,St. Truiden,0,1,Anderlecht,Match Finished
2023-08-13T14:00:00+00:00,2023,Jupiler Pro League,Belgium,AS Eupen,0,5,Club Brugge KV,Match Finished
2023-08-13T16:30:00+00:00,2023,Jupiler Pro League,Belgium,Charleroi,1,1,Standard Liege,Match Finished
2023-08-13T17:15:00+00:00,2023,Jupiler Pro League,Belgium,KVC Westerlo,1,3,Gent,Match Finished
2023-08-18T18:45:00+00:00,2023,Jupiler Pro League,Belgium,OH Leuven,1,1,Antwerp,Match Finished
2023-08-19T14:00:00+00:00,2023,Jupiler Pro League,Belgium,Standard Liege,0,1,Cercle Brugge,Match Finished
2023-08-20T14:00:00+00:00,2023,Jupiler Pro League,Belgium,Genk,0,0,Charleroi,Match Finished
2023-08-19T18:45:00+00:00,2023,Jupiler Pro League,Belgium,KV Mechelen,4,0,Union St. Gilloise,Match Finished
2023-08-20T11:30:00+00:00,2023,Jupiler Pro League,Belgium,Anderlecht,2,1,KVC Westerlo,Match Finished
2023-08-20T14:00:00+00:00,2023,Jupiler Pro League,Belgium,Gent,2,2,St. Truiden,Match Finished
2023-08-20T16:30:00+00:00,2023,Jupiler Pro League,Belgium,Club Brugge KV,7,1,RWDM,Match Finished
2023-08-20T17:15:00+00:00,2023,Jupiler Pro League,Belgium,Kortrijk,1,3,AS Eupen,Match Finished
2023-09-27T18:45:00+00:00,2023,Jupiler Pro League,Belgium,Antwerp,0,0,Gent,Match Finished
2023-08-26T14:00:00+00:00,2023,Jupiler Pro League,Belgium,KVC Westerlo,2,3,KV Mechelen,Match Finished
2023-08-26T16:15:00+00:00,2023,Jupiler Pro League,Belgium,AS Eupen,3,1,OH Leuven,Match Finished
2023-08-26T18:45:00+00:00,2023,Jupiler Pro League,Belgium,Kortrijk,1,1,Standard Liege,Match Finished
2023-09-28T16:30:00+00:00,2023,Jupiler Pro League,Belgium,RWDM,2,3,Union St. Gilloise,Match Finished
2023-09-28T18:45:00+00:00,2023,Jupiler Pro League,Belgium,Club Brugge KV,1,1,Genk,Match Finished
2023-08-27T14:00:00+00:00,2023,Jupiler Pro League,Belgium,St. Truiden,0,2,Cercle Brugge,Match Finished
2023-08-27T16:30:00+00:00,2023,Jupiler Pro League,Belgium,Anderlecht,2,1,Charleroi,Match Finished
2023-09-01T18:45:00+00:00,2023,Jupiler Pro League,Belgium,OH Leuven,3,0,Kortrijk,Match Finished
2023-09-02T14:00:00+00:00,2023,Jupiler Pro League,Belgium,Cercle Brugge,2,1,KVC Westerlo,Match Finished
2023-09-02T16:15:00+00:00,2023,Jupiler Pro League,Belgium,KV Mechelen,1,0,AS Eupen,Match Finished
2023-09-02T18:45:00+00:00,2023,Jupiler Pro League,Belgium,Standard Liege,1,1,RWDM,Match Finished
2023-09-03T11:30:00+00:00,2023,Jupiler Pro League,Belgium,Gent,2,1,Club Brugge KV,Match Finished
2023-09-03T14:00:00+00:00,2023,Jupiler Pro League,Belgium,Union St. Gilloise,2,2,Antwerp,Match Finished
2023-09-03T16:30:00+00:00,2023,Jupiler Pro League,Belgium,Genk,1,1,Anderlecht,Match Finished
2023-09-03T17:15:00+00:00,2023,Jupiler Pro League,Belgium,Charleroi,1,1,St. Truiden,Match Finished
2023-09-15T18:45:00+00:00,2023,Jupiler Pro League,Belgium,KVC Westerlo,0,3,Antwerp,Match Finished
2023-09-16T14:00:00+00:00,2023,Jupiler Pro League,Belgium,RWDM,2,1,Cercle Brugge,Match Finished
2023-09-16T16:15:00+00:00,2023,Jupiler Pro League,Belgium,Union St. Gilloise,0,2,Genk,Match Finished
2023-09-16T18:45:00+00:00,2023,Jupiler Pro League,Belgium,Club Brugge KV,4,2,Charleroi,Match Finished
2023-09-17T11:30:00+00:00,2023,Jupiler Pro League,Belgium,AS Eupen,1,3,Standard Liege,Match Finished
2023-09-17T14:00:00+00:00,2023,Jupiler Pro League,Belgium,Kortrijk,2,2,Anderlecht,Match Finished
2023-09-17T16:30:00+00:00,2023,Jupiler Pro League,Belgium,OH Leuven,1,1,Gent,Match Finished
