date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2024-03-09T11:00:00+00:00,2024,League One,China,Guangxi Baoyun,2,0,Jiangxi Liansheng,Match Finished,,,,,,
2024-03-09T11:30:00+00:00,2024,League One,China,Chongqing Tongliang Long,1,0,Shenyang Urban,Match Finished,,,,,,
2024-03-09T11:30:00+00:00,2024,League One,China,Guangzhou Evergrande FC,0,1,Heilongjiang Lava Spring,Match Finished,,,,,,
2024-03-09T11:30:00+00:00,2024,League One,China,Dongguan United,0,0,Yunnan Yukun,Match Finished,,,,,,
2024-03-10T07:30:00+00:00,2024,League One,China,Qingdao Red Lions,0,1,Dalian Zhixing,Match Finished,,,,,,
2024-03-10T07:30:00+00:00,2024,League One,China,Shanghai Jiading,0,1,Nanjing City,Match Finished,,,,,,
2024-03-10T07:30:00+00:00,2024,League One,China,Suzhou Dongwu,1,1,Yanbian Longding,Match Finished,,,,,,
2024-03-10T07:30:00+00:00,2024,League One,China,Wuxi Wugou,0,0,Hebei Kungfu,Match Finished,,,,,,
2024-03-16T07:30:00+00:00,2024,League One,China,Qingdao Red Lions,0,0,Dongguan United,Match Finished,,,,,,
2024-03-16T07:30:00+00:00,2024,League One,China,Wuxi Wugou,2,0,Yanbian Longding,Match Finished,,,,,,
