date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-05T14:00:00+00:00,2023,League One,Scotland,Falkirk,3,0,Annan Athletic,Match Finished
2023-08-05T14:00:00+00:00,2023,League One,Scotland,Hamilton Academical,1,0,Cove Rangers,Match Finished
2023-08-05T14:00:00+00:00,2023,League One,Scotland,Montrose,0,2,Kelty Hearts,Match Finished
2023-08-05T14:00:00+00:00,2023,League One,Scotland,Queen of the South,3,4,Alloa Athletic,Match Finished
2023-08-05T14:00:00+00:00,2023,League One,Scotland,Stirling Albion,1,0,Edinburgh City,Match Finished
2023-08-12T14:00:00+00:00,2023,League One,Scotland,Alloa Athletic,0,1,Stirling Albion,Match Finished
2023-08-12T14:00:00+00:00,2023,League One,Scotland,Annan Athletic,1,3,Montrose,Match Finished
2023-08-12T14:00:00+00:00,2023,League One,Scotland,Cove Rangers,2,2,Falkirk,Match Finished
2023-08-12T14:00:00+00:00,2023,League One,Scotland,Edinburgh City,1,2,Queen of the South,Match Finished
2023-08-12T14:00:00+00:00,2023,League One,Scotland,Kelty Hearts,0,2,Hamilton Academical,Match Finished
2023-08-19T14:00:00+00:00,2023,League One,Scotland,Edinburgh City,0,3,Hamilton Academical,Match Finished
2023-08-22T18:45:00+00:00,2023,League One,Scotland,Falkirk,3,0,Stirling Albion,Match Finished
2023-08-19T14:00:00+00:00,2023,League One,Scotland,Kelty Hearts,2,1,Alloa Athletic,Match Finished
2023-08-19T14:00:00+00:00,2023,League One,Scotland,Montrose,0,3,Cove Rangers,Match Finished
2023-08-19T14:00:00+00:00,2023,League One,Scotland,Queen of the South,3,1,Annan Athletic,Match Finished
2023-08-26T16:30:00+00:00,2023,League One,Scotland,Alloa Athletic,1,4,Falkirk,Match Finished
2023-08-26T14:00:00+00:00,2023,League One,Scotland,Annan Athletic,3,2,Edinburgh City,Match Finished
2023-08-26T14:00:00+00:00,2023,League One,Scotland,Cove Rangers,1,2,Queen of the South,Match Finished
