date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-05T14:00:00+00:00,2023,League Two,Scotland,Bonnyrigg Rose Athletic,1,1,Dumbarton,Match Finished
2023-08-05T14:00:00+00:00,2023,League Two,Scotland,East Fife,0,3,Peterhead,Match Finished
2023-08-05T14:00:00+00:00,2023,League Two,Scotland,Elgin City,0,1,Stranraer,Match Finished
2023-08-05T14:00:00+00:00,2023,League Two,Scotland,Stenhousemuir,0,0,Forfar Athletic,Match Finished
2023-08-05T14:00:00+00:00,2023,League Two,Scotland,Spartans,1,1,Clyde,Match Finished
2023-08-12T14:00:00+00:00,2023,League Two,Scotland,Clyde,0,2,Bonnyrigg Rose Athletic,Match Finished
2023-08-12T14:00:00+00:00,2023,League Two,Scotland,Dumbarton,1,1,Spartans,Match Finished
2023-08-12T14:00:00+00:00,2023,League Two,Scotland,Forfar Athletic,0,0,Elgin City,Match Finished
2023-08-12T14:00:00+00:00,2023,League Two,Scotland,Peterhead,0,0,Stenhousemuir,Match Finished
2023-08-12T14:00:00+00:00,2023,League Two,Scotland,Stranraer,1,1,East Fife,Match Finished
2023-08-19T14:00:00+00:00,2023,League Two,Scotland,Bonnyrigg Rose Athletic,1,1,Stranraer,Match Finished
2023-08-19T14:00:00+00:00,2023,League Two,Scotland,Clyde,1,2,Peterhead,Match Finished
2023-08-19T14:00:00+00:00,2023,League Two,Scotland,Dumbarton,3,1,Forfar Athletic,Match Finished
2023-08-19T14:00:00+00:00,2023,League Two,Scotland,East Fife,0,2,Stenhousemuir,Match Finished
2023-08-19T14:00:00+00:00,2023,League Two,Scotland,Spartans,2,1,Elgin City,Match Finished
2023-08-26T14:00:00+00:00,2023,League Two,Scotland,Elgin City,1,1,East Fife,Match Finished
2023-08-26T14:00:00+00:00,2023,League Two,Scotland,Forfar Athletic,1,2,Bonnyrigg Rose Athletic,Match Finished
2023-08-26T14:00:00+00:00,2023,League Two,Scotland,Peterhead,0,1,Spartans,Match Finished
2023-08-26T14:00:00+00:00,2023,League Two,Scotland,Stenhousemuir,2,4,Dumbarton,Match Finished
2023-08-26T14:00:00+00:00,2023,League Two,Scotland,Stranraer,1,0,Clyde,Match Finished
2023-09-02T14:00:00+00:00,2023,League Two,Scotland,Bonnyrigg Rose Athletic,5,1,Elgin City,Match Finished
