date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-28T16:00:00+00:00,2023,Liga Leumit,Israel,Hapoel Ramat Gan,0,1,Hapoel Nazareth Illit,Match Finished
2023-08-24T16:30:00+00:00,2023,Liga Leumit,Israel,Maccabi Kabilio Jaffa,5,1,Hapoel Afula,Match Finished
2023-08-24T16:30:00+00:00,2023,Liga Leumit,Israel,Ihud Bnei Shfaram,0,1,Hapoel Rishon LeZion,Match Finished
2023-08-28T16:00:00+00:00,2023,Liga Leumit,Israel,Hapoel Kfar Saba,3,3,Bnei Yehuda,Match Finished
2023-08-24T16:30:00+00:00,2023,Liga Leumit,Israel,Kafr Qasim,0,3,Hapoel Ramat HaSharon,Match Finished
2023-08-24T16:30:00+00:00,2023,Liga Leumit,Israel,Ironi Kiryat Shmona,1,0,Hapoel Acre,Match Finished
2023-08-24T16:30:00+00:00,2023,Liga Leumit,Israel,Ironi Tiberias,1,0,Sektzia Nes Tziona,Match Finished
2023-08-28T16:00:00+00:00,2023,Liga Leumit,Israel,Hapoel Umm al-Fahm,2,0,Maccabi Herzliya,Match Finished
2023-08-31T16:30:00+00:00,2023,Liga Leumit,Israel,Maccabi Herzliya,1,1,Hapoel Ramat Gan,Match Finished
2023-09-04T16:00:00+00:00,2023,Liga Leumit,Israel,Sektzia Nes Tziona,0,2,Hapoel Umm al-Fahm,Match Finished
2023-08-31T16:30:00+00:00,2023,Liga Leumit,Israel,Hapoel Acre,1,1,Ironi Tiberias,Match Finished
2023-08-31T16:30:00+00:00,2023,Liga Leumit,Israel,Hapoel Ramat HaSharon,2,1,Ironi Kiryat Shmona,Match Finished
2023-09-04T16:00:00+00:00,2023,Liga Leumit,Israel,Bnei Yehuda,1,0,Kafr Qasim,Match Finished
2023-09-04T16:00:00+00:00,2023,Liga Leumit,Israel,Hapoel Rishon LeZion,0,0,Hapoel Kfar Saba,Match Finished
2023-08-31T16:30:00+00:00,2023,Liga Leumit,Israel,Hapoel Afula,1,3,Ihud Bnei Shfaram,Match Finished
2023-08-31T16:30:00+00:00,2023,Liga Leumit,Israel,Hapoel Nazareth Illit,2,1,Maccabi Kabilio Jaffa,Match Finished
2023-09-11T16:00:00+00:00,2023,Liga Leumit,Israel,Maccabi Kabilio Jaffa,3,3,Hapoel Ramat Gan,Match Finished
2023-09-11T16:00:00+00:00,2023,Liga Leumit,Israel,Ihud Bnei Shfaram,3,2,Hapoel Nazareth Illit,Match Finished
2023-09-07T16:30:00+00:00,2023,Liga Leumit,Israel,Hapoel Kfar Saba,0,2,Hapoel Afula,Match Finished
2023-09-07T16:30:00+00:00,2023,Liga Leumit,Israel,Kafr Qasim,1,1,Hapoel Rishon LeZion,Match Finished
2023-09-11T16:00:00+00:00,2023,Liga Leumit,Israel,Ironi Kiryat Shmona,1,0,Bnei Yehuda,Match Finished
2023-09-07T16:30:00+00:00,2023,Liga Leumit,Israel,Ironi Tiberias,2,2,Hapoel Ramat HaSharon,Match Finished
2023-09-07T16:30:00+00:00,2023,Liga Leumit,Israel,Hapoel Umm al-Fahm,0,0,Hapoel Acre,Match Finished
2023-09-07T16:30:00+00:00,2023,Liga Leumit,Israel,Maccabi Herzliya,1,1,Sektzia Nes Tziona,Match Finished
2023-09-14T16:30:00+00:00,2023,Liga Leumit,Israel,Hapoel Ramat Gan,5,1,Sektzia Nes Tziona,Match Finished
2023-09-14T16:30:00+00:00,2023,Liga Leumit,Israel,Hapoel Acre,2,3,Maccabi Herzliya,Match Finished
2023-09-14T16:30:00+00:00,2023,Liga Leumit,Israel,Hapoel Ramat HaSharon,1,1,Hapoel Umm al-Fahm,Match Finished
2023-09-14T16:30:00+00:00,2023,Liga Leumit,Israel,Bnei Yehuda,4,1,Ironi Tiberias,Match Finished
2023-09-14T16:30:00+00:00,2023,Liga Leumit,Israel,Hapoel Rishon LeZion,0,2,Ironi Kiryat Shmona,Match Finished
2023-09-18T16:00:00+00:00,2023,Liga Leumit,Israel,Hapoel Afula,1,1,Kafr Qasim,Match Finished
2023-09-18T16:00:00+00:00,2023,Liga Leumit,Israel,Hapoel Nazareth Illit,1,0,Hapoel Kfar Saba,Match Finished
2023-09-18T16:00:00+00:00,2023,Liga Leumit,Israel,Maccabi Kabilio Jaffa,4,1,Ihud Bnei Shfaram,Match Finished
2023-09-21T16:30:00+00:00,2023,Liga Leumit,Israel,Ihud Bnei Shfaram,0,1,Hapoel Ramat Gan,Match Finished
2023-09-21T16:30:00+00:00,2023,Liga Leumit,Israel,Hapoel Kfar Saba,1,4,Maccabi Kabilio Jaffa,Match Finished
2023-09-21T16:30:00+00:00,2023,Liga Leumit,Israel,Kafr Qasim,1,1,Hapoel Nazareth Illit,Match Finished
2023-09-21T16:30:00+00:00,2023,Liga Leumit,Israel,Ironi Kiryat Shmona,4,0,Hapoel Afula,Match Finished
2023-09-21T16:30:00+00:00,2023,Liga Leumit,Israel,Ironi Tiberias,2,1,Hapoel Rishon LeZion,Match Finished
2023-09-21T16:30:00+00:00,2023,Liga Leumit,Israel,Hapoel Umm al-Fahm,1,2,Bnei Yehuda,Match Finished
2023-09-21T16:30:00+00:00,2023,Liga Leumit,Israel,Maccabi Herzliya,1,3,Hapoel Ramat HaSharon,Match Finished
2023-09-21T16:30:00+00:00,2023,Liga Leumit,Israel,Sektzia Nes Tziona,1,0,Hapoel Acre,Match Finished
2023-10-02T16:00:00+00:00,2023,Liga Leumit,Israel,Hapoel Ramat Gan,0,0,Hapoel Acre,Match Finished
2023-09-28T16:30:00+00:00,2023,Liga Leumit,Israel,Hapoel Ramat HaSharon,5,2,Sektzia Nes Tziona,Match Finished
2023-09-28T16:30:00+00:00,2023,Liga Leumit,Israel,Bnei Yehuda,3,0,Maccabi Herzliya,Match Finished
2023-09-28T16:30:00+00:00,2023,Liga Leumit,Israel,Hapoel Rishon LeZion,1,1,Hapoel Umm al-Fahm,Match Finished
2023-10-02T16:00:00+00:00,2023,Liga Leumit,Israel,Hapoel Afula,1,1,Ironi Tiberias,Match Finished
2023-09-28T16:30:00+00:00,2023,Liga Leumit,Israel,Hapoel Nazareth Illit,2,1,Ironi Kiryat Shmona,Match Finished
2023-10-02T16:00:00+00:00,2023,Liga Leumit,Israel,Maccabi Kabilio Jaffa,0,1,Kafr Qasim,Match Finished
2023-09-28T16:30:00+00:00,2023,Liga Leumit,Israel,Ihud Bnei Shfaram,1,2,Hapoel Kfar Saba,Match Finished
2023-11-28T17:00:00+00:00,2023,Liga Leumit,Israel,Hapoel Kfar Saba,1,0,Hapoel Ramat Gan,Match Finished
2023-10-05T16:30:00+00:00,2023,Liga Leumit,Israel,Kafr Qasim,3,1,Ihud Bnei Shfaram,Match Finished
2023-10-05T16:30:00+00:00,2023,Liga Leumit,Israel,Ironi Kiryat Shmona,5,1,Maccabi Kabilio Jaffa,Match Finished
2023-10-05T16:30:00+00:00,2023,Liga Leumit,Israel,Ironi Tiberias,2,0,Hapoel Nazareth Illit,Match Finished
2023-10-05T16:30:00+00:00,2023,Liga Leumit,Israel,Hapoel Umm al-Fahm,1,1,Hapoel Afula,Match Finished
