date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2024-05-11T22:45:00+00:00,2024,Liga Profesional Argentina,Argentina,River Plate,3,0,Central Cordoba de Santiago,Match Finished,7,2,2,4,0,1
2024-05-12T20:45:00+00:00,2024,Liga Profesional Argentina,Argentina,Belgrano Cordoba,4,4,Racing Club,Match Finished,4,9,3,2,,
2024-05-11T00:15:00+00:00,2024,Liga Profesional Argentina,Argentina,Argentinos JRS,3,2,Rosario Central,Match Finished,6,0,1,4,,
2024-05-12T18:30:00+00:00,2024,Liga Profesional Argentina,Argentina,Tigre,0,1,Estudiantes L.P.,Match Finished,8,2,2,1,,
2024-05-12T18:30:00+00:00,2024,Liga Profesional Argentina,Argentina,Deportivo Riestra,1,0,San Lorenzo,Match Finished,3,4,5,4,,
2024-05-12T20:45:00+00:00,2024,Liga Profesional Argentina,Argentina,Lanus,0,2,Independ. Rivadavia,Match Finished,6,3,1,1,1,0
2024-05-11T18:30:00+00:00,2024,Liga Profesional Argentina,Argentina,Godoy Cruz,0,1,Barracas Central,Match Finished,7,5,0,1,,
2024-05-10T22:00:00+00:00,2024,Liga Profesional Argentina,Argentina,Sarmiento Junin,1,2,Instituto Cordoba,Match Finished,7,3,3,4,,
2024-05-14T00:00:00+00:00,2024,Liga Profesional Argentina,Argentina,Union Santa Fe,1,0,Banfield,Match Finished,5,2,2,4,,
2024-05-11T17:30:00+00:00,2024,Liga Profesional Argentina,Argentina,Huracan,3,1,Defensa Y Justicia,Match Finished,6,5,1,6,0,1
