date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-05T17:00:00+00:00,2023,Ligue 2,France,Amiens,1,0,Quevilly,Match Finished
2023-08-05T17:00:00+00:00,2023,Ligue 2,France,Ajaccio,1,1,Rodez,Match Finished
2023-08-05T17:00:00+00:00,2023,Ligue 2,France,Annecy,1,4,Guingamp,Match Finished
2023-08-07T18:45:00+00:00,2023,Ligue 2,France,PAU,3,0,Bordeaux,Match Finished
2023-08-05T13:00:00+00:00,2023,Ligue 2,France,Saint Etienne,0,1,Grenoble,Match Finished
2023-08-05T17:00:00+00:00,2023,Ligue 2,France,Valenciennes,1,4,Auxerre,Match Finished
2023-08-05T17:00:00+00:00,2023,Ligue 2,France,Laval,1,0,Angers,Match Finished
2023-08-05T17:00:00+00:00,2023,Ligue 2,France,Paris FC,0,2,Caen,Match Finished
2023-08-05T17:00:00+00:00,2023,Ligue 2,France,Dunkerque,2,2,Estac Troyes,Match Finished
2023-08-05T17:00:00+00:00,2023,Ligue 2,France,Concarneau,0,0,Bastia,Match Finished
2023-08-12T17:00:00+00:00,2023,Ligue 2,France,Angers,0,0,Annecy,Match Finished
2023-08-14T18:45:00+00:00,2023,Ligue 2,France,Bordeaux,1,0,Concarneau,Match Finished
2023-08-12T17:00:00+00:00,2023,Ligue 2,France,Bastia,3,0,Valenciennes,Match Finished
2023-08-12T17:00:00+00:00,2023,Ligue 2,France,Auxerre,0,1,Amiens,Match Finished
2023-08-12T17:00:00+00:00,2023,Ligue 2,France,Caen,2,0,PAU,Match Finished
2023-08-12T17:00:00+00:00,2023,Ligue 2,France,Guingamp,0,1,Dunkerque,Match Finished
2023-08-12T17:00:00+00:00,2023,Ligue 2,France,Estac Troyes,3,1,Laval,Match Finished
2023-08-12T17:00:00+00:00,2023,Ligue 2,France,Grenoble,2,0,Paris FC,Match Finished
2023-08-12T17:00:00+00:00,2023,Ligue 2,France,Quevilly,0,1,Ajaccio,Match Finished
2023-08-12T13:00:00+00:00,2023,Ligue 2,France,Rodez,2,1,Saint Etienne,Match Finished
2023-08-19T17:00:00+00:00,2023,Ligue 2,France,Amiens,2,1,Bastia,Match Finished
2023-08-21T18:45:00+00:00,2023,Ligue 2,France,Ajaccio,0,0,Bordeaux,Match Finished
