date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-07-30T15:30:00+00:00,2023,NB II,Hungary,Nyiregyhaza,2,0,Siofok,Match Finished
2023-07-30T15:30:00+00:00,2023,NB II,Hungary,BVSC,1,0,Szombathelyi Haladas,Match Finished
2023-07-30T15:30:00+00:00,2023,NB II,Hungary,Gyirmot SE,2,3,Gyori ETO FC,Match Finished
2023-07-30T17:00:00+00:00,2023,NB II,Hungary,Kozarmisleny FC,1,2,Tiszakecske FC,Match Finished
2023-07-30T17:00:00+00:00,2023,NB II,Hungary,Csakvar,1,2,Budapest Honved,Match Finished
2023-07-30T17:00:00+00:00,2023,NB II,Hungary,Ajka,1,1,Soroksar,Match Finished
2023-07-30T17:00:00+00:00,2023,NB II,Hungary,Vasas,0,1,Budafoki LC,Match Finished
2023-07-30T17:00:00+00:00,2023,NB II,Hungary,Kazincbarcikai,0,1,Szeged 2011,Match Finished
2023-07-30T17:00:00+00:00,2023,NB II,Hungary,Pécsi MFC,1,0,MTE 1904,Match Finished
2023-08-06T15:30:00+00:00,2023,NB II,Hungary,MTE 1904,0,3,Kazincbarcikai,Match Finished
2023-08-06T15:30:00+00:00,2023,NB II,Hungary,Budafoki LC,2,0,Ajka,Match Finished
2023-08-06T15:30:00+00:00,2023,NB II,Hungary,Soroksar,1,0,Gyirmot SE,Match Finished
2023-08-06T15:30:00+00:00,2023,NB II,Hungary,Budapest Honved,1,2,Kozarmisleny FC,Match Finished
2023-08-05T18:00:00+00:00,2023,NB II,Hungary,Szeged 2011,4,3,Vasas,Match Finished
2023-08-06T17:00:00+00:00,2023,NB II,Hungary,Gyori ETO FC,4,0,BVSC,Match Finished
2023-08-06T17:00:00+00:00,2023,NB II,Hungary,Tiszakecske FC,1,1,Nyiregyhaza,Match Finished
2023-08-06T17:00:00+00:00,2023,NB II,Hungary,Siofok,0,1,Pécsi MFC,Match Finished
2023-08-06T17:00:00+00:00,2023,NB II,Hungary,Csakvar,4,2,Szombathelyi Haladas,Match Finished
2023-08-13T15:30:00+00:00,2023,NB II,Hungary,Nyiregyhaza,0,0,Budapest Honved,Match Finished
2023-08-13T15:30:00+00:00,2023,NB II,Hungary,BVSC,1,2,Soroksar,Match Finished
2023-08-13T15:30:00+00:00,2023,NB II,Hungary,Gyirmot SE,1,1,Budafoki LC,Match Finished
2023-08-13T17:00:00+00:00,2023,NB II,Hungary,Kozarmisleny FC,2,0,Szombathelyi Haladas,Match Finished
2023-08-13T17:00:00+00:00,2023,NB II,Hungary,Csakvar,1,2,Gyori ETO FC,Match Finished
2023-08-13T17:00:00+00:00,2023,NB II,Hungary,Ajka,0,0,Szeged 2011,Match Finished
2023-08-13T17:00:00+00:00,2023,NB II,Hungary,Vasas,5,1,MTE 1904,Match Finished
2023-08-13T17:00:00+00:00,2023,NB II,Hungary,Kazincbarcikai,0,0,Pécsi MFC,Match Finished
2023-08-13T17:00:00+00:00,2023,NB II,Hungary,Siofok,1,1,Tiszakecske FC,Match Finished
2023-08-16T17:00:00+00:00,2023,NB II,Hungary,Kazincbarcikai,1,1,Siofok,Match Finished
2023-08-16T16:30:00+00:00,2023,NB II,Hungary,Pécsi MFC,0,0,Vasas,Match Finished
2023-08-16T15:30:00+00:00,2023,NB II,Hungary,MTE 1904,0,2,Ajka,Match Finished
2023-08-16T17:00:00+00:00,2023,NB II,Hungary,Szeged 2011,1,1,Gyirmot SE,Match Finished
2023-08-16T15:30:00+00:00,2023,NB II,Hungary,Budafoki LC,2,0,BVSC,Match Finished
2023-08-16T15:30:00+00:00,2023,NB II,Hungary,Soroksar,2,0,Csakvar,Match Finished
2023-08-16T17:00:00+00:00,2023,NB II,Hungary,Gyori ETO FC,2,1,Kozarmisleny FC,Match Finished
2023-08-16T15:30:00+00:00,2023,NB II,Hungary,Szombathelyi Haladas,1,1,Nyiregyhaza,Match Finished
2023-08-16T17:00:00+00:00,2023,NB II,Hungary,Budapest Honved,2,1,Tiszakecske FC,Match Finished
2023-08-19T15:30:00+00:00,2023,NB II,Hungary,Nyiregyhaza,3,2,Gyori ETO FC,Match Finished
2023-08-19T17:00:00+00:00,2023,NB II,Hungary,Kozarmisleny FC,2,1,Soroksar,Match Finished
2023-08-19T17:00:00+00:00,2023,NB II,Hungary,Csakvar,0,1,Budafoki LC,Match Finished
2023-08-19T15:30:00+00:00,2023,NB II,Hungary,BVSC,0,1,Szeged 2011,Match Finished
2023-08-19T15:30:00+00:00,2023,NB II,Hungary,Gyirmot SE,2,2,MTE 1904,Match Finished
2023-08-19T17:00:00+00:00,2023,NB II,Hungary,Ajka,0,2,Pécsi MFC,Match Finished
2023-08-19T17:00:00+00:00,2023,NB II,Hungary,Vasas,2,2,Kazincbarcikai,Match Finished
2023-08-19T17:00:00+00:00,2023,NB II,Hungary,Tiszakecske FC,2,3,Szombathelyi Haladas,Match Finished
2023-08-19T17:00:00+00:00,2023,NB II,Hungary,Siofok,2,1,Budapest Honved,Match Finished
2023-08-27T17:00:00+00:00,2023,NB II,Hungary,Vasas,4,0,Siofok,Match Finished
2023-08-27T17:00:00+00:00,2023,NB II,Hungary,Kazincbarcikai,1,0,Ajka,Match Finished
2023-08-27T17:00:00+00:00,2023,NB II,Hungary,Pécsi MFC,0,0,Gyirmot SE,Match Finished
2023-08-27T15:30:00+00:00,2023,NB II,Hungary,MTE 1904,3,3,BVSC,Match Finished
2023-08-27T17:00:00+00:00,2023,NB II,Hungary,Szeged 2011,0,2,Csakvar,Match Finished
2023-08-27T15:30:00+00:00,2023,NB II,Hungary,Budafoki LC,1,2,Kozarmisleny FC,Match Finished
2023-08-27T15:30:00+00:00,2023,NB II,Hungary,Soroksar,1,2,Nyiregyhaza,Match Finished
2023-08-27T17:00:00+00:00,2023,NB II,Hungary,Gyori ETO FC,2,0,Tiszakecske FC,Match Finished
2024-03-03T16:00:00+00:00,2023,NB II,Hungary,Szombathelyi Haladas,1,0,Budapest Honved,Match Finished
2023-09-03T14:00:00+00:00,2023,NB II,Hungary,Nyiregyhaza,2,0,Budafoki LC,Match Finished
2023-09-03T15:00:00+00:00,2023,NB II,Hungary,Kozarmisleny FC,1,1,Szeged 2011,Match Finished
2023-09-03T15:00:00+00:00,2023,NB II,Hungary,Csakvar,2,0,MTE 1904,Match Finished
2023-09-03T14:00:00+00:00,2023,NB II,Hungary,BVSC,0,0,Pécsi MFC,Match Finished
2023-09-03T14:00:00+00:00,2023,NB II,Hungary,Gyirmot SE,2,2,Kazincbarcikai,Match Finished
2023-09-03T15:00:00+00:00,2023,NB II,Hungary,Ajka,1,2,Vasas,Match Finished
2023-09-03T14:00:00+00:00,2023,NB II,Hungary,Budapest Honved,2,1,Gyori ETO FC,Match Finished
2023-09-03T14:00:00+00:00,2023,NB II,Hungary,Tiszakecske FC,1,0,Soroksar,Match Finished
2023-09-03T15:00:00+00:00,2023,NB II,Hungary,Siofok,1,1,Szombathelyi Haladas,Match Finished
2023-09-24T15:00:00+00:00,2023,NB II,Hungary,Ajka,0,2,Siofok,Match Finished
2023-09-24T15:00:00+00:00,2023,NB II,Hungary,Vasas,2,0,Gyirmot SE,Match Finished
2023-09-24T15:00:00+00:00,2023,NB II,Hungary,Kazincbarcikai,2,2,BVSC,Match Finished
2023-09-24T15:00:00+00:00,2023,NB II,Hungary,Pécsi MFC,0,1,Csakvar,Match Finished
2023-09-24T14:00:00+00:00,2023,NB II,Hungary,MTE 1904,1,1,Kozarmisleny FC,Match Finished
2023-09-24T15:00:00+00:00,2023,NB II,Hungary,Szeged 2011,1,1,Nyiregyhaza,Match Finished
2023-09-24T14:00:00+00:00,2023,NB II,Hungary,Budafoki LC,2,1,Tiszakecske FC,Match Finished
2023-09-24T14:00:00+00:00,2023,NB II,Hungary,Soroksar,1,1,Budapest Honved,Match Finished
2023-09-24T17:45:00+00:00,2023,NB II,Hungary,Gyori ETO FC,1,1,Szombathelyi Haladas,Match Finished
2023-09-27T14:00:00+00:00,2023,NB II,Hungary,Nyiregyhaza,2,0,MTE 1904,Match Finished
