date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-09-27T18:00:00+00:00,2023,NB I,Hungary,Ferencvarosi TC,1,0,Kecskeméti TE,Match Finished
2023-07-29T18:15:00+00:00,2023,NB I,Hungary,Ujpest,2,1,Videoton FC,Match Finished
2023-07-29T16:00:00+00:00,2023,NB I,Hungary,Diosgyori VTK,0,1,Puskas Academy,Match Finished
2023-07-31T18:00:00+00:00,2023,NB I,Hungary,Debreceni VSC,3,1,Mezokovesd-zsory,Match Finished
2023-07-28T18:00:00+00:00,2023,NB I,Hungary,MTK Budapest,1,1,Paks,Match Finished
2023-11-05T11:30:00+00:00,2023,NB I,Hungary,Kisvarda FC,0,1,Zalaegerszegi TE,Match Finished
2023-08-06T18:00:00+00:00,2023,NB I,Hungary,Zalaegerszegi TE,2,1,MTK Budapest,Match Finished
2023-09-27T15:45:00+00:00,2023,NB I,Hungary,Paks,2,0,Debreceni VSC,Match Finished
2023-08-05T15:45:00+00:00,2023,NB I,Hungary,Mezokovesd-zsory,2,4,Diosgyori VTK,Match Finished
2023-08-04T18:00:00+00:00,2023,NB I,Hungary,Puskas Academy,3,3,Ujpest,Match Finished
2023-08-06T15:45:00+00:00,2023,NB I,Hungary,Videoton FC,3,5,Ferencvarosi TC,Match Finished
2023-08-07T18:00:00+00:00,2023,NB I,Hungary,Kecskeméti TE,3,1,Kisvarda FC,Match Finished
2023-08-13T16:45:00+00:00,2023,NB I,Hungary,Ferencvarosi TC,1,2,Puskas Academy,Match Finished
2023-08-12T16:00:00+00:00,2023,NB I,Hungary,Ujpest,1,1,Mezokovesd-zsory,Match Finished
2023-08-12T18:15:00+00:00,2023,NB I,Hungary,Diosgyori VTK,1,1,Paks,Match Finished
2023-08-13T14:30:00+00:00,2023,NB I,Hungary,Debreceni VSC,1,0,Zalaegerszegi TE,Match Finished
2023-08-11T18:00:00+00:00,2023,NB I,Hungary,MTK Budapest,0,0,Kisvarda FC,Match Finished
2023-08-13T19:00:00+00:00,2023,NB I,Hungary,Kecskeméti TE,1,0,Videoton FC,Match Finished
2023-08-19T15:45:00+00:00,2023,NB I,Hungary,MTK Budapest,1,0,Kecskeméti TE,Match Finished
