date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-05T14:00:00+00:00,2023,National League - North,England,Banbury United,0,3,Spennymoor Town,Match Finished
2023-08-05T14:00:00+00:00,2023,National League - North,England,Bishop's Stortford,2,0,Chester,Match Finished
2023-08-05T14:00:00+00:00,2023,National League - North,England,Blyth Spartans,4,2,Gloucester City,Match Finished
2023-08-05T14:00:00+00:00,2023,National League - North,England,Buxton,1,1,Boston United,Match Finished
2023-08-05T14:00:00+00:00,2023,National League - North,England,Chorley,1,1,Brackley Town,Match Finished
2023-08-05T14:00:00+00:00,2023,National League - North,England,Darlington 1883,1,3,Curzon Ashton,Match Finished
2023-08-05T14:00:00+00:00,2023,National League - North,England,King's Lynn Town,2,2,Hereford,Match Finished
2023-08-05T14:00:00+00:00,2023,National League - North,England,Peterborough Sports,1,0,Scarborough Athletic,Match Finished
2023-08-05T14:00:00+00:00,2023,National League - North,England,Rushall Olympic,0,2,Farsley Celtic FC,Match Finished
2023-08-05T14:00:00+00:00,2023,National League - North,England,South Shields,3,1,Alfreton Town,Match Finished
2023-08-05T14:00:00+00:00,2023,National League - North,England,Southport,0,4,Warrington Town,Match Finished
2023-08-05T14:00:00+00:00,2023,National League - North,England,Tamworth,1,2,Scunthorpe,Match Finished
2023-08-12T14:00:00+00:00,2023,National League - North,England,Alfreton Town,3,1,Southport,Match Finished
2023-08-12T14:00:00+00:00,2023,National League - North,England,Boston United,3,1,South Shields,Match Finished
2023-08-12T14:00:00+00:00,2023,National League - North,England,Brackley Town,2,1,Buxton,Match Finished
2023-08-12T14:00:00+00:00,2023,National League - North,England,Chester,3,0,King's Lynn Town,Match Finished
2023-08-12T14:00:00+00:00,2023,National League - North,England,Curzon Ashton,1,1,Rushall Olympic,Match Finished
2023-08-12T14:00:00+00:00,2023,National League - North,England,Farsley Celtic FC,1,1,Chorley,Match Finished
2023-08-12T14:00:00+00:00,2023,National League - North,England,Gloucester City,1,1,Bishop's Stortford,Match Finished
2023-08-12T14:00:00+00:00,2023,National League - North,England,Hereford,1,0,Darlington 1883,Match Finished
2023-08-12T14:00:00+00:00,2023,National League - North,England,Scarborough Athletic,3,0,Banbury United,Match Finished
2023-08-12T14:00:00+00:00,2023,National League - North,England,Scunthorpe,1,1,Peterborough Sports,Match Finished
2023-08-12T14:00:00+00:00,2023,National League - North,England,Spennymoor Town,1,4,Tamworth,Match Finished
2023-08-12T14:00:00+00:00,2023,National League - North,England,Warrington Town,0,2,Blyth Spartans,Match Finished
2023-08-15T18:45:00+00:00,2023,National League - North,England,Alfreton Town,2,1,Peterborough Sports,Match Finished
2023-08-15T18:45:00+00:00,2023,National League - North,England,Boston United,0,2,Tamworth,Match Finished
2023-08-15T18:45:00+00:00,2023,National League - North,England,Brackley Town,1,0,Bishop's Stortford,Match Finished
2023-08-15T18:45:00+00:00,2023,National League - North,England,Chester,0,0,Chorley,Match Finished
2023-08-15T18:45:00+00:00,2023,National League - North,England,Curzon Ashton,1,1,King's Lynn Town,Match Finished
2023-08-15T18:45:00+00:00,2023,National League - North,England,Farsley Celtic FC,1,1,South Shields,Match Finished
2023-08-15T18:45:00+00:00,2023,National League - North,England,Gloucester City,0,2,Banbury United,Match Finished
2023-08-15T18:45:00+00:00,2023,National League - North,England,Hereford,1,0,Rushall Olympic,Match Finished
2023-08-15T18:45:00+00:00,2023,National League - North,England,Scarborough Athletic,1,0,Blyth Spartans,Match Finished
2023-08-15T18:45:00+00:00,2023,National League - North,England,Scunthorpe,4,0,Darlington 1883,Match Finished
2023-08-15T18:45:00+00:00,2023,National League - North,England,Spennymoor Town,5,1,Southport,Match Finished
2023-08-15T18:45:00+00:00,2023,National League - North,England,Warrington Town,1,0,Buxton,Match Finished
2023-08-19T14:00:00+00:00,2023,National League - North,England,Banbury United,1,0,Chester,Match Finished
2023-08-19T14:00:00+00:00,2023,National League - North,England,Bishop's Stortford,0,1,Farsley Celtic FC,Match Finished
2023-08-19T14:00:00+00:00,2023,National League - North,England,Blyth Spartans,2,1,Hereford,Match Finished
2023-08-19T14:00:00+00:00,2023,National League - North,England,Buxton,1,1,Curzon Ashton,Match Finished
2023-08-19T14:00:00+00:00,2023,National League - North,England,Chorley,0,1,Warrington Town,Match Finished
2023-08-19T14:00:00+00:00,2023,National League - North,England,Darlington 1883,1,1,Brackley Town,Match Finished
2023-08-19T14:00:00+00:00,2023,National League - North,England,King's Lynn Town,1,1,Gloucester City,Match Finished
2023-08-19T14:00:00+00:00,2023,National League - North,England,Peterborough Sports,0,2,Spennymoor Town,Match Finished
2023-08-19T14:00:00+00:00,2023,National League - North,England,Rushall Olympic,0,3,Scunthorpe,Match Finished
2023-08-19T14:00:00+00:00,2023,National League - North,England,South Shields,1,0,Scarborough Athletic,Match Finished
2023-08-19T14:00:00+00:00,2023,National League - North,England,Southport,0,2,Boston United,Match Finished
2023-08-19T14:00:00+00:00,2023,National League - North,England,Tamworth,0,1,Alfreton Town,Match Finished
2023-08-26T14:00:00+00:00,2023,National League - North,England,Alfreton Town,2,3,Darlington 1883,Match Finished
2023-08-26T14:00:00+00:00,2023,National League - North,England,Boston United,2,0,Warrington Town,Match Finished
2023-08-26T14:00:00+00:00,2023,National League - North,England,Brackley Town,0,0,Southport,Match Finished
2023-08-26T14:00:00+00:00,2023,National League - North,England,Buxton,3,0,Blyth Spartans,Match Finished
2023-08-26T14:00:00+00:00,2023,National League - North,England,Chorley,3,1,King's Lynn Town,Match Finished
2023-08-26T14:00:00+00:00,2023,National League - North,England,Curzon Ashton,1,0,Scunthorpe,Match Finished
2023-08-26T14:00:00+00:00,2023,National League - North,England,Farsley Celtic FC,2,2,Tamworth,Match Finished
2023-08-26T14:00:00+00:00,2023,National League - North,England,Hereford,0,1,Peterborough Sports,Match Finished
2023-08-26T14:00:00+00:00,2023,National League - North,England,Rushall Olympic,1,1,Banbury United,Match Finished
2023-08-26T14:00:00+00:00,2023,National League - North,England,Scarborough Athletic,1,0,Chester,Match Finished
