date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-05T14:00:00+00:00,2023,National League,England,Aldershot Town,5,2,Oxford City,Match Finished
2023-08-05T14:00:00+00:00,2023,National League,England,Altrincham,1,1,Dagenham & Redbridge,Match Finished
2023-08-05T14:00:00+00:00,2023,National League,England,Barnet,3,2,Hartlepool,Match Finished
2023-08-05T14:00:00+00:00,2023,National League,England,Chesterfield,4,3,Dorking Wanderers,Match Finished
2023-08-05T14:00:00+00:00,2023,National League,England,FC Halifax Town,2,0,Bromley,Match Finished
2023-08-05T14:00:00+00:00,2023,National League,England,Gateshead,2,2,Boreham Wood,Match Finished
2023-08-05T14:00:00+00:00,2023,National League,England,Kidderminster Harriers,0,0,Woking,Match Finished
2023-08-05T14:00:00+00:00,2023,National League,England,Maidenhead,2,2,AFC Fylde,Match Finished
2023-08-05T16:30:00+00:00,2023,National League,England,Rochdale,0,1,Ebbsfleet United,Match Finished
2023-08-05T14:00:00+00:00,2023,National League,England,Solihull Moors,1,1,Eastleigh,Match Finished
2023-08-05T14:00:00+00:00,2023,National League,England,Southend,4,0,Oldham,Match Finished
2023-08-05T14:00:00+00:00,2023,National League,England,Wealdstone,2,1,York,Match Finished
2023-08-12T14:00:00+00:00,2023,National League,England,AFC Fylde,2,4,Chesterfield,Match Finished
2023-08-12T14:00:00+00:00,2023,National League,England,Boreham Wood,2,0,FC Halifax Town,Match Finished
2023-08-12T16:30:00+00:00,2023,National League,England,Bromley,0,2,Barnet,Match Finished
2023-08-12T14:00:00+00:00,2023,National League,England,Dagenham & Redbridge,0,2,Southend,Match Finished
2023-08-12T14:00:00+00:00,2023,National League,England,Dorking Wanderers,0,2,Maidenhead,Match Finished
2023-08-12T14:00:00+00:00,2023,National League,England,Eastleigh,0,0,Wealdstone,Match Finished
2023-08-12T14:00:00+00:00,2023,National League,England,Ebbsfleet United,1,2,Solihull Moors,Match Finished
2023-08-12T14:00:00+00:00,2023,National League,England,Hartlepool,2,1,Gateshead,Match Finished
2023-08-12T14:00:00+00:00,2023,National League,England,Oldham,5,1,Aldershot Town,Match Finished
2023-08-12T14:00:00+00:00,2023,National League,England,Oxford City,0,1,Rochdale,Match Finished
2023-08-12T14:00:00+00:00,2023,National League,England,Woking,2,3,Altrincham,Match Finished
2023-08-12T14:00:00+00:00,2023,National League,England,York,0,1,Kidderminster Harriers,Match Finished
2023-08-15T18:45:00+00:00,2023,National League,England,AFC Fylde,2,1,Kidderminster Harriers,Match Finished
2023-08-15T18:45:00+00:00,2023,National League,England,Bromley,1,1,Wealdstone,Match Finished
2023-08-15T18:45:00+00:00,2023,National League,England,Dagenham & Redbridge,2,4,Gateshead,Match Finished
2023-08-15T18:45:00+00:00,2023,National League,England,Dorking Wanderers,2,1,Southend,Match Finished
2023-08-15T18:45:00+00:00,2023,National League,England,Eastleigh,3,3,Barnet,Match Finished
2023-08-15T18:45:00+00:00,2023,National League,England,Ebbsfleet United,2,0,Aldershot Town,Match Finished
2023-08-15T18:45:00+00:00,2023,National League,England,Hartlepool,3,1,Maidenhead,Match Finished
2023-08-15T18:45:00+00:00,2023,National League,England,Oldham,1,2,FC Halifax Town,Match Finished
2023-08-15T18:45:00+00:00,2023,National League,England,Oxford City,1,2,Chesterfield,Match Finished
2023-08-15T18:45:00+00:00,2023,National League,England,Woking,3,2,Rochdale,Match Finished
2023-08-15T18:45:00+00:00,2023,National League,England,York,2,2,Altrincham,Match Finished
2023-08-16T18:45:00+00:00,2023,National League,England,Boreham Wood,1,2,Solihull Moors,Match Finished
2023-08-19T14:00:00+00:00,2023,National League,England,Aldershot Town,1,1,York,Match Finished
2023-08-19T14:00:00+00:00,2023,National League,England,Altrincham,1,1,Boreham Wood,Match Finished
2023-08-19T14:00:00+00:00,2023,National League,England,Barnet,2,0,Woking,Match Finished
2023-08-19T11:30:00+00:00,2023,National League,England,Chesterfield,1,1,Oldham,Match Finished
2023-08-19T14:00:00+00:00,2023,National League,England,FC Halifax Town,1,1,Oxford City,Match Finished
2023-08-19T14:00:00+00:00,2023,National League,England,Gateshead,4,1,Ebbsfleet United,Match Finished
2023-08-19T14:00:00+00:00,2023,National League,England,Kidderminster Harriers,0,0,Bromley,Match Finished
2023-08-19T14:00:00+00:00,2023,National League,England,Maidenhead,1,0,Dagenham & Redbridge,Match Finished
2023-08-19T14:00:00+00:00,2023,National League,England,Rochdale,2,0,Eastleigh,Match Finished
2023-08-19T14:00:00+00:00,2023,National League,England,Solihull Moors,3,0,Dorking Wanderers,Match Finished
2023-08-19T14:00:00+00:00,2023,National League,England,Southend,2,3,Hartlepool,Match Finished
2023-08-19T14:00:00+00:00,2023,National League,England,Wealdstone,3,2,AFC Fylde,Match Finished
2023-08-26T14:00:00+00:00,2023,National League,England,Aldershot Town,3,1,Wealdstone,Match Finished
2023-08-26T14:00:00+00:00,2023,National League,England,Altrincham,2,1,Chesterfield,Match Finished
2023-08-26T14:00:00+00:00,2023,National League,England,Boreham Wood,0,0,Oldham,Match Finished
2023-08-26T14:00:00+00:00,2023,National League,England,Dagenham & Redbridge,1,0,Barnet,Match Finished
2023-08-26T14:00:00+00:00,2023,National League,England,Dorking Wanderers,2,2,York,Match Finished
2023-08-26T14:00:00+00:00,2023,National League,England,Ebbsfleet United,3,0,Kidderminster Harriers,Match Finished
2023-08-26T14:00:00+00:00,2023,National League,England,Gateshead,1,3,Woking,Match Finished
2023-08-26T16:30:00+00:00,2023,National League,England,Hartlepool,3,1,AFC Fylde,Match Finished
2023-08-26T14:00:00+00:00,2023,National League,England,Maidenhead,0,0,Oxford City,Match Finished
2023-08-25T18:45:00+00:00,2023,National League,England,Rochdale,2,2,Bromley,Match Finished
2023-08-25T18:45:00+00:00,2023,National League,England,Solihull Moors,1,1,FC Halifax Town,Match Finished
2023-08-25T18:45:00+00:00,2023,National League,England,Southend,2,0,Eastleigh,Match Finished
2023-08-28T14:00:00+00:00,2023,National League,England,AFC Fylde,3,3,Altrincham,Match Finished
2023-08-28T14:00:00+00:00,2023,National League,England,Barnet,3,2,Ebbsfleet United,Match Finished
2023-08-28T14:00:00+00:00,2023,National League,England,Bromley,2,1,Southend,Match Finished
