date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-09T15:30:00+00:00,2023,Persian Gulf Pro League,Iran,Nassaji Mazandaran,1,1,Paykan,Match Finished
2023-08-09T16:00:00+00:00,2023,Persian Gulf Pro League,Iran,Malavan,1,2,ZOB Ahan,Match Finished
2023-08-09T16:00:00+00:00,2023,Persian Gulf Pro League,Iran,Gol Gohar,3,0,Foolad FC,Match Finished
2023-08-09T16:00:00+00:00,2023,Persian Gulf Pro League,Iran,Persepolis FC,1,0,Aluminium Arak,Match Finished
2023-08-09T18:00:00+00:00,2023,Persian Gulf Pro League,Iran,Esteghlal Khuzestan,1,1,Shams Azar Qazvin,Match Finished
2023-08-10T15:30:00+00:00,2023,Persian Gulf Pro League,Iran,Havadar,0,0,Mes Rafsanjan,Match Finished
2023-08-10T15:30:00+00:00,2023,Persian Gulf Pro League,Iran,Sepahan FC,3,1,Tractor Sazi,Match Finished
2023-08-10T18:00:00+00:00,2023,Persian Gulf Pro League,Iran,Sanat Naft,0,3,Esteghlal FC,Match Finished
2023-08-15T15:30:00+00:00,2023,Persian Gulf Pro League,Iran,Paykan,0,0,Gol Gohar,Match Finished
2023-08-15T16:30:00+00:00,2023,Persian Gulf Pro League,Iran,Aluminium Arak,1,0,Esteghlal Khuzestan,Match Finished
2023-08-16T15:15:00+00:00,2023,Persian Gulf Pro League,Iran,Tractor Sazi,0,1,Persepolis FC,Match Finished
2023-08-16T16:00:00+00:00,2023,Persian Gulf Pro League,Iran,Shams Azar Qazvin,1,2,Havadar,Match Finished
2023-08-16T16:30:00+00:00,2023,Persian Gulf Pro League,Iran,Mes Rafsanjan,1,1,Nassaji Mazandaran,Match Finished
2023-08-16T17:30:00+00:00,2023,Persian Gulf Pro League,Iran,ZOB Ahan,0,2,Sepahan FC,Match Finished
2023-08-16T18:00:00+00:00,2023,Persian Gulf Pro League,Iran,Foolad FC,1,2,Sanat Naft,Match Finished
2023-08-17T16:00:00+00:00,2023,Persian Gulf Pro League,Iran,Esteghlal FC,1,0,Malavan,Match Finished
2023-08-22T15:30:00+00:00,2023,Persian Gulf Pro League,Iran,Mes Rafsanjan,0,3,Shams Azar Qazvin,Match Finished
2023-08-23T15:30:00+00:00,2023,Persian Gulf Pro League,Iran,Havadar,1,2,Aluminium Arak,Match Finished
2023-08-23T16:00:00+00:00,2023,Persian Gulf Pro League,Iran,Malavan,4,0,Foolad FC,Match Finished
2023-08-23T16:30:00+00:00,2023,Persian Gulf Pro League,Iran,Sepahan FC,1,0,Esteghlal FC,Match Finished
2023-08-23T17:30:00+00:00,2023,Persian Gulf Pro League,Iran,Sanat Naft,1,1,Paykan,Match Finished
2023-08-24T16:00:00+00:00,2023,Persian Gulf Pro League,Iran,Persepolis FC,1,1,ZOB Ahan,Match Finished
2023-08-24T16:30:00+00:00,2023,Persian Gulf Pro League,Iran,Nassaji Mazandaran,0,1,Gol Gohar,Match Finished
2023-09-02T18:00:00+00:00,2023,Persian Gulf Pro League,Iran,Esteghlal Khuzestan,0,1,Tractor Sazi,Match Finished
2023-08-28T16:00:00+00:00,2023,Persian Gulf Pro League,Iran,Esteghlal FC,1,0,Esteghlal Khuzestan,Match Finished
2023-08-28T16:30:00+00:00,2023,Persian Gulf Pro League,Iran,Tractor Sazi,1,0,Mes Rafsanjan,Match Finished
2023-08-29T16:00:00+00:00,2023,Persian Gulf Pro League,Iran,Nassaji Mazandaran,3,1,Sanat Naft,Match Finished
2023-08-29T16:00:00+00:00,2023,Persian Gulf Pro League,Iran,Paykan,1,3,Sepahan FC,Match Finished
2023-08-29T16:30:00+00:00,2023,Persian Gulf Pro League,Iran,Gol Gohar,1,1,Malavan,Match Finished
2023-08-30T16:00:00+00:00,2023,Persian Gulf Pro League,Iran,ZOB Ahan,0,0,Havadar,Match Finished
2023-08-30T16:30:00+00:00,2023,Persian Gulf Pro League,Iran,Aluminium Arak,2,0,Shams Azar Qazvin,Match Finished
2023-08-30T18:00:00+00:00,2023,Persian Gulf Pro League,Iran,Foolad FC,0,2,Persepolis FC,Match Finished
2023-12-14T14:00:00+00:00,2023,Persian Gulf Pro League,Iran,Shams Azar Qazvin,2,1,Nassaji Mazandaran,Match Finished
