date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2023-08-11T19:00:00+00:00,2023,Premier League,England,Burnley,0,3,Manchester City,Match Finished,6,5,,,1,0
2023-08-12T11:30:00+00:00,2023,Premier League,England,Arsenal,2,1,Nottingham Forest,Match Finished,8,3,2,2,,
2023-08-12T14:00:00+00:00,2023,Premier League,England,Bournemouth,1,1,West Ham,Match Finished,10,4,1,4,,
2023-08-12T14:00:00+00:00,2023,Premier League,England,Brighton,4,1,Luton,Match Finished,6,7,2,2,,
2023-08-12T14:00:00+00:00,2023,Premier League,England,Everton,0,1,Fulham,Match Finished,10,4,0,2,,
2023-08-12T14:00:00+00:00,2023,Premier League,England,Sheffield Utd,0,1,Crystal Palace,Match Finished,5,5,3,0,,
2023-08-12T16:30:00+00:00,2023,Premier League,England,Newcastle,5,1,Aston Villa,Match Finished,6,5,4,4,,
2023-08-13T13:00:00+00:00,2023,Premier League,England,Brentford,2,2,Tottenham,Match Finished,3,6,1,4,,
2023-08-13T15:30:00+00:00,2023,Premier League,England,Chelsea,1,1,Liverpool,Match Finished,4,4,3,3,,
2023-08-14T19:00:00+00:00,2023,Premier League,England,Manchester United,1,0,Wolves,Match Finished,8,7,2,3,,
