date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-05T11:30:00+00:00,2023,Premiership,Scotland,Celtic,4,2,Ross County,Match Finished
2023-08-05T14:00:00+00:00,2023,Premiership,Scotland,Dundee,1,1,Motherwell,Match Finished
2023-08-05T14:00:00+00:00,2023,Premiership,Scotland,Livingston,0,0,Aberdeen,Match Finished
2023-08-05T14:00:00+00:00,2023,Premiership,Scotland,ST Johnstone,0,2,Heart OF Midlothian,Match Finished
2023-08-05T16:15:00+00:00,2023,Premiership,Scotland,Kilmarnock,1,0,Rangers,Match Finished
2023-08-06T14:00:00+00:00,2023,Premiership,Scotland,Hibernian,2,3,ST Mirren,Match Finished
2023-08-13T14:00:00+00:00,2023,Premiership,Scotland,Heart OF Midlothian,0,0,Kilmarnock,Match Finished
2023-08-13T14:00:00+00:00,2023,Premiership,Scotland,Motherwell,2,1,Hibernian,Match Finished
2023-08-12T14:00:00+00:00,2023,Premiership,Scotland,Rangers,4,0,Livingston,Match Finished
2023-08-12T14:00:00+00:00,2023,Premiership,Scotland,Ross County,2,0,ST Johnstone,Match Finished
2023-08-12T14:00:00+00:00,2023,Premiership,Scotland,ST Mirren,2,1,Dundee,Match Finished
2023-08-13T11:00:00+00:00,2023,Premiership,Scotland,Aberdeen,1,3,Celtic,Match Finished
2023-08-26T11:30:00+00:00,2023,Premiership,Scotland,Ross County,0,2,Rangers,Match Finished
2023-08-26T14:00:00+00:00,2023,Premiership,Scotland,Celtic,0,0,ST Johnstone,Match Finished
2023-08-27T14:00:00+00:00,2023,Premiership,Scotland,Dundee,1,0,Heart OF Midlothian,Match Finished
2023-08-26T14:00:00+00:00,2023,Premiership,Scotland,Hibernian,2,3,Livingston,Match Finished
2023-08-26T14:00:00+00:00,2023,Premiership,Scotland,Motherwell,2,1,Kilmarnock,Match Finished
2023-08-27T14:00:00+00:00,2023,Premiership,Scotland,ST Mirren,2,2,Aberdeen,Match Finished
2023-09-03T14:00:00+00:00,2023,Premiership,Scotland,Aberdeen,0,2,Hibernian,Match Finished
2023-09-03T14:00:00+00:00,2023,Premiership,Scotland,Heart OF Midlothian,0,1,Motherwell,Match Finished
2023-09-02T14:00:00+00:00,2023,Premiership,Scotland,Kilmarnock,0,1,Ross County,Match Finished
2023-09-02T14:00:00+00:00,2023,Premiership,Scotland,Livingston,1,1,ST Mirren,Match Finished
2023-09-02T14:00:00+00:00,2023,Premiership,Scotland,ST Johnstone,2,2,Dundee,Match Finished
2023-09-03T11:00:00+00:00,2023,Premiership,Scotland,Rangers,0,1,Celtic,Match Finished
2023-09-16T11:30:00+00:00,2023,Premiership,Scotland,ST Johnstone,0,2,Rangers,Match Finished
2023-09-16T14:00:00+00:00,2023,Premiership,Scotland,Celtic,3,0,Dundee,Match Finished
2023-09-16T14:00:00+00:00,2023,Premiership,Scotland,Heart OF Midlothian,2,0,Aberdeen,Match Finished
2023-09-16T14:00:00+00:00,2023,Premiership,Scotland,Kilmarnock,2,2,Hibernian,Match Finished
2023-09-16T14:00:00+00:00,2023,Premiership,Scotland,Motherwell,0,1,ST Mirren,Match Finished
2023-09-16T14:00:00+00:00,2023,Premiership,Scotland,Ross County,1,1,Livingston,Match Finished
