date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-12-24T08:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Turan,3,1,Araz,Match Finished
2023-08-05T17:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Qarabag,0,1,Zira,Match Finished
2023-08-06T13:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Kapaz,1,0,Neftchi Baku,Match Finished
2023-08-05T14:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Səbail,1,4,Sumqayıt,Match Finished
2023-08-06T16:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Sabah FA,5,0,Qabala,Match Finished
2023-08-12T14:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Araz,2,0,Qabala,Match Finished
2023-10-25T14:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Sumqayıt,1,0,Sabah FA,Match Finished
2023-08-14T16:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Neftchi Baku,1,1,Səbail,Match Finished
2023-08-12T17:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Zira,1,0,Kapaz,Match Finished
2023-10-20T14:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Turan,2,2,Qarabag,Match Finished
2023-08-20T14:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Qarabag,2,1,Araz,Match Finished
2023-08-18T13:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Kapaz,0,2,Turan,Match Finished
2023-08-19T16:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Səbail,1,2,Zira,Match Finished
2023-08-20T16:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Sabah FA,1,1,Neftchi Baku,Match Finished
2023-08-19T14:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Qabala,1,2,Sumqayıt,Match Finished
2023-08-25T16:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Araz,1,1,Sumqayıt,Match Finished
2023-08-27T14:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Neftchi Baku,2,0,Qabala,Match Finished
2023-08-26T15:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Zira,1,0,Sabah FA,Match Finished
2023-08-26T13:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Turan,1,3,Səbail,Match Finished
2023-08-27T16:45:00+00:00,2023,Premyer Liqa,Azerbaidjan,Qarabag,1,1,Kapaz,Match Finished
2023-09-03T13:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Kapaz,1,2,Araz,Match Finished
2023-09-03T15:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Səbail,2,1,Qarabag,Match Finished
2023-09-01T15:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Sabah FA,0,3,Turan,Match Finished
2023-09-02T14:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Qabala,1,0,Zira,Match Finished
2023-09-02T16:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Sumqayıt,0,1,Neftchi Baku,Match Finished
2023-09-16T14:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Araz,1,0,Neftchi Baku,Match Finished
2023-09-15T13:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Zira,1,0,Sumqayıt,Match Finished
2023-09-17T12:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Turan,2,2,Qabala,Match Finished
2023-09-17T15:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Qarabag,2,0,Sabah FA,Match Finished
2023-09-16T12:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Kapaz,0,3,Səbail,Match Finished
2023-09-24T15:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Səbail,1,0,Araz,Match Finished
2023-09-24T13:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Sabah FA,2,2,Kapaz,Match Finished
2023-09-25T15:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Qabala,1,2,Qarabag,Match Finished
2023-09-23T14:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Sumqayıt,0,0,Turan,Match Finished
2023-12-03T13:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Neftchi Baku,1,0,Zira,Match Finished
2023-10-01T14:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Araz,1,0,Zira,Match Finished
2023-09-30T12:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Turan,0,1,Neftchi Baku,Match Finished
2023-09-29T16:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Qarabag,5,0,Sumqayıt,Match Finished
2023-10-01T12:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Kapaz,0,1,Qabala,Match Finished
2023-09-30T14:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Səbail,2,2,Sabah FA,Match Finished
2023-10-07T14:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Sabah FA,1,1,Araz,Match Finished
2023-10-07T12:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Qabala,0,1,Səbail,Match Finished
2023-10-08T12:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Sumqayıt,1,0,Kapaz,Match Finished
2023-10-08T15:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Neftchi Baku,0,2,Qarabag,Match Finished
2023-10-06T14:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Zira,2,1,Turan,Match Finished
2023-10-22T12:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Qabala,1,4,Araz,Match Finished
2023-10-21T14:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Sabah FA,3,1,Sumqayıt,Match Finished
2023-10-20T16:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Səbail,2,4,Neftchi Baku,Match Finished
2023-10-21T11:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Kapaz,0,0,Zira,Match Finished
2023-08-13T14:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Qarabag,3,0,Turan,Match Finished
2023-10-30T15:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Araz,2,1,Qarabag,Match Finished
2023-10-28T15:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Turan,4,0,Kapaz,Match Finished
2023-10-28T12:00:00+00:00,2023,Premyer Liqa,Azerbaidjan,Zira,2,2,Səbail,Match Finished
2023-10-29T14:30:00+00:00,2023,Premyer Liqa,Azerbaidjan,Neftchi Baku,0,1,Sabah FA,Match Finished
