date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-26T19:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Castellón,2,1,Malaga,Match Finished
2023-08-27T18:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Alcoyano,3,1,Sanluqueño,Match Finished
2023-08-27T19:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Cordoba,2,3,Ibiza,Match Finished
2023-08-27T19:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Granada II,1,2,Real Murcia,Match Finished
2023-08-27T19:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Recreativo Huelva,3,1,Intercity,Match Finished
2023-08-27T18:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Atlético Baleares,1,1,Algeciras,Match Finished
2023-08-26T18:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Atlético Madrid II,2,0,Antequera,Match Finished
2023-08-26T18:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Mérida AD,1,0,Linares Deportivo,Match Finished
2023-08-27T18:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,San Fernando CD,0,1,AD Ceuta FC,Match Finished
2023-08-27T18:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Real Madrid II,2,2,Melilla,Match Finished
2023-09-03T19:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Algeciras,2,1,San Fernando CD,Match Finished
2023-09-03T19:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Antequera,1,2,Real Madrid II,Match Finished
2023-09-03T18:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,AD Ceuta FC,0,0,Recreativo Huelva,Match Finished
2023-09-03T18:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Melilla,1,2,Castellón,Match Finished
2023-09-03T19:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Intercity,1,0,Alcoyano,Match Finished
2023-09-02T19:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Malaga,2,1,Atlético Madrid II,Match Finished
2023-09-02T18:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Real Murcia,1,3,Cordoba,Match Finished
2023-09-02T18:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Linares Deportivo,0,0,Granada II,Match Finished
2023-09-02T19:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Ibiza,1,0,Atlético Baleares,Match Finished
2023-09-02T18:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Sanluqueño,2,2,Mérida AD,Match Finished
2023-09-10T17:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Castellón,3,1,Intercity,Match Finished
2023-09-10T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Alcoyano,0,2,Ibiza,Match Finished
2023-09-10T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Atlético Madrid II,1,3,AD Ceuta FC,Match Finished
2023-09-09T18:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Linares Deportivo,2,1,Real Madrid II,Match Finished
2023-09-09T18:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Real Murcia,2,3,Sanluqueño,Match Finished
2023-09-10T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Atlético Baleares,1,2,Malaga,Match Finished
2023-09-09T16:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Granada II,1,1,Algeciras,Match Finished
2023-09-10T17:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,San Fernando CD,3,1,Cordoba,Match Finished
2023-09-09T17:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Recreativo Huelva,0,0,Antequera,Match Finished
2023-09-10T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Mérida AD,2,0,Melilla,Match Finished
2023-09-16T17:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Intercity,3,1,San Fernando CD,Match Finished
2023-09-17T17:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Algeciras,2,0,Mérida AD,Match Finished
2023-09-16T19:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Cordoba,0,1,Linares Deportivo,Match Finished
2023-09-17T17:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Antequera,1,1,Castellón,Match Finished
2023-10-11T19:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Ibiza,3,1,Real Murcia,Match Finished
2023-09-17T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,AD Ceuta FC,1,0,Alcoyano,Match Finished
2023-09-16T17:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Real Madrid II,2,2,Atlético Madrid II,Match Finished
2023-09-16T19:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Malaga,3,0,Granada II,Match Finished
2023-09-17T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Melilla,0,0,Recreativo Huelva,Match Finished
2023-09-17T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Sanluqueño,5,0,Atlético Baleares,Match Finished
2023-09-24T18:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Alcoyano,0,1,Cordoba,Match Finished
2023-09-23T14:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Atlético Madrid II,1,1,Ibiza,Match Finished
2023-09-23T14:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Granada II,1,0,Intercity,Match Finished
2023-09-24T16:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Linares Deportivo,0,1,Malaga,Match Finished
2023-09-24T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Atlético Baleares,1,2,AD Ceuta FC,Match Finished
2023-09-23T16:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Mérida AD,0,1,Real Madrid II,Match Finished
2023-09-23T18:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Recreativo Huelva,0,3,Castellón,Match Finished
2023-09-24T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Melilla,1,2,Algeciras,Match Finished
2023-09-24T18:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Sanluqueño,0,3,Antequera,Match Finished
2023-09-24T14:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,San Fernando CD,1,1,Real Murcia,Match Finished
2023-09-30T16:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Castellón,5,1,Mérida AD,Match Finished
2023-10-01T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Algeciras,1,1,Sanluqueño,Match Finished
2023-09-30T18:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Cordoba,3,0,Granada II,Match Finished
2023-10-01T18:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Malaga,1,0,San Fernando CD,Match Finished
2023-10-01T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Antequera,3,0,Atlético Baleares,Match Finished
2023-10-01T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Ibiza,4,1,Linares Deportivo,Match Finished
2023-10-01T16:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,AD Ceuta FC,0,0,Melilla,Match Finished
2023-10-01T16:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Real Murcia,0,0,Alcoyano,Match Finished
2023-10-01T14:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Intercity,0,0,Atlético Madrid II,Match Finished
2023-09-30T14:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Real Madrid II,1,2,Recreativo Huelva,Match Finished
2023-10-07T18:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Castellón,4,1,Real Madrid II,Match Finished
2023-10-08T16:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Atlético Madrid II,4,2,San Fernando CD,Match Finished
2023-10-07T16:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Algeciras,1,0,Cordoba,Match Finished
2023-10-08T18:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Recreativo Huelva,1,1,Malaga,Match Finished
2023-10-08T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Atlético Baleares,0,1,Real Murcia,Match Finished
2023-10-08T14:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Granada II,0,0,Alcoyano,Match Finished
2023-10-08T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Melilla,1,2,Intercity,Match Finished
2023-10-07T18:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Mérida AD,0,1,Antequera,Match Finished
2023-10-07T17:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Sanluqueño,1,1,Ibiza,Match Finished
2023-10-08T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Linares Deportivo,2,1,AD Ceuta FC,Match Finished
2023-10-14T14:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Alcoyano,1,1,Linares Deportivo,Match Finished
2023-10-15T18:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Real Madrid II,1,0,Sanluqueño,Match Finished
2023-10-14T16:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Cordoba,2,1,Mérida AD,Match Finished
2023-10-12T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Malaga,1,0,Melilla,Match Finished
2023-10-15T16:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Antequera,1,1,Intercity,Match Finished
2023-10-15T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,AD Ceuta FC,1,3,Castellón,Match Finished
2023-10-14T14:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Atlético Baleares,0,3,Atlético Madrid II,Match Finished
2023-10-15T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Real Murcia,1,0,Algeciras,Match Finished
2023-10-15T14:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,San Fernando CD,2,1,Granada II,Match Finished
2023-10-15T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Ibiza,5,2,Recreativo Huelva,Match Finished
2023-10-21T14:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Algeciras,1,0,AD Ceuta FC,Match Finished
2023-10-22T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Granada II,0,1,Ibiza,Match Finished
2023-10-21T18:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Malaga,0,0,Real Madrid II,Match Finished
2023-10-22T14:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Linares Deportivo,0,1,San Fernando CD,Match Finished
2023-10-21T16:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Mérida AD,0,1,Real Murcia,Match Finished
2023-11-29T19:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Recreativo Huelva,1,0,Alcoyano,Match Finished
2023-10-22T18:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Castellón,2,0,Atlético Madrid II,Match Finished
2023-11-22T15:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Sanluqueño,1,2,Cordoba,Match Finished
2023-10-22T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Melilla,0,1,Antequera,Match Finished
2023-10-22T10:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Intercity,0,0,Atlético Baleares,Match Finished
2023-10-29T15:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Alcoyano,1,0,Algeciras,Match Finished
2023-10-29T19:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Atlético Madrid II,1,1,Mérida AD,Match Finished
2023-10-29T17:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Cordoba,1,0,Recreativo Huelva,Match Finished
2023-10-28T14:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Granada II,2,1,Sanluqueño,Match Finished
2023-10-29T17:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Antequera,0,2,Malaga,Match Finished
2023-10-29T11:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Atlético Baleares,1,0,Melilla,Match Finished
2023-10-29T11:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Ibiza,1,3,Intercity,Match Finished
2023-10-28T14:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,San Fernando CD,2,0,Castellón,Match Finished
2023-10-28T16:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Real Murcia,1,0,Linares Deportivo,Match Finished
2023-10-29T11:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Real Madrid II,1,1,AD Ceuta FC,Match Finished
2023-11-04T19:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Intercity,1,0,Sanluqueño,Match Finished
2023-11-04T17:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Recreativo Huelva,1,0,San Fernando CD,Match Finished
2023-11-04T15:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Antequera,5,2,Granada II,Match Finished
2023-11-05T15:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,AD Ceuta FC,1,0,Real Murcia,Match Finished
2023-11-05T17:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Castellón,2,0,Alcoyano,Match Finished
2023-11-05T10:30:00+00:00,2023,Primera División RFEF - Group 2,Spain,Melilla,2,1,Atlético Madrid II,Match Finished
2023-11-04T19:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Linares Deportivo,1,1,Algeciras,Match Finished
2023-11-05T19:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Malaga,1,1,Cordoba,Match Finished
2023-11-05T11:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Real Madrid II,5,0,Atlético Baleares,Match Finished
2023-11-05T19:00:00+00:00,2023,Primera División RFEF - Group 2,Spain,Mérida AD,1,2,Ibiza,Match Finished
