date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2024-02-03T20:30:00+00:00,2024,Primera Nacional,Argentina,Talleres Remedios,0,0,San Miguel,Match Finished,,,,,,
2024-02-03T20:30:00+00:00,2024,Primera Nacional,Argentina,CA Estudiantes,1,0,Ferro Carril Oeste,Match Finished,,,,,,
2024-02-03T20:00:00+00:00,2024,Primera Nacional,Argentina,Chacarita Juniors,2,0,Deportivo Maipu,Match Finished,,,,,,
2024-02-03T23:00:00+00:00,2024,Primera Nacional,Argentina,San Martin Tucuman,1,0,Gimnasia Jujuy,Match Finished,,,,,,
2024-02-04T20:00:00+00:00,2024,Primera Nacional,Argentina,Arsenal Sarandi,1,1,Club Atlético Güemes,Match Finished,,,,,,
2024-02-04T22:00:00+00:00,2024,Primera Nacional,Argentina,San Martin S.J.,1,0,Alvarado,Match Finished,,,,,,
2024-02-04T20:00:00+00:00,2024,Primera Nacional,Argentina,Guillermo Brown,1,1,Racing Cordoba,Match Finished,,,,,,
2024-02-02T20:10:00+00:00,2024,Primera Nacional,Argentina,Agropecuario,1,0,Patronato,Match Finished,,,,,,
2024-02-03T20:00:00+00:00,2024,Primera Nacional,Argentina,All Boys,1,0,Tristan Suarez,Match Finished,,,,,,
2024-02-03T20:00:00+00:00,2024,Primera Nacional,Argentina,Deportivo Moron,3,0,Brown DE Adrogue,Match Finished,,,,,,
