date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-11T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Ahli Jeddah,3,1,Al-Hazm,Match Finished
2023-08-12T15:00:00+00:00,2023,Pro League,Saudi-Arabia,Al Taee,1,0,Damac,Match Finished
2023-08-12T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Fayha,3,1,Al Khaleej Saihat,Match Finished
2023-08-13T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Fateh,1,1,Al Taawon,Match Finished
2023-08-13T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al Riyadh,1,0,Al Wehda Club,Match Finished
2023-08-14T15:00:00+00:00,2023,Pro League,Saudi-Arabia,Abha,1,3,Al-Hilal Saudi FC,Match Finished
2023-08-14T15:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Raed,0,3,Al-Ittihad FC,Match Finished
2023-08-14T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Ettifaq,2,1,Al-Nassr,Match Finished
2023-08-14T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al Shabab,1,1,Al Akhdoud,Match Finished
2023-08-17T15:00:00+00:00,2023,Pro League,Saudi-Arabia,Damac,2,2,Al Riyadh,Match Finished
2023-08-17T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al Khaleej Saihat,1,3,Al-Ahli Jeddah,Match Finished
2023-08-18T15:00:00+00:00,2023,Pro League,Saudi-Arabia,Al Akhdoud,1,3,Al-Fateh,Match Finished
2023-08-18T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Hazm,0,2,Al-Ettifaq,Match Finished
2023-08-18T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Nassr,0,2,Al Taawon,Match Finished
2023-08-18T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al Wehda Club,3,1,Al Shabab,Match Finished
2023-08-19T15:00:00+00:00,2023,Pro League,Saudi-Arabia,Abha,1,0,Al-Raed,Match Finished
2023-08-19T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Hilal Saudi FC,1,1,Al-Fayha,Match Finished
2023-08-19T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Ittihad FC,2,0,Al Taee,Match Finished
2023-08-24T15:00:00+00:00,2023,Pro League,Saudi-Arabia,Al Taee,0,3,Al Wehda Club,Match Finished
2023-08-24T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Raed,0,4,Al-Hilal Saudi FC,Match Finished
2023-08-24T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Ettifaq,1,1,Al Khaleej Saihat,Match Finished
2023-08-24T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Ahli Jeddah,1,0,Al Akhdoud,Match Finished
2023-08-24T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al Riyadh,0,4,Al-Ittihad FC,Match Finished
2023-08-25T15:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Fayha,0,0,Al-Hazm,Match Finished
2023-08-25T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al Shabab,1,1,Damac,Match Finished
2023-08-25T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al Taawon,1,0,Abha,Match Finished
2023-08-25T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Fateh,0,5,Al-Nassr,Match Finished
2023-08-28T15:00:00+00:00,2023,Pro League,Saudi-Arabia,Abha,2,1,Al-Fayha,Match Finished
2023-08-28T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Raed,3,0,Al Riyadh,Match Finished
2023-08-28T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Hilal Saudi FC,2,0,Al-Ettifaq,Match Finished
2023-08-28T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al Wehda Club,0,3,Al-Ittihad FC,Match Finished
2023-08-29T15:00:00+00:00,2023,Pro League,Saudi-Arabia,Al Akhdoud,0,1,Al Taawon,Match Finished
2023-08-29T15:00:00+00:00,2023,Pro League,Saudi-Arabia,Damac,2,2,Al-Fateh,Match Finished
2023-08-29T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al Khaleej Saihat,1,1,Al-Hazm,Match Finished
2023-08-29T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Ahli Jeddah,2,0,Al Taee,Match Finished
2023-08-29T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Nassr,4,0,Al Shabab,Match Finished
2023-09-01T15:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Fayha,0,0,Al-Raed,Match Finished
2023-09-01T15:00:00+00:00,2023,Pro League,Saudi-Arabia,Al Taee,1,0,Abha,Match Finished
2023-09-01T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al Riyadh,0,1,Al Akhdoud,Match Finished
2023-09-01T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Ittihad FC,3,4,Al-Hilal Saudi FC,Match Finished
2023-09-02T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Ettifaq,3,1,Damac,Match Finished
2023-09-02T18:00:00+00:00,2023,Pro League,Saudi-Arabia,Al-Fateh,5,1,Al-Ahli Jeddah,Match Finished
