date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-19T14:00:00+00:00,2023,Pro League,United-Arab-Emirates,Khorfakkan,2,1,Hatta SC,Match Finished
2023-08-19T16:30:00+00:00,2023,Pro League,United-Arab-Emirates,Al Nasr,1,3,Al-Jazira,Match Finished
2023-08-18T14:00:00+00:00,2023,Pro League,United-Arab-Emirates,Al-Ittihad Kalba,3,4,Sharjah FC,Match Finished
2023-08-19T14:00:00+00:00,2023,Pro League,United-Arab-Emirates,Al-Wasl FC,1,0,Emirates Club,Match Finished
2023-08-18T16:30:00+00:00,2023,Pro League,United-Arab-Emirates,Al Ain,3,2,Baniyas SC,Match Finished
2023-08-18T14:00:00+00:00,2023,Pro League,United-Arab-Emirates,Al Wahda FC,1,2,Al Bataeh,Match Finished
2023-08-18T16:30:00+00:00,2023,Pro League,United-Arab-Emirates,Ajman,0,3,Shabab Al Ahli Dubai,Match Finished
2023-08-26T14:00:00+00:00,2023,Pro League,United-Arab-Emirates,Hatta SC,0,2,Al Ain,Match Finished
2023-08-27T14:00:00+00:00,2023,Pro League,United-Arab-Emirates,Shabab Al Ahli Dubai,2,1,Khorfakkan,Match Finished
2023-08-25T14:00:00+00:00,2023,Pro League,United-Arab-Emirates,Emirates Club,4,4,Ajman,Match Finished
2023-08-26T14:00:00+00:00,2023,Pro League,United-Arab-Emirates,Al Bataeh,0,0,Al-Ittihad Kalba,Match Finished
2023-08-25T16:30:00+00:00,2023,Pro League,United-Arab-Emirates,Al-Jazira,1,2,Al Wahda FC,Match Finished
2023-08-26T16:30:00+00:00,2023,Pro League,United-Arab-Emirates,Baniyas SC,4,2,Al Nasr,Match Finished
2023-08-27T16:30:00+00:00,2023,Pro League,United-Arab-Emirates,Sharjah FC,1,3,Al-Wasl FC,Match Finished
2023-09-23T16:00:00+00:00,2023,Pro League,United-Arab-Emirates,Khorfakkan,0,2,Emirates Club,Match Finished
2023-09-23T13:20:00+00:00,2023,Pro League,United-Arab-Emirates,Al Nasr,0,1,Sharjah FC,Match Finished
2023-09-23T16:00:00+00:00,2023,Pro League,United-Arab-Emirates,Al Ain,6,0,Ajman,Match Finished
2023-09-23T13:20:00+00:00,2023,Pro League,United-Arab-Emirates,Al-Ittihad Kalba,0,4,Al-Jazira,Match Finished
2023-09-24T13:20:00+00:00,2023,Pro League,United-Arab-Emirates,Al Bataeh,0,2,Shabab Al Ahli Dubai,Match Finished
2023-09-24T13:20:00+00:00,2023,Pro League,United-Arab-Emirates,Al Wahda FC,1,0,Hatta SC,Match Finished
2023-09-24T16:00:00+00:00,2023,Pro League,United-Arab-Emirates,Al-Wasl FC,3,2,Baniyas SC,Match Finished
2023-09-28T16:00:00+00:00,2023,Pro League,United-Arab-Emirates,Sharjah FC,2,3,Al Ain,Match Finished
2023-09-30T13:20:00+00:00,2023,Pro League,United-Arab-Emirates,Al-Jazira,3,1,Al Bataeh,Match Finished
2023-09-29T16:00:00+00:00,2023,Pro League,United-Arab-Emirates,Shabab Al Ahli Dubai,3,1,Al Wahda FC,Match Finished
2023-09-29T13:20:00+00:00,2023,Pro League,United-Arab-Emirates,Baniyas SC,0,0,Emirates Club,Match Finished
2023-09-30T16:00:00+00:00,2023,Pro League,United-Arab-Emirates,Khorfakkan,3,3,Al-Wasl FC,Match Finished
2023-09-28T13:20:00+00:00,2023,Pro League,United-Arab-Emirates,Hatta SC,0,3,Al Nasr,Match Finished
2023-09-29T13:20:00+00:00,2023,Pro League,United-Arab-Emirates,Ajman,3,5,Al-Ittihad Kalba,Match Finished
2023-10-06T16:00:00+00:00,2023,Pro League,United-Arab-Emirates,Baniyas SC,2,1,Al Wahda FC,Match Finished
2023-10-06T13:20:00+00:00,2023,Pro League,United-Arab-Emirates,Al-Ittihad Kalba,2,1,Hatta SC,Match Finished
2023-10-07T13:20:00+00:00,2023,Pro League,United-Arab-Emirates,Al-Wasl FC,1,1,Ajman,Match Finished
2023-10-08T13:20:00+00:00,2023,Pro League,United-Arab-Emirates,Emirates Club,1,3,Sharjah FC,Match Finished
