date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-07-20T16:45:00+00:00,2023,Regionalliga - Bayern,Germany,Bayreuth,1,0,Schalding-Heining,Match Finished
2023-07-21T16:30:00+00:00,2023,Regionalliga - Bayern,Germany,FC Wurzburger Kickers,0,0,Memmingen,Match Finished
2023-07-21T17:00:00+00:00,2023,Regionalliga - Bayern,Germany,Wacker Burghausen,3,3,Bayern München II,Match Finished
2023-07-22T11:00:00+00:00,2023,Regionalliga - Bayern,Germany,Eintracht Bamberg,1,0,Illertissen,Match Finished
2023-07-22T12:00:00+00:00,2023,Regionalliga - Bayern,Germany,FC Schweinfurt 05,0,0,Viktoria Aschaffenburg,Match Finished
2023-07-22T12:00:00+00:00,2023,Regionalliga - Bayern,Germany,Nürnberg II,3,5,Vilzing,Match Finished
2023-07-22T12:00:00+00:00,2023,Regionalliga - Bayern,Germany,Türkgücü-Ataspor,1,1,Augsburg II,Match Finished
2023-07-22T12:00:00+00:00,2023,Regionalliga - Bayern,Germany,Greuther Fürth II,0,3,Aubstadt,Match Finished
2023-07-22T15:00:00+00:00,2023,Regionalliga - Bayern,Germany,Buchbach,0,0,Ansbach,Match Finished
2023-07-28T16:15:00+00:00,2023,Regionalliga - Bayern,Germany,Aubstadt,2,0,Eintracht Bamberg,Match Finished
2023-07-28T16:30:00+00:00,2023,Regionalliga - Bayern,Germany,Ansbach,2,2,Greuther Fürth II,Match Finished
2023-08-22T16:00:00+00:00,2023,Regionalliga - Bayern,Germany,Schalding-Heining,2,1,FC Schweinfurt 05,Match Finished
2023-07-28T17:00:00+00:00,2023,Regionalliga - Bayern,Germany,Bayern München II,1,4,Türkgücü-Ataspor,Match Finished
2023-07-28T17:00:00+00:00,2023,Regionalliga - Bayern,Germany,Memmingen,0,3,Nürnberg II,Match Finished
2023-07-28T17:00:00+00:00,2023,Regionalliga - Bayern,Germany,Viktoria Aschaffenburg,2,0,Buchbach,Match Finished
2023-07-28T17:00:00+00:00,2023,Regionalliga - Bayern,Germany,Augsburg II,0,2,FC Wurzburger Kickers,Match Finished
2023-07-29T12:00:00+00:00,2023,Regionalliga - Bayern,Germany,Illertissen,2,1,Wacker Burghausen,Match Finished
2023-07-29T12:00:00+00:00,2023,Regionalliga - Bayern,Germany,Vilzing,2,1,Bayreuth,Match Finished
2023-08-04T17:00:00+00:00,2023,Regionalliga - Bayern,Germany,Bayreuth,2,1,Memmingen,Match Finished
2023-08-04T17:00:00+00:00,2023,Regionalliga - Bayern,Germany,Wacker Burghausen,0,1,Aubstadt,Match Finished
2023-08-05T12:00:00+00:00,2023,Regionalliga - Bayern,Germany,FC Schweinfurt 05,3,1,Buchbach,Match Finished
2023-08-05T12:00:00+00:00,2023,Regionalliga - Bayern,Germany,FC Wurzburger Kickers,2,0,Bayern München II,Match Finished
2023-08-05T12:00:00+00:00,2023,Regionalliga - Bayern,Germany,Türkgücü-Ataspor,3,1,Illertissen,Match Finished
2023-08-05T12:00:00+00:00,2023,Regionalliga - Bayern,Germany,Eintracht Bamberg,0,1,Ansbach,Match Finished
2023-08-05T12:00:00+00:00,2023,Regionalliga - Bayern,Germany,Greuther Fürth II,4,1,Viktoria Aschaffenburg,Match Finished
2023-08-05T13:30:00+00:00,2023,Regionalliga - Bayern,Germany,Nürnberg II,1,2,Augsburg II,Match Finished
2023-08-05T14:00:00+00:00,2023,Regionalliga - Bayern,Germany,Schalding-Heining,1,5,Vilzing,Match Finished
2023-08-09T17:00:00+00:00,2023,Regionalliga - Bayern,Germany,Illertissen,2,3,FC Wurzburger Kickers,Match Finished
2023-08-11T16:15:00+00:00,2023,Regionalliga - Bayern,Germany,Aubstadt,3,0,Türkgücü-Ataspor,Match Finished
2023-08-11T16:30:00+00:00,2023,Regionalliga - Bayern,Germany,Ansbach,2,0,Wacker Burghausen,Match Finished
2023-08-11T16:30:00+00:00,2023,Regionalliga - Bayern,Germany,Vilzing,0,5,FC Schweinfurt 05,Match Finished
2023-08-11T17:00:00+00:00,2023,Regionalliga - Bayern,Germany,Bayern München II,2,2,Nürnberg II,Match Finished
2023-08-11T17:00:00+00:00,2023,Regionalliga - Bayern,Germany,Memmingen,3,2,Schalding-Heining,Match Finished
2023-08-11T17:00:00+00:00,2023,Regionalliga - Bayern,Germany,Buchbach,0,1,Greuther Fürth II,Match Finished
2023-08-11T17:00:00+00:00,2023,Regionalliga - Bayern,Germany,Viktoria Aschaffenburg,1,0,Eintracht Bamberg,Match Finished
2023-09-19T17:00:00+00:00,2023,Regionalliga - Bayern,Germany,Augsburg II,1,1,Bayreuth,Match Finished
2023-08-18T16:30:00+00:00,2023,Regionalliga - Bayern,Germany,FC Wurzburger Kickers,1,1,Aubstadt,Match Finished
2023-08-18T17:00:00+00:00,2023,Regionalliga - Bayern,Germany,Bayreuth,1,2,Bayern München II,Match Finished
2023-08-19T12:00:00+00:00,2023,Regionalliga - Bayern,Germany,FC Schweinfurt 05,4,0,Greuther Fürth II,Match Finished
