date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-07-28T17:00:00+00:00,2023,Regionalliga - Nordost,Germany,Hertha BSC II,3,0,BSG Chemie Leipzig,Match Finished
2023-07-28T17:00:00+00:00,2023,Regionalliga - Nordost,Germany,Lokomotive Leipzig,2,1,Altglienicke,Match Finished
2023-07-28T17:00:00+00:00,2023,Regionalliga - Nordost,Germany,Rot-weiss Erfurt,2,0,Hansa Rostock II,Match Finished
2023-07-29T11:00:00+00:00,2023,Regionalliga - Nordost,Germany,BFC Dynamo,3,0,FSV Zwickau,Match Finished
2023-07-29T11:00:00+00:00,2023,Regionalliga - Nordost,Germany,Greifswalder FC,3,1,Eilenburg,Match Finished
2023-07-29T12:05:00+00:00,2023,Regionalliga - Nordost,Germany,Chemnitzer FC,0,0,Carl Zeiss Jena,Match Finished
2023-07-30T11:00:00+00:00,2023,Regionalliga - Nordost,Germany,Viktoria Berlin,2,1,Energie Cottbus,Match Finished
2023-07-30T11:00:00+00:00,2023,Regionalliga - Nordost,Germany,Luckenwalde,6,0,BAK '07,Match Finished
2023-07-30T11:00:00+00:00,2023,Regionalliga - Nordost,Germany,SV Babelsberg 03,2,1,ZFC Meuselwitz,Match Finished
2023-08-04T17:00:00+00:00,2023,Regionalliga - Nordost,Germany,Eilenburg,0,1,SV Babelsberg 03,Match Finished
2023-08-04T17:00:00+00:00,2023,Regionalliga - Nordost,Germany,FSV Zwickau,2,0,Luckenwalde,Match Finished
2023-08-05T11:00:00+00:00,2023,Regionalliga - Nordost,Germany,Hansa Rostock II,6,1,Chemnitzer FC,Match Finished
2023-08-05T11:00:00+00:00,2023,Regionalliga - Nordost,Germany,Carl Zeiss Jena,1,1,Greifswalder FC,Match Finished
2023-08-05T12:05:00+00:00,2023,Regionalliga - Nordost,Germany,Energie Cottbus,1,1,Rot-weiss Erfurt,Match Finished
2023-08-06T11:00:00+00:00,2023,Regionalliga - Nordost,Germany,Altglienicke,3,1,BFC Dynamo,Match Finished
2023-08-06T11:00:00+00:00,2023,Regionalliga - Nordost,Germany,BSG Chemie Leipzig,1,0,Viktoria Berlin,Match Finished
2023-08-06T11:30:00+00:00,2023,Regionalliga - Nordost,Germany,ZFC Meuselwitz,3,2,Lokomotive Leipzig,Match Finished
2023-08-23T17:00:00+00:00,2023,Regionalliga - Nordost,Germany,BAK '07,0,1,Hertha BSC II,Match Finished
2023-08-15T17:00:00+00:00,2023,Regionalliga - Nordost,Germany,Viktoria Berlin,0,0,BAK '07,Match Finished
2023-08-15T17:00:00+00:00,2023,Regionalliga - Nordost,Germany,Hertha BSC II,4,3,FSV Zwickau,Match Finished
2023-08-15T17:00:00+00:00,2023,Regionalliga - Nordost,Germany,Luckenwalde,1,4,Altglienicke,Match Finished
2023-08-15T17:00:00+00:00,2023,Regionalliga - Nordost,Germany,BFC Dynamo,1,1,ZFC Meuselwitz,Match Finished
2023-08-16T17:00:00+00:00,2023,Regionalliga - Nordost,Germany,Chemnitzer FC,1,2,Greifswalder FC,Match Finished
2023-08-16T17:00:00+00:00,2023,Regionalliga - Nordost,Germany,Lokomotive Leipzig,2,1,Eilenburg,Match Finished
2023-08-16T17:00:00+00:00,2023,Regionalliga - Nordost,Germany,SV Babelsberg 03,2,1,Carl Zeiss Jena,Match Finished
2023-08-16T17:00:00+00:00,2023,Regionalliga - Nordost,Germany,Hansa Rostock II,2,3,Energie Cottbus,Match Finished
2023-08-16T18:20:00+00:00,2023,Regionalliga - Nordost,Germany,Rot-weiss Erfurt,4,2,BSG Chemie Leipzig,Match Finished
2023-08-19T12:05:00+00:00,2023,Regionalliga - Nordost,Germany,Eilenburg,1,3,BFC Dynamo,Match Finished
2023-08-18T17:00:00+00:00,2023,Regionalliga - Nordost,Germany,ZFC Meuselwitz,1,2,Luckenwalde,Match Finished
2023-08-18T17:00:00+00:00,2023,Regionalliga - Nordost,Germany,Altglienicke,2,6,Hertha BSC II,Match Finished
2023-08-18T17:00:00+00:00,2023,Regionalliga - Nordost,Germany,FSV Zwickau,1,1,Viktoria Berlin,Match Finished
2023-08-19T11:00:00+00:00,2023,Regionalliga - Nordost,Germany,BAK '07,0,4,Rot-weiss Erfurt,Match Finished
2023-08-19T11:00:00+00:00,2023,Regionalliga - Nordost,Germany,BSG Chemie Leipzig,2,0,Hansa Rostock II,Match Finished
2023-08-20T11:00:00+00:00,2023,Regionalliga - Nordost,Germany,Energie Cottbus,2,0,Chemnitzer FC,Match Finished
2023-08-20T11:00:00+00:00,2023,Regionalliga - Nordost,Germany,Greifswalder FC,1,0,SV Babelsberg 03,Match Finished
