date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-04T18:00:00+00:00,2023,Regionalliga - SudWest,Germany,Kickers Offenbach,0,1,Stuttgarter Kickers,Match Finished
2023-08-05T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Balingen,0,0,Bahlinger SC,Match Finished
2023-08-05T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,TuS Koblenz,0,2,TSV Steinbach,Match Finished
2023-08-05T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,SGV Freiberg,0,0,Eintracht Frankfurt II,Match Finished
2023-08-05T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,FC Astoria Walldorf,1,1,Hoffenheim II,Match Finished
2023-08-05T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Stuttgart II,2,1,Barockstadt Fulda-Lehn.,Match Finished
2023-08-08T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,FSV Frankfurt,4,3,Schott Mainz,Match Finished
2023-08-05T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Hessen Kassel,2,0,FSV Mainz 05 II,Match Finished
2023-08-06T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,FC 08 Homburg,1,1,VfR Aalen,Match Finished
2023-08-13T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Hoffenheim II,3,1,SGV Freiberg,Match Finished
2023-08-11T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,VfR Aalen,2,1,Kickers Offenbach,Match Finished
2023-08-12T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Stuttgarter Kickers,7,0,TuS Koblenz,Match Finished
2023-08-12T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,TSV Steinbach,3,2,Hessen Kassel,Match Finished
2023-08-23T16:00:00+00:00,2023,Regionalliga - SudWest,Germany,Schott Mainz,1,3,Stuttgart II,Match Finished
2023-08-15T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,FSV Mainz 05 II,1,1,Balingen,Match Finished
2023-08-16T16:00:00+00:00,2023,Regionalliga - SudWest,Germany,Barockstadt Fulda-Lehn.,3,0,FC Astoria Walldorf,Match Finished
2023-08-16T16:00:00+00:00,2023,Regionalliga - SudWest,Germany,Bahlinger SC,0,0,FSV Frankfurt,Match Finished
2023-08-23T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,Eintracht Frankfurt II,5,0,FC 08 Homburg,Match Finished
2023-08-20T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,TuS Koblenz,1,2,VfR Aalen,Match Finished
2023-08-20T14:00:00+00:00,2023,Regionalliga - SudWest,Germany,Kickers Offenbach,3,2,Eintracht Frankfurt II,Match Finished
2023-08-19T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,FC 08 Homburg,1,2,Hoffenheim II,Match Finished
2023-08-19T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,SGV Freiberg,0,4,Barockstadt Fulda-Lehn.,Match Finished
2023-08-20T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,FC Astoria Walldorf,1,1,Schott Mainz,Match Finished
2023-08-20T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Stuttgart II,3,2,Bahlinger SC,Match Finished
2023-08-20T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,FSV Mainz 05 II,3,0,TSV Steinbach,Match Finished
2023-08-19T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Hessen Kassel,2,1,Stuttgarter Kickers,Match Finished
2023-08-19T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Balingen,2,3,FSV Frankfurt,Match Finished
2023-08-26T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Schott Mainz,1,4,SGV Freiberg,Match Finished
2023-08-26T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Barockstadt Fulda-Lehn.,2,2,FC 08 Homburg,Match Finished
2023-08-26T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Hoffenheim II,1,2,Kickers Offenbach,Match Finished
2023-08-27T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Eintracht Frankfurt II,3,1,TuS Koblenz,Match Finished
2023-08-26T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,VfR Aalen,1,1,Hessen Kassel,Match Finished
2023-08-26T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Stuttgarter Kickers,4,1,FSV Mainz 05 II,Match Finished
2023-08-26T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,TSV Steinbach,2,2,Balingen,Match Finished
2023-08-26T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,FSV Frankfurt,1,3,Stuttgart II,Match Finished
2023-08-26T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Bahlinger SC,2,1,FC Astoria Walldorf,Match Finished
2023-08-29T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,Balingen,1,2,Stuttgart II,Match Finished
2023-08-30T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,TuS Koblenz,0,4,Hoffenheim II,Match Finished
2023-08-29T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,Kickers Offenbach,1,1,Barockstadt Fulda-Lehn.,Match Finished
2023-08-29T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,FC 08 Homburg,2,2,Schott Mainz,Match Finished
2023-08-29T15:30:00+00:00,2023,Regionalliga - SudWest,Germany,SGV Freiberg,3,2,Bahlinger SC,Match Finished
2023-08-30T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,FC Astoria Walldorf,2,1,FSV Frankfurt,Match Finished
2023-08-29T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,TSV Steinbach,1,3,Stuttgarter Kickers,Match Finished
2023-08-29T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,FSV Mainz 05 II,1,1,VfR Aalen,Match Finished
2023-08-30T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,Hessen Kassel,2,2,Eintracht Frankfurt II,Match Finished
2023-09-02T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Schott Mainz,2,1,Kickers Offenbach,Match Finished
2023-09-02T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Barockstadt Fulda-Lehn.,4,1,TuS Koblenz,Match Finished
2023-09-03T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Hoffenheim II,2,1,Hessen Kassel,Match Finished
2023-09-03T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Eintracht Frankfurt II,6,1,FSV Mainz 05 II,Match Finished
2023-09-02T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,VfR Aalen,0,3,TSV Steinbach,Match Finished
2023-09-02T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Stuttgarter Kickers,2,2,Balingen,Match Finished
2023-09-03T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Stuttgart II,1,2,FC Astoria Walldorf,Match Finished
2023-09-02T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,FSV Frankfurt,2,3,SGV Freiberg,Match Finished
2023-09-02T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Bahlinger SC,0,1,FC 08 Homburg,Match Finished
2023-09-09T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Balingen,6,3,FC Astoria Walldorf,Match Finished
2023-09-09T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,TuS Koblenz,2,0,Schott Mainz,Match Finished
2023-09-09T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Kickers Offenbach,5,2,Bahlinger SC,Match Finished
2023-09-08T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,FC 08 Homburg,1,1,FSV Frankfurt,Match Finished
2023-09-09T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,SGV Freiberg,3,1,Stuttgart II,Match Finished
2023-09-09T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Stuttgarter Kickers,0,0,VfR Aalen,Match Finished
2023-09-09T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,TSV Steinbach,1,3,Eintracht Frankfurt II,Match Finished
2023-09-19T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,FSV Mainz 05 II,1,0,Hoffenheim II,Match Finished
2023-09-09T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Hessen Kassel,2,1,Barockstadt Fulda-Lehn.,Match Finished
2023-09-17T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Schott Mainz,0,5,Hessen Kassel,Match Finished
2023-09-16T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Barockstadt Fulda-Lehn.,2,1,FSV Mainz 05 II,Match Finished
2023-09-16T15:00:00+00:00,2023,Regionalliga - SudWest,Germany,Hoffenheim II,0,1,TSV Steinbach,Match Finished
2023-09-15T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,Eintracht Frankfurt II,1,0,Stuttgarter Kickers,Match Finished
2023-09-15T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,VfR Aalen,1,0,Balingen,Match Finished
2023-09-16T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,FC Astoria Walldorf,1,2,SGV Freiberg,Match Finished
2023-09-16T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Stuttgart II,1,8,FC 08 Homburg,Match Finished
2023-09-16T14:00:00+00:00,2023,Regionalliga - SudWest,Germany,FSV Frankfurt,1,1,Kickers Offenbach,Match Finished
2023-09-16T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Bahlinger SC,5,2,TuS Koblenz,Match Finished
2023-09-22T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,Balingen,4,4,SGV Freiberg,Match Finished
2023-09-23T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,TuS Koblenz,2,3,FSV Frankfurt,Match Finished
2023-09-22T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,Kickers Offenbach,2,2,Stuttgart II,Match Finished
2023-09-22T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,FC 08 Homburg,5,0,FC Astoria Walldorf,Match Finished
2023-09-23T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,VfR Aalen,3,2,Eintracht Frankfurt II,Match Finished
2023-09-23T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Stuttgarter Kickers,1,0,Hoffenheim II,Match Finished
2023-09-22T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,TSV Steinbach,1,3,Barockstadt Fulda-Lehn.,Match Finished
2023-09-23T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,FSV Mainz 05 II,3,0,Schott Mainz,Match Finished
2023-09-23T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Hessen Kassel,0,1,Bahlinger SC,Match Finished
2023-09-30T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Schott Mainz,2,4,TSV Steinbach,Match Finished
2023-09-30T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Barockstadt Fulda-Lehn.,0,2,Stuttgarter Kickers,Match Finished
2023-09-30T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Hoffenheim II,3,1,VfR Aalen,Match Finished
2023-09-29T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,Eintracht Frankfurt II,1,1,Balingen,Match Finished
2023-09-30T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,SGV Freiberg,2,1,FC 08 Homburg,Match Finished
2023-09-29T17:00:00+00:00,2023,Regionalliga - SudWest,Germany,FC Astoria Walldorf,1,0,Kickers Offenbach,Match Finished
2023-09-30T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,Stuttgart II,7,3,TuS Koblenz,Match Finished
2023-09-30T12:00:00+00:00,2023,Regionalliga - SudWest,Germany,FSV Frankfurt,2,0,Hessen Kassel,Match Finished
