date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-13T17:30:00+00:00,2023,Segunda División,Spain,Albacete,1,1,Espanyol,Match Finished
2023-08-11T17:00:00+00:00,2023,Segunda División,Spain,Amorebieta,1,1,Levante,Match Finished
2023-08-13T15:00:00+00:00,2023,Segunda División,Spain,Burgos,1,1,Huesca,Match Finished
2023-08-13T17:30:00+00:00,2023,Segunda División,Spain,FC Cartagena,0,1,Eldense,Match Finished
2023-08-12T20:00:00+00:00,2023,Segunda División,Spain,Elche,0,1,Racing Ferrol,Match Finished
2023-08-14T17:00:00+00:00,2023,Segunda División,Spain,Mirandes,4,0,Alcorcon,Match Finished
2023-08-13T20:00:00+00:00,2023,Segunda División,Spain,Leganes,0,1,FC Andorra,Match Finished
2023-08-12T17:00:00+00:00,2023,Segunda División,Spain,Racing Santander,4,0,Eibar,Match Finished
2023-08-14T19:30:00+00:00,2023,Segunda División,Spain,Tenerife,1,0,Oviedo,Match Finished
2023-08-11T19:30:00+00:00,2023,Segunda División,Spain,Valladolid,2,0,Sporting Gijon,Match Finished
2023-08-12T19:00:00+00:00,2023,Segunda División,Spain,Zaragoza,2,0,Villarreal II,Match Finished
2023-08-20T20:00:00+00:00,2023,Segunda División,Spain,Albacete,2,2,Amorebieta,Match Finished
2023-08-19T20:00:00+00:00,2023,Segunda División,Spain,Alcorcon,0,2,Leganes,Match Finished
2023-08-18T17:00:00+00:00,2023,Segunda División,Spain,FC Andorra,3,2,FC Cartagena,Match Finished
2023-08-19T15:00:00+00:00,2023,Segunda División,Spain,Eibar,2,1,Elche,Match Finished
2023-08-19T17:00:00+00:00,2023,Segunda División,Spain,Espanyol,2,0,Racing Santander,Match Finished
2023-08-21T19:30:00+00:00,2023,Segunda División,Spain,Huesca,0,2,Tenerife,Match Finished
2023-08-19T17:30:00+00:00,2023,Segunda División,Spain,Levante,3,2,Burgos,Match Finished
2023-08-21T17:00:00+00:00,2023,Segunda División,Spain,Villarreal II,3,1,Eldense,Match Finished
2023-08-20T15:00:00+00:00,2023,Segunda División,Spain,Oviedo,1,1,Racing Ferrol,Match Finished
2023-08-20T17:30:00+00:00,2023,Segunda División,Spain,Sporting Gijon,3,0,Mirandes,Match Finished
2023-08-18T19:30:00+00:00,2023,Segunda División,Spain,Zaragoza,1,0,Valladolid,Match Finished
2023-08-27T17:30:00+00:00,2023,Segunda División,Spain,Amorebieta,3,0,FC Andorra,Match Finished
2023-08-26T15:00:00+00:00,2023,Segunda División,Spain,Burgos,1,0,Oviedo,Match Finished
2023-08-25T19:30:00+00:00,2023,Segunda División,Spain,FC Cartagena,0,1,Levante,Match Finished
2023-08-26T19:30:00+00:00,2023,Segunda División,Spain,Elche,1,0,Villarreal II,Match Finished
2023-08-27T15:00:00+00:00,2023,Segunda División,Spain,Racing Ferrol,2,0,Sporting Gijon,Match Finished
2023-08-26T17:00:00+00:00,2023,Segunda División,Spain,Tenerife,0,1,Zaragoza,Match Finished
2023-08-27T19:30:00+00:00,2023,Segunda División,Spain,Leganes,2,0,Albacete,Match Finished
2023-08-26T19:30:00+00:00,2023,Segunda División,Spain,Valladolid,0,2,Alcorcon,Match Finished
2023-08-28T17:00:00+00:00,2023,Segunda División,Spain,Eldense,2,1,Eibar,Match Finished
2023-08-27T17:30:00+00:00,2023,Segunda División,Spain,Mirandes,0,1,Espanyol,Match Finished
2023-08-28T19:30:00+00:00,2023,Segunda División,Spain,Racing Santander,0,0,Huesca,Match Finished
2023-09-01T19:30:00+00:00,2023,Segunda División,Spain,Albacete,2,0,Valladolid,Match Finished
2023-09-01T17:30:00+00:00,2023,Segunda División,Spain,Alcorcon,1,1,Racing Ferrol,Match Finished
2023-09-03T12:00:00+00:00,2023,Segunda División,Spain,FC Andorra,0,1,Tenerife,Match Finished
2023-09-03T14:15:00+00:00,2023,Segunda División,Spain,Eibar,0,1,Leganes,Match Finished
2023-09-02T19:00:00+00:00,2023,Segunda División,Spain,Elche,1,1,Racing Santander,Match Finished
2023-09-03T19:00:00+00:00,2023,Segunda División,Spain,Huesca,1,1,Mirandes,Match Finished
2023-09-02T16:30:00+00:00,2023,Segunda División,Spain,Levante,1,1,Oviedo,Match Finished
2023-09-03T16:30:00+00:00,2023,Segunda División,Spain,Espanyol,3,2,Amorebieta,Match Finished
2023-09-02T14:15:00+00:00,2023,Segunda División,Spain,Sporting Gijon,2,1,Burgos,Match Finished
2023-09-02T19:00:00+00:00,2023,Segunda División,Spain,Villarreal II,1,2,FC Cartagena,Match Finished
2023-09-03T16:30:00+00:00,2023,Segunda División,Spain,Zaragoza,2,0,Eldense,Match Finished
2023-09-09T14:15:00+00:00,2023,Segunda División,Spain,Burgos,1,0,Eibar,Match Finished
2023-09-10T16:30:00+00:00,2023,Segunda División,Spain,FC Cartagena,1,3,Zaragoza,Match Finished
2023-09-10T14:15:00+00:00,2023,Segunda División,Spain,Racing Ferrol,2,2,Villarreal II,Match Finished
2023-09-09T16:30:00+00:00,2023,Segunda División,Spain,Oviedo,0,0,Sporting Gijon,Match Finished
2023-09-09T19:00:00+00:00,2023,Segunda División,Spain,Tenerife,2,0,Albacete,Match Finished
2023-09-11T19:00:00+00:00,2023,Segunda División,Spain,Eldense,2,2,Alcorcon,Match Finished
2023-09-10T14:15:00+00:00,2023,Segunda División,Spain,Racing Santander,1,0,Amorebieta,Match Finished
2023-09-10T16:30:00+00:00,2023,Segunda División,Spain,Mirandes,4,3,FC Andorra,Match Finished
2023-09-10T19:00:00+00:00,2023,Segunda División,Spain,Valladolid,1,1,Elche,Match Finished
2023-09-08T19:00:00+00:00,2023,Segunda División,Spain,Levante,1,4,Espanyol,Match Finished
2023-09-09T19:00:00+00:00,2023,Segunda División,Spain,Leganes,2,0,Huesca,Match Finished
2023-09-16T19:00:00+00:00,2023,Segunda División,Spain,Albacete,2,1,Burgos,Match Finished
2023-09-16T16:30:00+00:00,2023,Segunda División,Spain,Alcorcon,0,2,Levante,Match Finished
2023-09-17T12:00:00+00:00,2023,Segunda División,Spain,Amorebieta,2,0,Mirandes,Match Finished
2023-09-18T19:00:00+00:00,2023,Segunda División,Spain,FC Andorra,1,0,Oviedo,Match Finished
2023-09-17T14:15:00+00:00,2023,Segunda División,Spain,Eibar,2,0,Racing Ferrol,Match Finished
2023-09-17T16:30:00+00:00,2023,Segunda División,Spain,Elche,1,0,Leganes,Match Finished
2023-09-16T14:15:00+00:00,2023,Segunda División,Spain,Huesca,2,2,Villarreal II,Match Finished
2023-09-17T19:00:00+00:00,2023,Segunda División,Spain,Sporting Gijon,2,1,Tenerife,Match Finished
2023-09-16T16:30:00+00:00,2023,Segunda División,Spain,Valladolid,1,0,FC Cartagena,Match Finished
2023-09-17T16:30:00+00:00,2023,Segunda División,Spain,Espanyol,3,3,Eldense,Match Finished
2023-09-15T19:30:00+00:00,2023,Segunda División,Spain,Zaragoza,1,1,Racing Santander,Match Finished
2023-09-23T19:00:00+00:00,2023,Segunda División,Spain,Alcorcon,0,2,Huesca,Match Finished
2023-09-23T12:00:00+00:00,2023,Segunda División,Spain,FC Andorra,0,0,Sporting Gijon,Match Finished
2023-09-23T16:30:00+00:00,2023,Segunda División,Spain,Burgos,4,0,Elche,Match Finished
2023-09-22T19:00:00+00:00,2023,Segunda División,Spain,FC Cartagena,1,2,Eibar,Match Finished
2023-09-25T19:00:00+00:00,2023,Segunda División,Spain,Racing Ferrol,1,0,Zaragoza,Match Finished
2023-09-24T14:15:00+00:00,2023,Segunda División,Spain,Oviedo,0,1,Valladolid,Match Finished
2023-09-23T19:00:00+00:00,2023,Segunda División,Spain,Racing Santander,2,1,Albacete,Match Finished
2023-09-24T12:00:00+00:00,2023,Segunda División,Spain,Villarreal II,3,1,Amorebieta,Match Finished
2023-09-23T14:15:00+00:00,2023,Segunda División,Spain,Levante,2,0,Eldense,Match Finished
2023-09-25T19:00:00+00:00,2023,Segunda División,Spain,Tenerife,1,0,Espanyol,Match Finished
2023-09-24T16:30:00+00:00,2023,Segunda División,Spain,Mirandes,1,3,Leganes,Match Finished
2023-09-30T19:00:00+00:00,2023,Segunda División,Spain,Albacete,3,1,FC Andorra,Match Finished
2023-10-01T16:30:00+00:00,2023,Segunda División,Spain,Amorebieta,0,0,FC Cartagena,Match Finished
2023-09-30T14:15:00+00:00,2023,Segunda División,Spain,Eibar,3,0,Tenerife,Match Finished
2023-09-30T16:30:00+00:00,2023,Segunda División,Spain,Elche,0,0,Levante,Match Finished
2023-10-01T12:00:00+00:00,2023,Segunda División,Spain,Eldense,1,3,Oviedo,Match Finished
2023-10-02T19:00:00+00:00,2023,Segunda División,Spain,Espanyol,3,0,Racing Ferrol,Match Finished
2023-10-01T19:00:00+00:00,2023,Segunda División,Spain,Huesca,0,1,Sporting Gijon,Match Finished
2023-09-29T19:00:00+00:00,2023,Segunda División,Spain,Leganes,2,1,Racing Santander,Match Finished
2023-09-30T19:00:00+00:00,2023,Segunda División,Spain,Villarreal II,2,2,Alcorcon,Match Finished
2023-10-01T16:30:00+00:00,2023,Segunda División,Spain,Valladolid,3,0,Burgos,Match Finished
2023-10-01T16:30:00+00:00,2023,Segunda División,Spain,Zaragoza,0,1,Mirandes,Match Finished
2023-10-05T17:00:00+00:00,2023,Segunda División,Spain,FC Andorra,0,1,Zaragoza,Match Finished
2023-10-04T19:30:00+00:00,2023,Segunda División,Spain,Burgos,1,0,Leganes,Match Finished
2023-10-05T19:30:00+00:00,2023,Segunda División,Spain,FC Cartagena,0,2,Espanyol,Match Finished
2023-10-04T17:00:00+00:00,2023,Segunda División,Spain,Eldense,0,1,Valladolid,Match Finished
2023-10-03T17:00:00+00:00,2023,Segunda División,Spain,Levante,1,1,Villarreal II,Match Finished
