date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-13T13:00:00+00:00,2023,Segunda Liga,Portugal,Penafiel,3,0,Leixoes,Match Finished
2023-08-13T10:00:00+00:00,2023,Segunda Liga,Portugal,Academico Viseu,1,1,Vilaverdense,Match Finished
2023-08-12T10:00:00+00:00,2023,Segunda Liga,Portugal,Pacos Ferreira,0,0,União de Leiria,Match Finished
2023-08-12T13:00:00+00:00,2023,Segunda Liga,Portugal,Nacional,1,2,Maritimo,Match Finished
2023-08-15T10:00:00+00:00,2023,Segunda Liga,Portugal,Oliveirense,3,1,Feirense,Match Finished
2023-08-16T17:00:00+00:00,2023,Segunda Liga,Portugal,Santa Clara,2,0,Torreense,Match Finished
2023-08-13T17:00:00+00:00,2023,Segunda Liga,Portugal,Benfica B,3,2,Mafra,Match Finished
2023-08-13T10:00:00+00:00,2023,Segunda Liga,Portugal,FC Porto B,1,1,Tondela,Match Finished
2023-08-12T17:00:00+00:00,2023,Segunda Liga,Portugal,AVS,1,0,CF Os Belenenses,Match Finished
2023-08-20T10:00:00+00:00,2023,Segunda Liga,Portugal,Vilaverdense,1,2,Oliveirense,Match Finished
2023-08-21T17:45:00+00:00,2023,Segunda Liga,Portugal,Torreense,3,0,Nacional,Match Finished
2023-08-19T13:00:00+00:00,2023,Segunda Liga,Portugal,União de Leiria,3,1,Benfica B,Match Finished
2023-08-18T17:00:00+00:00,2023,Segunda Liga,Portugal,Maritimo,0,1,AVS,Match Finished
2023-08-19T14:30:00+00:00,2023,Segunda Liga,Portugal,Tondela,2,2,Academico Viseu,Match Finished
2023-08-20T19:30:00+00:00,2023,Segunda Liga,Portugal,Feirense,2,0,Penafiel,Match Finished
2023-08-21T19:45:00+00:00,2023,Segunda Liga,Portugal,Leixoes,0,0,Santa Clara,Match Finished
2023-08-20T13:00:00+00:00,2023,Segunda Liga,Portugal,CF Os Belenenses,1,1,FC Porto B,Match Finished
2023-08-19T10:00:00+00:00,2023,Segunda Liga,Portugal,Mafra,2,1,Pacos Ferreira,Match Finished
2023-08-26T10:00:00+00:00,2023,Segunda Liga,Portugal,Academico Viseu,2,0,Feirense,Match Finished
2023-08-28T17:00:00+00:00,2023,Segunda Liga,Portugal,Nacional,3,1,Leixoes,Match Finished
2023-08-26T14:30:00+00:00,2023,Segunda Liga,Portugal,CF Os Belenenses,1,1,Mafra,Match Finished
2023-08-27T10:00:00+00:00,2023,Segunda Liga,Portugal,FC Porto B,2,1,União de Leiria,Match Finished
