date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-04-16T19:00:00+00:00,2023,Serie A,Brazil,Flamengo,3,0,Coritiba,Match Finished
2023-04-15T21:30:00+00:00,2023,Serie A,Brazil,Botafogo,2,1,Sao Paulo,Match Finished
2023-04-15T19:00:00+00:00,2023,Serie A,Brazil,Palmeiras,2,1,Cuiaba,Match Finished
2023-04-16T19:00:00+00:00,2023,Serie A,Brazil,Corinthians,2,1,Cruzeiro,Match Finished
2023-04-15T21:30:00+00:00,2023,Serie A,Brazil,RB Bragantino,2,1,Bahia,Match Finished
2023-04-16T00:00:00+00:00,2023,Serie A,Brazil,Atletico-MG,1,2,Vasco DA Gama,Match Finished
2023-04-16T21:30:00+00:00,2023,Serie A,Brazil,Gremio,1,0,Santos,Match Finished
2023-04-15T21:30:00+00:00,2023,Serie A,Brazil,Atletico Paranaense,2,0,Goias,Match Finished
2023-04-15T21:30:00+00:00,2023,Serie A,Brazil,Fortaleza EC,1,1,Internacional,Match Finished
2023-04-15T19:00:00+00:00,2023,Serie A,Brazil,America Mineiro,0,3,Fluminense,Match Finished
2023-04-22T19:00:00+00:00,2023,Serie A,Brazil,Fluminense,2,0,Atletico Paranaense,Match Finished
2023-04-23T19:00:00+00:00,2023,Serie A,Brazil,Vasco DA Gama,2,2,Palmeiras,Match Finished
2023-04-22T21:30:00+00:00,2023,Serie A,Brazil,Sao Paulo,3,0,America Mineiro,Match Finished
2023-04-23T19:00:00+00:00,2023,Serie A,Brazil,Santos,0,0,Atletico-MG,Match Finished
2023-04-23T22:00:00+00:00,2023,Serie A,Brazil,Goias,3,1,Corinthians,Match Finished
2023-04-23T00:00:00+00:00,2023,Serie A,Brazil,Cruzeiro,1,0,Gremio,Match Finished
2023-04-23T14:00:00+00:00,2023,Serie A,Brazil,Internacional,2,1,Flamengo,Match Finished
2023-04-23T21:30:00+00:00,2023,Serie A,Brazil,Coritiba,0,3,Fortaleza EC,Match Finished
2023-04-24T23:00:00+00:00,2023,Serie A,Brazil,Bahia,1,2,Botafogo,Match Finished
2023-04-22T21:30:00+00:00,2023,Serie A,Brazil,Cuiaba,1,1,RB Bragantino,Match Finished
2023-04-30T19:00:00+00:00,2023,Serie A,Brazil,Flamengo,2,3,Botafogo,Match Finished
2023-05-01T23:00:00+00:00,2023,Serie A,Brazil,Vasco DA Gama,0,1,Bahia,Match Finished
2023-04-29T21:30:00+00:00,2023,Serie A,Brazil,Palmeiras,2,1,Corinthians,Match Finished
2023-04-29T21:30:00+00:00,2023,Serie A,Brazil,Santos,3,2,America Mineiro,Match Finished
2023-04-29T21:30:00+00:00,2023,Serie A,Brazil,RB Bragantino,0,3,Cruzeiro,Match Finished
2023-04-30T00:00:00+00:00,2023,Serie A,Brazil,Atletico-MG,2,1,Atletico Paranaense,Match Finished
2023-04-30T21:30:00+00:00,2023,Serie A,Brazil,Internacional,1,0,Goias,Match Finished
2023-04-29T19:30:00+00:00,2023,Serie A,Brazil,Coritiba,1,1,Sao Paulo,Match Finished
2023-04-29T19:30:00+00:00,2023,Serie A,Brazil,Fortaleza EC,4,2,Fluminense,Match Finished
2023-04-30T21:30:00+00:00,2023,Serie A,Brazil,Cuiaba,1,2,Gremio,Match Finished
2023-05-07T00:00:00+00:00,2023,Serie A,Brazil,Fluminense,1,1,Vasco DA Gama,Match Finished
2023-05-07T21:30:00+00:00,2023,Serie A,Brazil,Botafogo,2,0,Atletico-MG,Match Finished
2023-05-07T19:00:00+00:00,2023,Serie A,Brazil,Sao Paulo,2,0,Internacional,Match Finished
2023-05-08T23:00:00+00:00,2023,Serie A,Brazil,Corinthians,1,1,Fortaleza EC,Match Finished
2023-05-07T21:30:00+00:00,2023,Serie A,Brazil,Goias,0,5,Palmeiras,Match Finished
2023-05-06T19:00:00+00:00,2023,Serie A,Brazil,Cruzeiro,2,1,Santos,Match Finished
2023-05-07T21:30:00+00:00,2023,Serie A,Brazil,Gremio,3,3,RB Bragantino,Match Finished
2023-05-07T19:00:00+00:00,2023,Serie A,Brazil,Atletico Paranaense,2,1,Flamengo,Match Finished
2023-05-07T19:00:00+00:00,2023,Serie A,Brazil,Bahia,3,1,Coritiba,Match Finished
2023-05-07T14:00:00+00:00,2023,Serie A,Brazil,America Mineiro,1,2,Cuiaba,Match Finished
2023-05-10T23:00:00+00:00,2023,Serie A,Brazil,Flamengo,2,0,Goias,Match Finished
2023-05-11T22:30:00+00:00,2023,Serie A,Brazil,Botafogo,3,0,Corinthians,Match Finished
2023-05-11T00:30:00+00:00,2023,Serie A,Brazil,Palmeiras,4,1,Gremio,Match Finished
2023-05-10T22:00:00+00:00,2023,Serie A,Brazil,Santos,3,0,Bahia,Match Finished
2023-05-10T22:00:00+00:00,2023,Serie A,Brazil,RB Bragantino,2,2,America Mineiro,Match Finished
2023-05-11T00:30:00+00:00,2023,Serie A,Brazil,Cruzeiro,0,2,Fluminense,Match Finished
2023-05-10T22:00:00+00:00,2023,Serie A,Brazil,Internacional,0,2,Atletico Paranaense,Match Finished
2023-05-11T22:00:00+00:00,2023,Serie A,Brazil,Coritiba,1,1,Vasco DA Gama,Match Finished
2023-05-11T23:00:00+00:00,2023,Serie A,Brazil,Fortaleza EC,0,0,Sao Paulo,Match Finished
2023-05-10T23:00:00+00:00,2023,Serie A,Brazil,Cuiaba,0,4,Atletico-MG,Match Finished
2023-05-13T21:30:00+00:00,2023,Serie A,Brazil,Fluminense,2,0,Cuiaba,Match Finished
2023-05-14T19:00:00+00:00,2023,Serie A,Brazil,Vasco DA Gama,0,1,Santos,Match Finished
2023-05-13T21:30:00+00:00,2023,Serie A,Brazil,Palmeiras,1,1,RB Bragantino,Match Finished
2023-05-14T19:00:00+00:00,2023,Serie A,Brazil,Corinthians,1,1,Sao Paulo,Match Finished
2023-05-14T21:30:00+00:00,2023,Serie A,Brazil,Goias,2,1,Botafogo,Match Finished
2023-05-14T00:00:00+00:00,2023,Serie A,Brazil,Atletico-MG,2,0,Internacional,Match Finished
2023-05-14T19:00:00+00:00,2023,Serie A,Brazil,Gremio,0,0,Fortaleza EC,Match Finished
2023-05-14T21:30:00+00:00,2023,Serie A,Brazil,Atletico Paranaense,3,2,Coritiba,Match Finished
2023-05-13T19:00:00+00:00,2023,Serie A,Brazil,Bahia,2,3,Flamengo,Match Finished
2023-05-14T21:30:00+00:00,2023,Serie A,Brazil,America Mineiro,0,4,Cruzeiro,Match Finished
2023-05-21T19:00:00+00:00,2023,Serie A,Brazil,Flamengo,1,0,Corinthians,Match Finished
2023-05-20T21:30:00+00:00,2023,Serie A,Brazil,Botafogo,1,0,Fluminense,Match Finished
2023-05-20T21:30:00+00:00,2023,Serie A,Brazil,Sao Paulo,4,2,Vasco DA Gama,Match Finished
2023-05-21T00:00:00+00:00,2023,Serie A,Brazil,Santos,0,0,Palmeiras,Match Finished
2023-05-20T21:30:00+00:00,2023,Serie A,Brazil,RB Bragantino,2,0,Atletico Paranaense,Match Finished
2023-05-22T23:00:00+00:00,2023,Serie A,Brazil,Cruzeiro,0,1,Cuiaba,Match Finished
2023-05-21T21:30:00+00:00,2023,Serie A,Brazil,Gremio,3,1,Internacional,Match Finished
