date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2024-04-13T21:30:00+00:00,2024,Serie A,Brazil,Internacional,2,1,Bahia,Match Finished,6,3,5,3,,
2024-04-14T20:00:00+00:00,2024,Serie A,Brazil,Cruzeiro,3,2,Botafogo,Match Finished,6,3,4,3,0,1
2024-04-14T21:30:00+00:00,2024,Serie A,Brazil,Vitoria,0,1,Palmeiras,Match Finished,3,9,3,5,,
2024-04-14T00:00:00+00:00,2024,Serie A,Brazil,Fluminense,2,2,RB Bragantino,Match Finished,13,6,3,4,,
2024-04-14T19:00:00+00:00,2024,Serie A,Brazil,Vasco DA Gama,2,1,Gremio,Match Finished,3,5,4,1,,
2024-04-14T19:00:00+00:00,2024,Serie A,Brazil,Corinthians,0,0,Atletico-MG,Match Finished,3,3,8,6,0,1
2024-04-14T00:00:00+00:00,2024,Serie A,Brazil,Sao Paulo,1,2,Fortaleza EC,Match Finished,11,4,2,3,,
2024-04-14T19:00:00+00:00,2024,Serie A,Brazil,Atletico Paranaense,4,0,Cuiaba,Match Finished,7,0,0,3,,
2024-04-14T19:00:00+00:00,2024,Serie A,Brazil,Atletico Goianiense,1,2,Flamengo,Match Finished,4,4,5,3,2,0
2024-04-13T21:30:00+00:00,2024,Serie A,Brazil,Criciuma,1,1,Juventude,Match Finished,0,4,4,6,,
