date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-21T18:45:00+00:00,2023,Serie A,Italy,Bologna,0,2,AC Milan,Match Finished
2023-08-19T16:30:00+00:00,2023,Serie A,Italy,Empoli,0,1,Verona,Match Finished
2023-08-19T16:30:00+00:00,2023,Serie A,Italy,Frosinone,1,3,Napoli,Match Finished
2023-08-19T18:45:00+00:00,2023,Serie A,Italy,Genoa,1,4,Fiorentina,Match Finished
2023-08-19T18:45:00+00:00,2023,Serie A,Italy,Inter,2,0,Monza,Match Finished
2023-08-20T18:45:00+00:00,2023,Serie A,Italy,Lecce,2,1,Lazio,Match Finished
2023-08-20T16:30:00+00:00,2023,Serie A,Italy,AS Roma,2,2,Salernitana,Match Finished
2023-08-20T16:30:00+00:00,2023,Serie A,Italy,Sassuolo,0,2,Atalanta,Match Finished
2023-08-21T16:30:00+00:00,2023,Serie A,Italy,Torino,0,0,Cagliari,Match Finished
2023-08-20T18:45:00+00:00,2023,Serie A,Italy,Udinese,0,3,Juventus,Match Finished
2023-08-28T18:45:00+00:00,2023,Serie A,Italy,Cagliari,0,2,Inter,Match Finished
2023-08-27T16:30:00+00:00,2023,Serie A,Italy,Fiorentina,2,2,Lecce,Match Finished
2023-08-26T16:30:00+00:00,2023,Serie A,Italy,Frosinone,2,1,Atalanta,Match Finished
2023-08-26T18:45:00+00:00,2023,Serie A,Italy,Verona,2,1,AS Roma,Match Finished
2023-08-27T16:30:00+00:00,2023,Serie A,Italy,Juventus,1,1,Bologna,Match Finished
2023-08-27T18:45:00+00:00,2023,Serie A,Italy,Lazio,0,1,Genoa,Match Finished
2023-08-26T18:45:00+00:00,2023,Serie A,Italy,AC Milan,4,1,Torino,Match Finished
2023-08-26T16:30:00+00:00,2023,Serie A,Italy,Monza,2,0,Empoli,Match Finished
2023-08-27T18:45:00+00:00,2023,Serie A,Italy,Napoli,2,0,Sassuolo,Match Finished
2023-08-28T16:30:00+00:00,2023,Serie A,Italy,Salernitana,1,1,Udinese,Match Finished
2023-09-02T18:45:00+00:00,2023,Serie A,Italy,Atalanta,3,0,Monza,Match Finished
2023-09-02T16:30:00+00:00,2023,Serie A,Italy,Bologna,2,1,Cagliari,Match Finished
2023-09-03T18:45:00+00:00,2023,Serie A,Italy,Empoli,0,2,Juventus,Match Finished
2023-09-03T16:30:00+00:00,2023,Serie A,Italy,Inter,4,0,Fiorentina,Match Finished
2023-09-03T18:45:00+00:00,2023,Serie A,Italy,Lecce,2,0,Salernitana,Match Finished
2023-09-02T18:45:00+00:00,2023,Serie A,Italy,Napoli,1,2,Lazio,Match Finished
2023-09-01T18:45:00+00:00,2023,Serie A,Italy,AS Roma,1,2,AC Milan,Match Finished
2023-09-01T16:30:00+00:00,2023,Serie A,Italy,Sassuolo,3,1,Verona,Match Finished
2023-09-03T16:30:00+00:00,2023,Serie A,Italy,Torino,1,0,Genoa,Match Finished
2023-09-02T16:30:00+00:00,2023,Serie A,Italy,Udinese,0,0,Frosinone,Match Finished
2023-09-17T10:30:00+00:00,2023,Serie A,Italy,Cagliari,0,0,Udinese,Match Finished
2023-09-17T16:00:00+00:00,2023,Serie A,Italy,Fiorentina,3,2,Atalanta,Match Finished
2023-09-17T13:00:00+00:00,2023,Serie A,Italy,Frosinone,4,2,Sassuolo,Match Finished
2023-09-16T18:45:00+00:00,2023,Serie A,Italy,Genoa,2,2,Napoli,Match Finished
2023-09-18T18:45:00+00:00,2023,Serie A,Italy,Verona,0,0,Bologna,Match Finished
2023-09-16T16:00:00+00:00,2023,Serie A,Italy,Inter,5,1,AC Milan,Match Finished
2023-09-16T13:00:00+00:00,2023,Serie A,Italy,Juventus,3,1,Lazio,Match Finished
2023-09-17T13:00:00+00:00,2023,Serie A,Italy,Monza,1,1,Lecce,Match Finished
2023-09-17T18:45:00+00:00,2023,Serie A,Italy,AS Roma,7,0,Empoli,Match Finished
2023-09-18T16:30:00+00:00,2023,Serie A,Italy,Salernitana,0,3,Torino,Match Finished
2023-09-24T13:00:00+00:00,2023,Serie A,Italy,Atalanta,2,0,Cagliari,Match Finished
2023-09-24T16:00:00+00:00,2023,Serie A,Italy,Bologna,0,0,Napoli,Match Finished
2023-09-24T10:30:00+00:00,2023,Serie A,Italy,Empoli,0,1,Inter,Match Finished
2023-09-23T18:45:00+00:00,2023,Serie A,Italy,Lazio,1,1,Monza,Match Finished
2023-09-22T18:45:00+00:00,2023,Serie A,Italy,Lecce,1,0,Genoa,Match Finished
2023-09-23T13:00:00+00:00,2023,Serie A,Italy,AC Milan,1,0,Verona,Match Finished
2023-09-22T16:30:00+00:00,2023,Serie A,Italy,Salernitana,1,1,Frosinone,Match Finished
2023-09-23T16:00:00+00:00,2023,Serie A,Italy,Sassuolo,4,2,Juventus,Match Finished
2023-09-24T18:45:00+00:00,2023,Serie A,Italy,Torino,1,1,AS Roma,Match Finished
2023-09-24T13:00:00+00:00,2023,Serie A,Italy,Udinese,0,2,Fiorentina,Match Finished
2023-09-27T16:30:00+00:00,2023,Serie A,Italy,Cagliari,1,3,AC Milan,Match Finished
2023-09-27T16:30:00+00:00,2023,Serie A,Italy,Empoli,1,0,Salernitana,Match Finished
2023-09-28T16:30:00+00:00,2023,Serie A,Italy,Frosinone,1,1,Fiorentina,Match Finished
2023-09-28T18:45:00+00:00,2023,Serie A,Italy,Genoa,4,1,AS Roma,Match Finished
2023-09-27T16:30:00+00:00,2023,Serie A,Italy,Verona,0,1,Atalanta,Match Finished
2023-09-27T18:45:00+00:00,2023,Serie A,Italy,Inter,1,2,Sassuolo,Match Finished
2023-09-26T18:45:00+00:00,2023,Serie A,Italy,Juventus,1,0,Lecce,Match Finished
2023-09-27T18:45:00+00:00,2023,Serie A,Italy,Lazio,2,0,Torino,Match Finished
2023-09-28T16:30:00+00:00,2023,Serie A,Italy,Monza,0,0,Bologna,Match Finished
2023-09-27T18:45:00+00:00,2023,Serie A,Italy,Napoli,4,1,Udinese,Match Finished
2023-10-01T16:00:00+00:00,2023,Serie A,Italy,Atalanta,0,0,Juventus,Match Finished
2023-10-01T10:30:00+00:00,2023,Serie A,Italy,Bologna,3,0,Empoli,Match Finished
2023-10-02T18:45:00+00:00,2023,Serie A,Italy,Fiorentina,3,0,Cagliari,Match Finished
2023-09-30T13:00:00+00:00,2023,Serie A,Italy,Lecce,0,4,Napoli,Match Finished
2023-09-30T16:00:00+00:00,2023,Serie A,Italy,AC Milan,2,0,Lazio,Match Finished
2023-10-01T18:45:00+00:00,2023,Serie A,Italy,AS Roma,2,0,Frosinone,Match Finished
2023-09-30T18:45:00+00:00,2023,Serie A,Italy,Salernitana,0,4,Inter,Match Finished
2023-10-02T16:30:00+00:00,2023,Serie A,Italy,Sassuolo,0,1,Monza,Match Finished
2023-10-02T16:30:00+00:00,2023,Serie A,Italy,Torino,0,0,Verona,Match Finished
2023-10-01T13:00:00+00:00,2023,Serie A,Italy,Udinese,2,2,Genoa,Match Finished
2023-10-08T16:00:00+00:00,2023,Serie A,Italy,Cagliari,1,4,AS Roma,Match Finished
2023-10-06T16:30:00+00:00,2023,Serie A,Italy,Empoli,0,0,Udinese,Match Finished
2023-10-08T13:00:00+00:00,2023,Serie A,Italy,Frosinone,2,1,Verona,Match Finished
2023-10-07T18:45:00+00:00,2023,Serie A,Italy,Genoa,0,1,AC Milan,Match Finished
2023-10-07T13:00:00+00:00,2023,Serie A,Italy,Inter,2,2,Bologna,Match Finished
2023-10-07T16:00:00+00:00,2023,Serie A,Italy,Juventus,2,0,Torino,Match Finished
2023-10-08T13:00:00+00:00,2023,Serie A,Italy,Lazio,3,2,Atalanta,Match Finished
2023-10-06T18:45:00+00:00,2023,Serie A,Italy,Lecce,1,1,Sassuolo,Match Finished
2023-10-08T10:30:00+00:00,2023,Serie A,Italy,Monza,3,0,Salernitana,Match Finished
2023-10-08T18:45:00+00:00,2023,Serie A,Italy,Napoli,1,3,Fiorentina,Match Finished
2023-10-22T16:00:00+00:00,2023,Serie A,Italy,Atalanta,2,0,Genoa,Match Finished
2023-10-22T13:00:00+00:00,2023,Serie A,Italy,Bologna,2,1,Frosinone,Match Finished
2023-10-23T18:45:00+00:00,2023,Serie A,Italy,Fiorentina,0,2,Empoli,Match Finished
2023-10-21T13:00:00+00:00,2023,Serie A,Italy,Verona,1,3,Napoli,Match Finished
