date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2023-04-14T22:00:00+00:00,2023,Serie B,Brazil,Guarani Campinas,4,1,Avai,Match Finished,4,7,3,1,,
2023-04-15T19:00:00+00:00,2023,Serie B,Brazil,Vila Nova,2,1,Novorizontino,Match Finished,5,6,4,1,0,1
2023-04-16T14:00:00+00:00,2023,Serie B,Brazil,Criciuma,2,0,Tombense,Match Finished,2,10,3,5,,
2023-04-15T00:30:00+00:00,2023,Serie B,Brazil,Ituano,2,0,Ceara,Match Finished,1,7,4,1,,
2023-04-15T20:00:00+00:00,2023,Serie B,Brazil,Mirassol,1,0,Chapecoense-sc,Match Finished,11,3,2,3,,
2023-04-16T21:00:00+00:00,2023,Serie B,Brazil,Vitoria,3,0,Ponte Preta,Match Finished,5,3,4,2,,
2023-04-15T20:00:00+00:00,2023,Serie B,Brazil,Sampaio Correa,3,3,Atletico Goianiense,Match Finished,2,8,3,3,,
2023-04-15T21:15:00+00:00,2023,Serie B,Brazil,Juventude,1,2,Botafogo SP,Match Finished,11,7,1,4,,
2023-04-16T18:30:00+00:00,2023,Serie B,Brazil,Londrina,1,0,ABC,Match Finished,10,3,0,1,,
2023-07-05T22:00:00+00:00,2023,Serie B,Brazil,CRB,2,0,Sport Recife,Match Finished,3,7,1,0,,
