date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-16T15:30:00+00:00,2023,Stars League,Qatar,Al Wakrah,3,0,Muaither SC,Match Finished
2023-08-16T17:30:00+00:00,2023,Stars League,Qatar,Al-Arabi SC,1,1,Al Shamal,Match Finished
2023-08-17T15:30:00+00:00,2023,Stars League,Qatar,Qatar SC,4,4,Al-Gharafa,Match Finished
2023-08-18T15:30:00+00:00,2023,Stars League,Qatar,Al Ahli Doha,1,2,Al-Duhail SC,Match Finished
2023-08-18T17:30:00+00:00,2023,Stars League,Qatar,UMM Salal,1,3,Al Sadd,Match Finished
2023-08-25T15:30:00+00:00,2023,Stars League,Qatar,Al-Duhail SC,4,1,Muaither SC,Match Finished
2023-08-26T15:30:00+00:00,2023,Stars League,Qatar,Al-Gharafa,2,0,Al-Markhiya,Match Finished
2023-08-26T17:30:00+00:00,2023,Stars League,Qatar,Al Sadd,4,2,Al Ahli Doha,Match Finished
2023-08-27T15:30:00+00:00,2023,Stars League,Qatar,Al-Arabi SC,1,1,UMM Salal,Match Finished
2023-08-27T17:30:00+00:00,2023,Stars League,Qatar,Al Wakrah,2,2,Al Shamal,Match Finished
2023-09-01T15:15:00+00:00,2023,Stars League,Qatar,Al Ahli Doha,1,4,Al-Gharafa,Match Finished
2023-09-01T17:15:00+00:00,2023,Stars League,Qatar,UMM Salal,2,2,Qatar SC,Match Finished
2023-09-01T17:15:00+00:00,2023,Stars League,Qatar,Muaither SC,5,2,Al-Markhiya,Match Finished
2023-09-02T15:15:00+00:00,2023,Stars League,Qatar,Al-Arabi SC,3,3,Al-Duhail SC,Match Finished
2023-09-02T17:15:00+00:00,2023,Stars League,Qatar,Al Sadd,0,0,Al Wakrah,Match Finished
2023-09-24T17:00:00+00:00,2023,Stars League,Qatar,Muaither SC,2,2,Al Shamal,Match Finished
2023-09-23T17:00:00+00:00,2023,Stars League,Qatar,UMM Salal,3,1,Al Ahli Doha,Match Finished
2023-09-24T17:00:00+00:00,2023,Stars League,Qatar,Al-Markhiya,0,3,Al Wakrah,Match Finished
2023-09-24T15:00:00+00:00,2023,Stars League,Qatar,Al-Gharafa,3,2,Al-Duhail SC,Match Finished
2023-09-23T17:00:00+00:00,2023,Stars League,Qatar,Qatar SC,1,3,Al Sadd,Match Finished
2023-09-28T17:00:00+00:00,2023,Stars League,Qatar,Al-Markhiya,1,2,Al-Duhail SC,Match Finished
2023-09-28T15:00:00+00:00,2023,Stars League,Qatar,Al Sadd,4,0,Al-Gharafa,Match Finished
2023-09-28T17:00:00+00:00,2023,Stars League,Qatar,Al-Arabi SC,1,0,Qatar SC,Match Finished
2023-09-29T15:00:00+00:00,2023,Stars League,Qatar,Al Shamal,1,3,UMM Salal,Match Finished
2023-09-29T17:00:00+00:00,2023,Stars League,Qatar,Al Ahli Doha,4,2,Muaither SC,Match Finished
2023-10-20T14:30:00+00:00,2023,Stars League,Qatar,Al-Markhiya,2,1,Al Shamal,Match Finished
2023-10-20T16:30:00+00:00,2023,Stars League,Qatar,Al-Gharafa,5,2,Muaither SC,Match Finished
2023-10-21T14:30:00+00:00,2023,Stars League,Qatar,Al Ahli Doha,2,4,Qatar SC,Match Finished
2023-12-17T14:30:00+00:00,2023,Stars League,Qatar,Al-Duhail SC,2,3,Al Wakrah,Match Finished
2023-12-17T16:30:00+00:00,2023,Stars League,Qatar,Al Sadd,0,1,Al-Arabi SC,Match Finished
2023-10-29T16:30:00+00:00,2023,Stars League,Qatar,Qatar SC,4,0,Al-Markhiya,Match Finished
2023-10-28T14:30:00+00:00,2023,Stars League,Qatar,Al-Rayyan SC,3,4,Al-Gharafa,Match Finished
2023-10-28T16:30:00+00:00,2023,Stars League,Qatar,Muaither SC,0,2,Al Sadd,Match Finished
2023-10-28T16:30:00+00:00,2023,Stars League,Qatar,Al Shamal,1,2,Al-Duhail SC,Match Finished
2023-10-29T14:30:00+00:00,2023,Stars League,Qatar,Al-Arabi SC,2,3,Al Ahli Doha,Match Finished
2023-10-29T16:30:00+00:00,2023,Stars League,Qatar,Al Wakrah,2,1,UMM Salal,Match Finished
2023-11-02T16:30:00+00:00,2023,Stars League,Qatar,Al-Duhail SC,3,2,Al-Rayyan SC,Match Finished
2023-11-02T14:30:00+00:00,2023,Stars League,Qatar,Al Sadd,5,0,Al-Markhiya,Match Finished
2023-11-03T16:30:00+00:00,2023,Stars League,Qatar,Al-Gharafa,5,4,Al-Arabi SC,Match Finished
2023-11-03T14:30:00+00:00,2023,Stars League,Qatar,Al Wakrah,1,0,Qatar SC,Match Finished
2023-11-03T14:30:00+00:00,2023,Stars League,Qatar,Al Ahli Doha,1,2,Al Shamal,Match Finished
2023-11-02T14:30:00+00:00,2023,Stars League,Qatar,Muaither SC,1,3,UMM Salal,Match Finished
2023-11-24T14:30:00+00:00,2023,Stars League,Qatar,Qatar SC,0,2,Al Shamal,Match Finished
2023-11-24T16:30:00+00:00,2023,Stars League,Qatar,Al-Markhiya,0,2,Al Ahli Doha,Match Finished
2023-11-25T14:30:00+00:00,2023,Stars League,Qatar,UMM Salal,1,2,Al-Gharafa,Match Finished
