date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2024-03-01T11:35:00+00:00,2024,Super League,China,Qingdao Youth Island,1,1,Henan Jianye,Match Finished,3,4,3,2,0,1
2024-03-01T12:00:00+00:00,2024,Super League,China,SHANGHAI SIPG,3,1,Wuhan Three Towns,Match Finished,9,2,1,1,,
2024-03-02T07:30:00+00:00,2024,Super League,China,Tianjin Teda,1,1,Nantong Zhiyun,Match Finished,3,6,0,4,,
2024-03-02T07:30:00+00:00,2024,Super League,China,Shijiazhuang Y. J.,0,2,Beijing Guoan,Match Finished,5,3,2,0,,
2024-03-02T11:35:00+00:00,2024,Super League,China,Chengdu Better City,2,0,Qingdao Jonoon,Match Finished,12,2,2,1,,
2024-03-01T10:00:00+00:00,2024,Super League,China,Shandong Luneng,4,2,Changchun Yatai,Match Finished,13,2,5,3,,
2024-03-03T11:35:00+00:00,2024,Super League,China,Hangzhou Greentown,1,0,Sichuan Jiuniu,Match Finished,3,8,4,1,1,0
2024-03-03T12:00:00+00:00,2024,Super League,China,Meizhou Kejia,0,2,Shanghai Shenhua,Match Finished,3,15,1,2,,
2024-03-08T11:35:00+00:00,2024,Super League,China,Qingdao Jonoon,0,1,Changchun Yatai,Match Finished,3,1,3,1,,
2024-03-08T12:00:00+00:00,2024,Super League,China,Shanghai Shenhua,2,0,Qingdao Youth Island,Match Finished,4,3,1,2,,
