date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-07-22T16:00:00+00:00,2023,Super League,Switzerland,Grasshoppers,1,3,Servette FC,Match Finished
2023-07-22T16:00:00+00:00,2023,Super League,Switzerland,FC ST. Gallen,2,1,FC Basel 1893,Match Finished
2023-07-22T18:30:00+00:00,2023,Super League,Switzerland,FC Winterthur,0,0,FC Luzern,Match Finished
2023-07-23T14:30:00+00:00,2023,Super League,Switzerland,BSC Young Boys,2,1,Lausanne,Match Finished
2023-07-23T14:30:00+00:00,2023,Super League,Switzerland,FC Zurich,2,0,Yverdon Sport,Match Finished
2023-07-26T18:30:00+00:00,2023,Super League,Switzerland,Stade Lausanne-Ouchy,0,3,FC Lugano,Match Finished
2023-07-29T16:00:00+00:00,2023,Super League,Switzerland,Lausanne,1,1,Grasshoppers,Match Finished
2023-07-29T16:00:00+00:00,2023,Super League,Switzerland,FC Lugano,1,0,FC ST. Gallen,Match Finished
2023-07-29T18:30:00+00:00,2023,Super League,Switzerland,Servette FC,2,2,FC Zurich,Match Finished
2023-07-30T12:15:00+00:00,2023,Super League,Switzerland,FC Luzern,2,1,Stade Lausanne-Ouchy,Match Finished
2023-07-30T14:30:00+00:00,2023,Super League,Switzerland,FC Basel 1893,5,2,FC Winterthur,Match Finished
2023-07-30T14:30:00+00:00,2023,Super League,Switzerland,Yverdon Sport,2,2,BSC Young Boys,Match Finished
2023-08-05T16:00:00+00:00,2023,Super League,Switzerland,Stade Lausanne-Ouchy,1,1,Servette FC,Match Finished
2023-08-05T16:00:00+00:00,2023,Super League,Switzerland,BSC Young Boys,5,2,FC Winterthur,Match Finished
2023-08-05T18:30:00+00:00,2023,Super League,Switzerland,FC Zurich,3,0,FC Lugano,Match Finished
2023-08-06T12:15:00+00:00,2023,Super League,Switzerland,Lausanne,1,2,Yverdon Sport,Match Finished
2023-08-06T14:30:00+00:00,2023,Super League,Switzerland,Grasshoppers,3,1,FC Basel 1893,Match Finished
2023-08-06T14:30:00+00:00,2023,Super League,Switzerland,FC ST. Gallen,2,1,FC Luzern,Match Finished
2023-08-12T16:00:00+00:00,2023,Super League,Switzerland,Stade Lausanne-Ouchy,0,3,FC Zurich,Match Finished
2023-08-12T16:00:00+00:00,2023,Super League,Switzerland,FC Winterthur,3,1,Grasshoppers,Match Finished
2023-08-12T18:30:00+00:00,2023,Super League,Switzerland,Servette FC,1,1,FC ST. Gallen,Match Finished
2023-08-13T12:15:00+00:00,2023,Super League,Switzerland,FC Basel 1893,1,2,Lausanne,Match Finished
2023-08-13T14:30:00+00:00,2023,Super League,Switzerland,FC Lugano,6,1,Yverdon Sport,Match Finished
2023-08-13T14:30:00+00:00,2023,Super League,Switzerland,FC Luzern,1,1,BSC Young Boys,Match Finished
2023-08-26T16:00:00+00:00,2023,Super League,Switzerland,Yverdon Sport,4,1,Servette FC,Match Finished
2023-08-26T16:00:00+00:00,2023,Super League,Switzerland,FC Zurich,1,1,FC ST. Gallen,Match Finished
