date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2024-03-30T12:00:00+00:00,2024,Superettan,Sweden,GIF Sundsvall,1,0,Ostersunds FK,Match Finished,,,,,,
2024-03-30T14:00:00+00:00,2024,Superettan,Sweden,Orgryte IS,1,2,Utsikten,Match Finished,,,,,,
2024-03-31T13:00:00+00:00,2024,Superettan,Sweden,Landskrona BoIS,4,0,Sandviken,Match Finished,2,4,2,1,0,0
2024-03-31T13:00:00+00:00,2024,Superettan,Sweden,trelleborgs FF,1,2,Oddevold,Match Finished,,,,,,
2024-04-01T11:00:00+00:00,2024,Superettan,Sweden,Orebro SK,0,1,Skövde AIK,Match Finished,,,,,,
2024-04-01T11:00:00+00:00,2024,Superettan,Sweden,gefle IF,2,3,Helsingborg,Match Finished,,,,,,
2024-04-01T13:00:00+00:00,2024,Superettan,Sweden,IK brage,1,0,Varbergs BoIS FC,Match Finished,,,,,,
2024-04-02T17:00:00+00:00,2024,Superettan,Sweden,Osters IF,1,1,Degerfors IF,Match Finished,,,,,,
2024-04-06T11:00:00+00:00,2024,Superettan,Sweden,Ostersunds FK,1,0,trelleborgs FF,Match Finished,,,,,,
2024-04-06T13:00:00+00:00,2024,Superettan,Sweden,Sandviken,2,1,Orebro SK,Match Finished,,,,,,
