date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-07-21T17:00:00+00:00,2023,Superliga,Denmark,FC Midtjylland,1,0,Hvidovre,Match Finished
2023-07-22T14:00:00+00:00,2023,Superliga,Denmark,Lyngby,1,2,FC Copenhagen,Match Finished
2023-07-23T12:00:00+00:00,2023,Superliga,Denmark,Aarhus,1,0,Vejle,Match Finished
2023-07-23T14:00:00+00:00,2023,Superliga,Denmark,Odense,2,2,Randers FC,Match Finished
2023-07-23T16:00:00+00:00,2023,Superliga,Denmark,Silkeborg,1,2,Brondby,Match Finished
2023-07-24T17:00:00+00:00,2023,Superliga,Denmark,FC Nordsjaelland,4,1,Viborg,Match Finished
2023-07-28T17:00:00+00:00,2023,Superliga,Denmark,Viborg,2,2,Lyngby,Match Finished
2023-07-29T14:00:00+00:00,2023,Superliga,Denmark,Vejle,2,3,FC Copenhagen,Match Finished
2023-07-30T12:00:00+00:00,2023,Superliga,Denmark,FC Midtjylland,2,0,Silkeborg,Match Finished
2023-07-30T14:00:00+00:00,2023,Superliga,Denmark,Randers FC,2,2,Hvidovre,Match Finished
2023-07-30T16:00:00+00:00,2023,Superliga,Denmark,Brondby,1,2,Odense,Match Finished
2023-07-31T17:00:00+00:00,2023,Superliga,Denmark,Aarhus,1,3,FC Nordsjaelland,Match Finished
2023-08-05T14:00:00+00:00,2023,Superliga,Denmark,FC Copenhagen,4,0,Randers FC,Match Finished
2023-08-04T17:00:00+00:00,2023,Superliga,Denmark,Silkeborg,2,1,Vejle,Match Finished
2023-08-06T12:00:00+00:00,2023,Superliga,Denmark,Hvidovre,0,2,Aarhus,Match Finished
2023-08-06T14:00:00+00:00,2023,Superliga,Denmark,Lyngby,4,1,FC Midtjylland,Match Finished
2023-08-06T16:00:00+00:00,2023,Superliga,Denmark,FC Nordsjaelland,3,1,Brondby,Match Finished
2023-08-07T17:00:00+00:00,2023,Superliga,Denmark,Odense,1,2,Viborg,Match Finished
2023-08-13T12:00:00+00:00,2023,Superliga,Denmark,Randers FC,0,5,FC Nordsjaelland,Match Finished
2023-08-13T12:00:00+00:00,2023,Superliga,Denmark,Vejle,1,2,FC Midtjylland,Match Finished
2023-08-11T17:00:00+00:00,2023,Superliga,Denmark,FC Copenhagen,2,1,Odense,Match Finished
