date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-12T18:45:00+00:00,2023,Süper Lig,Turkey,Kayserispor,0,0,Galatasaray,Match Finished
2023-08-12T18:45:00+00:00,2023,Süper Lig,Turkey,Pendikspor,1,5,Hatayspor,Match Finished
2023-08-12T16:15:00+00:00,2023,Süper Lig,Turkey,Kasimpasa,3,2,Ankaragucu,Match Finished
2023-08-14T18:00:00+00:00,2023,Süper Lig,Turkey,Alanyaspor,2,0,Istanbul Basaksehir,Match Finished
2023-08-13T18:45:00+00:00,2023,Süper Lig,Turkey,Adana Demirspor,2,1,Rizespor,Match Finished
2023-08-14T18:00:00+00:00,2023,Süper Lig,Turkey,Fatih Karagümrük,0,1,Besiktas,Match Finished
2023-08-11T18:00:00+00:00,2023,Süper Lig,Turkey,Trabzonspor,1,0,Antalyaspor,Match Finished
2023-08-13T18:45:00+00:00,2023,Süper Lig,Turkey,Fenerbahce,2,1,Gazişehir Gaziantep,Match Finished
2023-08-13T16:15:00+00:00,2023,Süper Lig,Turkey,Sivasspor,1,1,Samsunspor,Match Finished
2023-08-12T16:15:00+00:00,2023,Süper Lig,Turkey,Konyaspor,1,1,İstanbulspor,Match Finished
2023-08-19T18:45:00+00:00,2023,Süper Lig,Turkey,Hatayspor,0,0,Kasimpasa,Match Finished
2023-08-18T18:00:00+00:00,2023,Süper Lig,Turkey,İstanbulspor,1,1,Kayserispor,Match Finished
2023-08-19T18:45:00+00:00,2023,Süper Lig,Turkey,Galatasaray,2,0,Trabzonspor,Match Finished
2023-08-21T18:00:00+00:00,2023,Süper Lig,Turkey,Samsunspor,0,2,Fenerbahce,Match Finished
2023-08-20T18:45:00+00:00,2023,Süper Lig,Turkey,Gazişehir Gaziantep,1,3,Sivasspor,Match Finished
2023-08-20T16:15:00+00:00,2023,Süper Lig,Turkey,Istanbul Basaksehir,0,2,Fatih Karagümrük,Match Finished
2023-08-18T18:00:00+00:00,2023,Süper Lig,Turkey,Antalyaspor,1,1,Konyaspor,Match Finished
2023-08-20T18:45:00+00:00,2023,Süper Lig,Turkey,Besiktas,1,1,Pendikspor,Match Finished
2023-08-21T18:00:00+00:00,2023,Süper Lig,Turkey,Ankaragucu,1,1,Adana Demirspor,Match Finished
2023-08-19T16:15:00+00:00,2023,Süper Lig,Turkey,Rizespor,0,0,Alanyaspor,Match Finished
2023-08-27T16:15:00+00:00,2023,Süper Lig,Turkey,Kayserispor,2,1,Samsunspor,Match Finished
2023-09-26T17:00:00+00:00,2023,Süper Lig,Turkey,İstanbulspor,0,1,Galatasaray,Match Finished
2023-08-26T16:15:00+00:00,2023,Süper Lig,Turkey,Kasimpasa,1,1,Pendikspor,Match Finished
2023-08-27T18:45:00+00:00,2023,Süper Lig,Turkey,Alanyaspor,0,0,Hatayspor,Match Finished
2023-09-27T17:00:00+00:00,2023,Süper Lig,Turkey,Adana Demirspor,4,2,Besiktas,Match Finished
2023-08-27T16:15:00+00:00,2023,Süper Lig,Turkey,Fatih Karagümrük,1,1,Ankaragucu,Match Finished
2023-08-26T16:15:00+00:00,2023,Süper Lig,Turkey,Trabzonspor,2,3,Rizespor,Match Finished
2023-09-28T17:00:00+00:00,2023,Süper Lig,Turkey,Fenerbahce,4,0,Istanbul Basaksehir,Match Finished
2023-08-26T18:45:00+00:00,2023,Süper Lig,Turkey,Sivasspor,1,1,Antalyaspor,Match Finished
2023-08-25T18:00:00+00:00,2023,Süper Lig,Turkey,Konyaspor,2,0,Gazişehir Gaziantep,Match Finished
2023-09-03T18:45:00+00:00,2023,Süper Lig,Turkey,Hatayspor,3,3,Adana Demirspor,Match Finished
2023-09-02T16:15:00+00:00,2023,Süper Lig,Turkey,Pendikspor,1,1,Alanyaspor,Match Finished
2023-09-01T18:00:00+00:00,2023,Süper Lig,Turkey,Kasimpasa,1,5,Trabzonspor,Match Finished
2023-11-08T16:15:00+00:00,2023,Süper Lig,Turkey,Samsunspor,2,1,İstanbulspor,Match Finished
2023-09-02T18:45:00+00:00,2023,Süper Lig,Turkey,Gazişehir Gaziantep,0,3,Galatasaray,Match Finished
2023-09-02T16:15:00+00:00,2023,Süper Lig,Turkey,Istanbul Basaksehir,0,1,Konyaspor,Match Finished
2023-09-02T18:45:00+00:00,2023,Süper Lig,Turkey,Antalyaspor,1,1,Kayserispor,Match Finished
2023-09-03T16:15:00+00:00,2023,Süper Lig,Turkey,Besiktas,2,0,Sivasspor,Match Finished
2023-09-03T18:45:00+00:00,2023,Süper Lig,Turkey,Ankaragucu,0,1,Fenerbahce,Match Finished
2023-09-01T18:00:00+00:00,2023,Süper Lig,Turkey,Rizespor,1,0,Fatih Karagümrük,Match Finished
2023-09-16T14:00:00+00:00,2023,Süper Lig,Turkey,Kayserispor,2,0,Gazişehir Gaziantep,Match Finished
2023-09-17T14:00:00+00:00,2023,Süper Lig,Turkey,İstanbulspor,0,2,Istanbul Basaksehir,Match Finished
2023-09-16T17:00:00+00:00,2023,Süper Lig,Turkey,Galatasaray,4,2,Samsunspor,Match Finished
2023-09-17T17:00:00+00:00,2023,Süper Lig,Turkey,Alanyaspor,3,3,Kasimpasa,Match Finished
2023-09-16T17:00:00+00:00,2023,Süper Lig,Turkey,Adana Demirspor,3,0,Pendikspor,Match Finished
2023-09-18T17:00:00+00:00,2023,Süper Lig,Turkey,Fatih Karagümrük,0,0,Hatayspor,Match Finished
2023-09-17T17:00:00+00:00,2023,Süper Lig,Turkey,Trabzonspor,3,0,Besiktas,Match Finished
2023-09-17T14:00:00+00:00,2023,Süper Lig,Turkey,Fenerbahce,3,2,Antalyaspor,Match Finished
2023-09-18T17:00:00+00:00,2023,Süper Lig,Turkey,Sivasspor,1,3,Ankaragucu,Match Finished
2023-09-16T14:00:00+00:00,2023,Süper Lig,Turkey,Konyaspor,1,2,Rizespor,Match Finished
2023-09-25T17:00:00+00:00,2023,Süper Lig,Turkey,Hatayspor,3,2,Trabzonspor,Match Finished
2023-09-23T14:00:00+00:00,2023,Süper Lig,Turkey,Pendikspor,1,1,Fatih Karagümrük,Match Finished
2023-09-24T17:00:00+00:00,2023,Süper Lig,Turkey,Kasimpasa,2,1,Adana Demirspor,Match Finished
2023-09-24T17:00:00+00:00,2023,Süper Lig,Turkey,Alanyaspor,0,1,Fenerbahce,Match Finished
2023-09-22T17:00:00+00:00,2023,Süper Lig,Turkey,Gazişehir Gaziantep,2,0,İstanbulspor,Match Finished
2023-09-23T17:00:00+00:00,2023,Süper Lig,Turkey,Istanbul Basaksehir,1,2,Galatasaray,Match Finished
2023-09-23T17:00:00+00:00,2023,Süper Lig,Turkey,Antalyaspor,2,0,Samsunspor,Match Finished
2023-09-24T14:00:00+00:00,2023,Süper Lig,Turkey,Besiktas,2,1,Kayserispor,Match Finished
2023-09-24T14:00:00+00:00,2023,Süper Lig,Turkey,Ankaragucu,1,1,Konyaspor,Match Finished
2023-09-23T14:00:00+00:00,2023,Süper Lig,Turkey,Rizespor,1,1,Sivasspor,Match Finished
2023-10-02T17:00:00+00:00,2023,Süper Lig,Turkey,Kayserispor,0,0,Istanbul Basaksehir,Match Finished
2023-09-30T13:00:00+00:00,2023,Süper Lig,Turkey,İstanbulspor,1,2,Antalyaspor,Match Finished
2023-09-30T16:00:00+00:00,2023,Süper Lig,Turkey,Galatasaray,2,1,Ankaragucu,Match Finished
2023-09-29T17:00:00+00:00,2023,Süper Lig,Turkey,Samsunspor,1,2,Gazişehir Gaziantep,Match Finished
2023-10-01T16:00:00+00:00,2023,Süper Lig,Turkey,Adana Demirspor,4,0,Alanyaspor,Match Finished
2023-10-01T10:30:00+00:00,2023,Süper Lig,Turkey,Fatih Karagümrük,2,3,Kasimpasa,Match Finished
2023-09-30T13:00:00+00:00,2023,Süper Lig,Turkey,Trabzonspor,2,1,Pendikspor,Match Finished
2023-10-01T13:00:00+00:00,2023,Süper Lig,Turkey,Fenerbahce,5,0,Rizespor,Match Finished
2023-09-30T10:30:00+00:00,2023,Süper Lig,Turkey,Sivasspor,0,0,Hatayspor,Match Finished
