date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-09-23T16:00:00+00:00,2023,Taça de Portugal,Portugal,Trofense,0,1,Pevidem,Match Finished
2023-09-24T10:00:00+00:00,2023,Taça de Portugal,Portugal,Vilar de Perdizes,5,1,Vasco da Gama Vidigueira,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,Sertanense,0,2,Amarante,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,Atlético Arcos,2,2,Atlético Malveira,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,Pedrógão São Pedro,0,12,União de Leiria,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,Recreativa de Lamelas,1,3,Tirsense,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,FC Barreirense,0,3,Mirandela,Match Finished
2023-09-23T14:00:00+00:00,2023,Taça de Portugal,Portugal,Ponte,0,5,Vilaverdense,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,Brito,0,2,Feirense,Match Finished
2023-09-23T13:00:00+00:00,2023,Taça de Portugal,Portugal,São João Ver,0,1,Leixoes,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,Gafetense,0,5,Mafra,Match Finished
2023-09-23T14:00:00+00:00,2023,Taça de Portugal,Portugal,O Elvas,1,0,Lanheses,Match Finished
2023-09-24T11:00:00+00:00,2023,Taça de Portugal,Portugal,Rabo Peixe,3,2,CF Oliveira Douro,Match Finished
2023-09-24T10:00:00+00:00,2023,Taça de Portugal,Portugal,Oriental Lisboa,0,1,Torreense,Match Finished
2023-09-27T10:00:00+00:00,2023,Taça de Portugal,Portugal,Luzense,0,3,Camacha,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,1º Dezembro,1,0,Pacos Ferreira,Match Finished
2023-09-24T11:00:00+00:00,2023,Taça de Portugal,Portugal,Lusitânia,1,0,Os Marialvas,Match Finished
2023-09-11T18:00:00+00:00,2023,Taça de Portugal,Portugal,Sintrense,2,0,Operário,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Amora,8,0,Vitória do Pico,Match Finished
2023-09-09T14:00:00+00:00,2023,Taça de Portugal,Portugal,Peniche,1,1,Marinhense,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Amiense,0,7,Benfica Castelo Branco,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,União Santarém,6,0,Proença-a-Nova,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Alverca,13,0,Gavionenses,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Alqueidão da Serra,3,2,CD Torres Novas,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Real,1,2,CD Olivais e Moscavide,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Juventude Évora,3,0,Portel,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Atlético Reguengos,0,2,Quarteirense SAD,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Louletano,1,0,Imortal Albufeira,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Lusitano Évora 1911,2,0,Comércio Indústria,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Padernense,1,2,FC Serpa,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Castrense,1,0,Penedo Gordo,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Pêro Pinheiro,1,1,Caldas,Match Finished
2023-09-10T15:30:00+00:00,2023,Taça de Portugal,Portugal,Anadia,2,2,Sanjoanense,Match Finished
2023-09-10T13:00:00+00:00,2023,Taça de Portugal,Portugal,Fafe,1,2,Felgueiras 1932,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Rebordosa,2,1,Lobão,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Salgueiros,2,0,Foz,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Aliados Lordelo,1,3,Vianense,Match Finished
2023-09-08T16:00:00+00:00,2023,Taça de Portugal,Portugal,Os Limianos,2,2,Varzim,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Mondinense,0,2,Montalegre,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Rebordelo,1,3,Sandinenses,Match Finished
2023-09-09T10:00:00+00:00,2023,Taça de Portugal,Portugal,União Lamas,2,2,Paredes,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Lusitânia Lourosa,10,0,Régua,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Lusitano FCV,0,2,Tocha,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Florgrade,3,1,Beira-Mar,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Os Vilanovenses,0,2,Pombal,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,AD Fornos Algodres,0,5,Oliveira Hospital,Match Finished
2023-09-09T16:30:00+00:00,2023,Taça de Portugal,Portugal,Academica,3,0,União de Coimbra,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Portosantense,0,0,Gondomar,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Valadares Gaia,4,0,Torre de Moncorvo,Match Finished
2023-09-10T14:00:00+00:00,2023,Taça de Portugal,Portugal,Vila Real,0,2,Ribeirão,Match Finished
2023-09-09T14:30:00+00:00,2023,Taça de Portugal,Portugal,Flamengos,0,2,Fontinhas,Match Finished
2023-09-10T11:00:00+00:00,2023,Taça de Portugal,Portugal,Guadalupe,0,1,Fabril Barreiro,Match Finished
2023-09-10T15:00:00+00:00,2023,Taça de Portugal,Portugal,União Micaelense,1,0,Alcochetense,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,Canelas 2010,5,0,Fontinhas,Match Finished
2023-09-24T13:00:00+00:00,2023,Taça de Portugal,Portugal,Moncarapachense,6,2,União Micaelense,Match Finished
2023-09-24T13:00:00+00:00,2023,Taça de Portugal,Portugal,Lusitânia Lourosa,1,2,Academico Viseu,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,Benfica Castelo Branco,1,1,Oliveirense,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,Lusitano Évora 1911,0,0,SC Covilha,Match Finished
2023-09-23T10:00:00+00:00,2023,Taça de Portugal,Portugal,Fabril Barreiro,1,3,Maritimo,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,Vitória de Sernache,0,3,Vianense,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,Pombal,0,5,Tondela,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,Mortágua,2,1,Amora,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,Peniche,2,2,Montalegre,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,Valadares Gaia,1,1,Penafiel,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,Quarteirense SAD,0,1,CF Os Belenenses,Match Finished
2023-09-24T19:00:00+00:00,2023,Taça de Portugal,Portugal,Felgueiras 1932,4,0,Os Limianos,Match Finished
2023-09-24T14:00:00+00:00,2023,Taça de Portugal,Portugal,Sanjoanense,0,1,Vitoria Setubal,Match Finished
