date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-03-12T20:00:00+00:00,2023,Torneo Federal A,Argentina,Germinal de Rawson,1,1,Olimpo Bahia Blanca,Match Finished
2023-03-12T21:00:00+00:00,2023,Torneo Federal A,Argentina,Cipolletti,1,0,Circulo Deportivo,Match Finished
2023-03-11T23:00:00+00:00,2023,Torneo Federal A,Argentina,Santamarina,1,1,Sansinena,Match Finished
2023-03-11T21:00:00+00:00,2023,Torneo Federal A,Argentina,Villa Mitre,0,0,Liniers Bahía Blanca,Match Finished
2023-03-18T23:00:00+00:00,2023,Torneo Federal A,Argentina,Liniers Bahía Blanca,2,1,Santamarina,Match Finished
2023-03-18T20:00:00+00:00,2023,Torneo Federal A,Argentina,Sansinena,2,1,Cipolletti,Match Finished
2023-03-18T19:00:00+00:00,2023,Torneo Federal A,Argentina,Circulo Deportivo,0,1,Germinal de Rawson,Match Finished
2023-03-19T19:30:00+00:00,2023,Torneo Federal A,Argentina,Olimpo Bahia Blanca,5,0,Sol de Mayo,Match Finished
2023-03-26T19:00:00+00:00,2023,Torneo Federal A,Argentina,Sol de Mayo,1,1,Circulo Deportivo,Match Finished
2023-03-26T20:00:00+00:00,2023,Torneo Federal A,Argentina,Germinal de Rawson,1,1,Sansinena,Match Finished
2023-03-26T20:00:00+00:00,2023,Torneo Federal A,Argentina,Cipolletti,1,0,Liniers Bahía Blanca,Match Finished
2023-03-26T22:00:00+00:00,2023,Torneo Federal A,Argentina,Santamarina,0,0,Villa Mitre,Match Finished
2023-04-01T19:30:00+00:00,2023,Torneo Federal A,Argentina,Villa Mitre,2,0,Cipolletti,Match Finished
2023-04-01T23:00:00+00:00,2023,Torneo Federal A,Argentina,Liniers Bahía Blanca,2,1,Germinal de Rawson,Match Finished
2023-04-01T19:00:00+00:00,2023,Torneo Federal A,Argentina,Sansinena,2,1,Sol de Mayo,Match Finished
2023-04-01T19:00:00+00:00,2023,Torneo Federal A,Argentina,Circulo Deportivo,0,2,Olimpo Bahia Blanca,Match Finished
2023-04-08T19:00:00+00:00,2023,Torneo Federal A,Argentina,Sansinena,0,2,Olimpo Bahia Blanca,Match Finished
2023-04-09T18:30:00+00:00,2023,Torneo Federal A,Argentina,Sol de Mayo,0,1,Liniers Bahía Blanca,Match Finished
2023-04-09T19:00:00+00:00,2023,Torneo Federal A,Argentina,Germinal de Rawson,1,0,Villa Mitre,Match Finished
2023-04-09T19:00:00+00:00,2023,Torneo Federal A,Argentina,Cipolletti,1,3,Santamarina,Match Finished
2023-04-15T23:00:00+00:00,2023,Torneo Federal A,Argentina,Santamarina,1,1,Germinal de Rawson,Match Finished
2023-04-16T19:00:00+00:00,2023,Torneo Federal A,Argentina,Villa Mitre,1,0,Sol de Mayo,Match Finished
