date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2023-04-05T15:15:00+00:00,2023,Veikkausliiga,Finland,HJK helsinki,2,0,Honka,Match Finished,7,8,2,1,0,0
2023-04-05T15:00:00+00:00,2023,Veikkausliiga,Finland,KuPS,1,2,Inter Turku,Match Finished,10,4,0,3,0,0
2023-04-05T15:00:00+00:00,2023,Veikkausliiga,Finland,SJK,2,1,haka,Match Finished,7,3,2,1,0,0
2023-04-05T15:00:00+00:00,2023,Veikkausliiga,Finland,IFK Mariehamn,1,1,Ilves Tampere,Match Finished,1,3,1,0,0,0
2023-04-05T15:00:00+00:00,2023,Veikkausliiga,Finland,vaasa PS,0,0,FC Lahti,Match Finished,5,4,1,4,0,0
2023-04-05T15:00:00+00:00,2023,Veikkausliiga,Finland,Kooteepee,0,2,AC oulu,Match Finished,,,,,,
2023-04-14T15:00:00+00:00,2023,Veikkausliiga,Finland,Kooteepee,0,0,KuPS,Match Finished,7,5,3,2,0,0
2023-04-14T15:00:00+00:00,2023,Veikkausliiga,Finland,haka,2,2,AC oulu,Match Finished,,,,,,
2023-04-15T14:00:00+00:00,2023,Veikkausliiga,Finland,Honka,0,0,SJK,Match Finished,6,3,3,1,0,0
2023-04-15T10:00:00+00:00,2023,Veikkausliiga,Finland,Ilves Tampere,2,1,Inter Turku,Match Finished,1,6,4,1,0,0
