,date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
0,2023-08-04,2023,Championship,England,Sheffield Wednesday,1,2,Southampton,Match Finished
1,2023-08-05,2023,Championship,England,Blackburn,2,1,West Brom,Match Finished
2,2023-08-05,2023,Championship,England,Bristol City,1,1,Preston,Match Finished
3,2023-08-05,2023,Championship,England,Middlesbrough,0,1,Millwall,Match Finished
4,2023-08-05,2023,Championship,England,Norwich,2,1,Hull City,Match Finished
5,2023-08-05,2023,Championship,England,Plymouth,3,1,Huddersfield,Match Finished
6,2023-08-05,2023,Championship,England,Stoke City,4,1,Rotherham,Match Finished
7,2023-08-05,2023,Championship,England,Swansea,1,1,Birmingham,Match Finished
8,2023-08-05,2023,Championship,England,Watford,4,0,QPR,Match Finished
9,2023-08-06,2023,Championship,England,Leicester,2,1,Coventry,Match Finished
10,2023-08-06,2023,Championship,England,Leeds,2,2,Cardiff,Match Finished
11,2023-08-06,2023,Championship,England,Sunderland,1,2,Ipswich,Match Finished
12,2023-08-12,2023,Championship,England,Coventry,3,0,Middlesbrough,Match Finished
13,2023-08-12,2023,Championship,England,Birmingham,1,0,Leeds,Match Finished
14,2023-08-12,2023,Championship,England,Cardiff,1,2,QPR,Match Finished
15,2023-08-12,2023,Championship,England,Huddersfield,0,1,Leicester,Match Finished
16,2023-08-12,2023,Championship,England,Hull City,4,2,Sheffield Wednesday,Match Finished
17,2023-08-12,2023,Championship,England,Ipswich,2,0,Stoke City,Match Finished
18,2023-08-12,2023,Championship,England,Millwall,0,1,Bristol City,Match Finished
19,2023-08-12,2023,Championship,England,Preston,2,1,Sunderland,Match Finished
20,2023-08-12,2023,Championship,England,Rotherham,2,2,Blackburn,Match Finished
21,2023-08-12,2023,Championship,England,Southampton,4,4,Norwich,Match Finished
22,2023-08-12,2023,Championship,England,Watford,0,0,Plymouth,Match Finished
23,2023-08-12,2023,Championship,England,West Brom,3,2,Swansea,Match Finished
24,2023-08-18,2023,Championship,England,Leeds,1,1,West Brom,Match Finished
25,2023-08-19,2023,Championship,England,Plymouth,1,2,Southampton,Match Finished
26,2023-08-19,2023,Championship,England,Blackburn,1,2,Hull City,Match Finished
27,2023-08-19,2023,Championship,England,Bristol City,0,2,Birmingham,Match Finished
28,2023-08-19,2023,Championship,England,Leicester,2,1,Cardiff,Match Finished
29,2023-08-19,2023,Championship,England,Middlesbrough,1,1,Huddersfield,Match Finished
30,2023-08-19,2023,Championship,England,QPR,0,1,Ipswich,Match Finished
31,2023-08-19,2023,Championship,England,Sheffield Wednesday,0,1,Preston,Match Finished
32,2023-08-19,2023,Championship,England,Stoke City,1,0,Watford,Match Finished
33,2023-08-19,2023,Championship,England,Sunderland,2,1,Rotherham,Match Finished
34,2023-08-19,2023,Championship,England,Swansea,1,1,Coventry,Match Finished
35,2023-08-20,2023,Championship,England,Norwich,3,1,Millwall,Match Finished
36,2023-08-25,2023,Championship,England,Hull City,1,1,Bristol City,Match Finished
37,2023-08-26,2023,Championship,England,Birmingham,2,1,Plymouth,Match Finished
38,2023-08-26,2023,Championship,England,Cardiff,2,1,Sheffield Wednesday,Match Finished
39,2023-08-26,2023,Championship,England,Coventry,0,0,Sunderland,Match Finished
40,2023-08-26,2023,Championship,England,Huddersfield,0,4,Norwich,Match Finished
41,2023-08-26,2023,Championship,England,Ipswich,3,4,Leeds,Match Finished
42,2023-08-26,2023,Championship,England,Millwall,1,0,Stoke City,Match Finished
43,2023-08-26,2023,Championship,England,Preston,2,1,Swansea,Match Finished
