,date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
8348,2024-04-28,2023,Premier League,England,Bournemouth,,,Brighton,Not Started
8354,2024-04-28,2023,Premier League,England,Nottingham Forest,,,Manchester City,Not Started
8355,2024-04-28,2023,Premier League,England,Tottenham,,,Arsenal,Not Started
12223,2024-04-28,2023,Serie A,Italy,Atalanta,,,Empoli,Time to be defined
12224,2024-04-28,2023,Serie A,Italy,Bologna,,,Udinese,Time to be defined
12225,2024-04-28,2023,Serie A,Italy,Fiorentina,,,Sassuolo,Time to be defined
12226,2024-04-28,2023,Serie A,Italy,Frosinone,,,Salernitana,Time to be defined
12227,2024-04-28,2023,Serie A,Italy,Genoa,,,Cagliari,Time to be defined
12228,2024-04-28,2023,Serie A,Italy,Inter,,,Torino,Time to be defined
12229,2024-04-28,2023,Serie A,Italy,Juventus,,,AC Milan,Time to be defined
12230,2024-04-28,2023,Serie A,Italy,Lazio,,,Verona,Time to be defined
12231,2024-04-28,2023,Serie A,Italy,Lecce,,,Monza,Time to be defined
12232,2024-04-28,2023,Serie A,Italy,Napoli,,,AS Roma,Time to be defined
12975,2024-04-28,2023,La Liga,Spain,Real Betis,,,Sevilla,Not Started
12976,2024-04-28,2023,La Liga,Spain,Cadiz,,,Mallorca,Not Started
12977,2024-04-28,2023,La Liga,Spain,Granada CF,,,Osasuna,Not Started
12981,2024-04-28,2023,La Liga,Spain,Villarreal,,,Rayo Vallecano,Not Started
13429,2024-04-28,2023,Segunda División,Spain,Albacete,,,Eibar,Not Started
13430,2024-04-28,2023,Segunda División,Spain,Alcorcon,,,Eldense,Not Started
13435,2024-04-28,2023,Segunda División,Spain,Oviedo,,,Tenerife,Not Started
13436,2024-04-28,2023,Segunda División,Spain,Sporting Gijon,,,Villarreal II,Not Started
13438,2024-04-28,2023,Segunda División,Spain,Levante,,,FC Cartagena,Not Started
13439,2024-04-28,2023,Segunda División,Spain,Valladolid,,,Huesca,Not Started
13690,2024-04-28,2023,Primera División Femenina,Spain,Eibar W,,,Athletic Club W,Not Started
13691,2024-04-28,2023,Primera División Femenina,Spain,Real Sociedad W,,,Atletico Madrid W,Not Started
13692,2024-04-28,2023,Primera División Femenina,Spain,Real Madrid W,,,Levante Las Planas,Not Started
13911,2024-04-28,2023,NB I,Hungary,MTK Budapest,,,Ferencvarosi TC,Not Started
13912,2024-04-28,2023,NB I,Hungary,Kisvarda FC,,,Videoton FC,Not Started
14188,2024-04-28,2023,Jupiler Pro League,Belgium,Genk,,,Club Brugge KV,Not Started
14189,2024-04-28,2023,Jupiler Pro League,Belgium,Cercle Brugge,,,Anderlecht,Not Started
