Date,HomeTeam,HomeScore,AwayScore,AwayTeam
2023-09-23,Crystal Palace,0,0,Fulham
2023-10-08,Arsenal,1,0,Manchester City
2023-11-04,Everton,1,1,Brighton
2023-11-04,Manchester City,6,1,Bournemouth
2024-02-20,Manchester City,1,0,Brentford
2024-02-05,Brentford,1,3,Manchester City
2024-02-24,Bournemouth,0,1,Manchester City
2024-02-24,Brighton,1,1,Everton
2024-03-31,Manchester City,,,Arsenal
2024-04-27,Fulham,,,Crystal Palace
2024-03-31,Manchester City,0,0,Arsenal
2023-01-30,Boca Juniors,1,0,Atletico Tucuman
2023-02-12,Talleres Cordoba,2,1,Boca Juniors
2023-03-06,Tigre,0,1,Argentinos JRS
2023-03-25,Patronato,1,2,Club Atlético Güemes
2023-04-05,Club Atlético Güemes,0,0,Deportivo Moron
2023-02-25,Quilmes,2,1,Gimnasia Jujuy
2023-03-04,Gimnasia Jujuy,1,1,Brown DE Adrogue
2023-03-04,Atletico Mitre,2,0,Chaco For Ever
2023-03-12,Chaco For Ever,1,1,Chacarita Juniors
2023-03-18,Chacarita Juniors,1,1,Atletico Mitre
2023-04-30,Racing Cordoba,1,1,Atlanta
2023-07-01,Gimnasia Jujuy,0,1,Quilmes
2023-07-08,Brown DE Adrogue,1,0,Gimnasia Jujuy
2023-07-08,Chaco For Ever,1,0,Atletico Mitre
2023-07-15,Chacarita Juniors,1,0,Chaco For Ever
2023-07-23,Atletico Mitre,1,2,Chacarita Juniors
2023-09-10,Atlanta,2,2,Racing Cordoba
2023-07-30,Club Atlético Güemes,1,0,Patronato
2023-08-16,Deportivo Moron,1,1,Club Atlético Güemes
2023-03-12,Huracan Las Heras,1,0,San Martín Mendoza
2023-05-13,San Martín Mendoza,1,0,Huracan Las Heras
2023-07-02,Huracan Las Heras,1,0,San Martín Mendoza
2023-09-02,San Martín Mendoza,2,2,Huracan Las Heras
2023-04-15,Sportivo Las Parejas,0,1,El Linqueño
2023-06-11,El Linqueño,1,2,Sportivo Las Parejas
2023-08-02,Sportivo Las Parejas,3,1,El Linqueño
2023-09-30,El Linqueño,3,0,Sportivo Las Parejas
2023-03-19,San Martín Mendoza,1,0,Atenas
2023-05-18,Atenas,1,0,San Martín Mendoza
2023-07-09,San Martín Mendoza,0,2,Atenas
2023-09-09,Atenas,1,0,San Martín Mendoza
2023-10-30,Lazio,1,0,Fiorentina
2024-02-26,Fiorentina,2,1,Lazio
2023-10-08,Como,1,3,Cremonese
2023-11-04,Pisa,1,1,Como
2023-12-10,Como,2,1,Modena
2024-03-09,Cremonese,2,1,Como
2024-03-16,Como,3,1,Pisa
2024-05-05,Modena,,,Como
2023-12-10,Barcelona,2,4,Girona
2024-05-04,Girona,,,Barcelona
2023-10-21,Barcelona W,6,1,Granada
2023-11-05,Barcelona W,8,0,Sevilla W
2023-12-09,Real Madrid W,1,3,Sevilla W
2024-01-07,Real Sociedad W,3,3,Granad. Tenerife W
2024-02-10,Sevilla W,0,3,Barcelona W
2024-03-09,Sevilla W,0,1,Real Madrid W
2024-05-04,Granada,,,Barcelona W
2024-05-12,Granad. Tenerife W,,,Real Sociedad W
2023-08-06,Videoton FC,3,5,Ferencvarosi TC
2023-08-13,Ferencvarosi TC,1,2,Puskas Academy
2023-08-18,Puskas Academy,2,2,Videoton FC
2023-08-27,Debreceni VSC,1,3,MTK Budapest
2023-11-12,Ferencvarosi TC,0,1,Videoton FC
2023-11-26,Puskas Academy,1,1,Ferencvarosi TC
2023-12-02,Videoton FC,3,1,Puskas Academy
2023-12-09,MTK Budapest,2,1,Debreceni VSC
2024-03-10,Videoton FC,0,2,Ferencvarosi TC
2024-03-17,Ferencvarosi TC,1,1,Puskas Academy
2024-03-29,Puskas Academy,0,0,Videoton FC
2024-04-06,Debreceni VSC,1,2,MTK Budapest
2023-08-06,KV Mechelen,0,1,Gent
2023-08-13,Cercle Brugge,0,1,Genk
2023-09-28,Club Brugge KV,1,1,Genk
2023-09-03,Genk,1,1,Anderlecht
2023-09-17,OH Leuven,1,1,Gent
2023-09-24,Anderlecht,1,1,Club Brugge KV
2023-10-29,Club Brugge KV,2,1,Antwerp
2023-10-29,Gent,3,1,Standard Liege
2023-11-05,Union St. Gilloise,2,1,Club Brugge KV
2023-11-12,Club Brugge KV,0,0,Cercle Brugge
2023-12-23,Anderlecht,2,1,Genk
2023-12-21,Gent,4,0,OH Leuven
2023-12-26,Club Brugge KV,1,1,Union St. Gilloise
2024-01-20,Genk,1,1,Cercle Brugge
2024-01-19,Gent,1,2,KV Mechelen
2024-02-04,Antwerp,2,1,Club Brugge KV
2024-02-18,Cercle Brugge,1,1,Club Brugge KV
2024-02-25,Club Brugge KV,1,2,Anderlecht
2024-03-02,Standard Liege,4,2,Gent
2024-03-03,Genk,0,3,Club Brugge KV
2024-04-01,Cercle Brugge,1,1,Club Brugge KV
2024-04-07,Club Brugge KV,3,1,Anderlecht
2024-04-13,Genk,1,1,Cercle Brugge
2024-04-14,Club Brugge KV,3,0,Antwerp
2024-04-20,Genk,,,Anderlecht
2024-04-21,Union St. Gilloise,,,Club Brugge KV
2024-04-24,Club Brugge KV,,,Genk
2024-04-28,Genk,,,Club Brugge KV
2024-05-04,Cercle Brugge,,,Genk
2024-05-05,Antwerp,,,Club Brugge KV
2024-05-11,Anderlecht,,,Genk
2024-05-13,Club Brugge KV,,,Union St. Gilloise
