Date,HomeTeam,HomeScore,AwayScore,AwayTeam
2023-08-12,Athletic Club,0,2,Real Madrid
2023-08-19,Almeria,1,3,Real Madrid
2023-08-25,Celta Vigo,0,1,Real Madrid
2023-09-02,Real Madrid,2,1,Getafe
2023-09-17,Real Madrid,2,1,Real Sociedad
2023-09-24,Atletico Madrid,3,1,Real Madrid
2023-09-27,Real Madrid,2,0,Las Palmas
2023-09-30,Girona,0,3,Real Madrid
2023-10-07,Real Madrid,4,0,Osasuna
2023-10-21,Sevilla,1,1,Real Madrid
2023-10-28,Barcelona,1,2,Real Madrid
2023-11-05,Real Madrid,0,0,Rayo Vallecano
2023-11-11,Real Madrid,5,1,Valencia
2023-11-26,Cadiz,0,3,Real Madrid
2023-12-02,Real Madrid,2,0,Granada CF
2023-12-09,Real Betis,1,1,Real Madrid
2023-12-17,Real Madrid,4,1,Villarreal
2023-12-21,Alaves,0,1,Real Madrid
2024-01-03,Real Madrid,1,0,Mallorca
2024-02-01,Getafe,0,2,Real Madrid
2024-01-21,Real Madrid,3,2,Almeria
2024-01-27,Las Palmas,1,2,Real Madrid
2024-02-04,Real Madrid,1,1,Atletico Madrid
2024-02-10,Real Madrid,4,0,Girona
2024-02-18,Rayo Vallecano,1,1,Real Madrid
2024-02-25,Real Madrid,1,0,Sevilla
2024-03-02,Valencia,2,2,Real Madrid
2024-03-10,Real Madrid,4,0,Celta Vigo
2024-03-16,Osasuna,2,4,Real Madrid
2024-03-31,Real Madrid,2,0,Athletic Club
2024-04-13,Mallorca,0,1,Real Madrid
2024-04-21,Real Madrid,,,Barcelona
2024-04-26,Real Sociedad,,,Real Madrid
2024-05-04,Real Madrid,,,Cadiz
2024-05-12,Granada CF,,,Real Madrid
2024-05-15,Real Madrid,,,Alaves
2024-05-19,Villarreal,,,Real Madrid
2024-05-26,Real Madrid,,,Real Betis
2023-10-05,Barcelona W,6,0,Valencia W
2023-09-16,Madrid CFF W,0,2,Barcelona W
2023-10-01,Sporting Huelva W,1,2,Barcelona W
2023-10-08,Barcelona W,3,0,Real Sociedad W
2023-10-15,Atletico Madrid W,0,1,Barcelona W
2023-10-21,Barcelona W,6,1,Granada
2023-11-05,Barcelona W,8,0,Sevilla W
2023-11-11,Villarreal W,0,6,Barcelona W
2023-11-19,Barcelona W,5,0,Real Madrid W
2023-11-26,Athletic Club W,0,4,Barcelona W
2023-12-09,Barcelona W,5,0,Eibar W
2023-12-17,Granad. Tenerife W,0,2,Barcelona W
2024-01-06,Barcelona W,9,1,Levante Las Planas
2024-02-14,Barcelona W,1,1,Levante W
2024-01-28,Real Betis W,0,6,Barcelona W
2024-02-04,Barcelona W,4,0,Sporting Huelva W
2024-02-10,Sevilla W,0,3,Barcelona W
2024-02-18,Barcelona W,2,0,Atletico Madrid W
2024-03-10,Real Sociedad W,1,7,Barcelona W
2024-03-17,Barcelona W,7,0,Granad. Tenerife W
2024-03-24,Real Madrid W,0,3,Barcelona W
2024-03-31,Levante W,0,5,Barcelona W
2024-04-13,Barcelona W,5,1,Villarreal W
2024-04-24,Levante Las Planas,,,Barcelona W
2024-05-01,Barcelona W,,,Madrid CFF W
2024-05-04,Granada,,,Barcelona W
2024-05-12,Barcelona W,,,Athletic Club W
2024-05-26,Eibar W,,,Barcelona W
2024-06-09,Barcelona W,,,Real Betis W
2024-06-16,Valencia W,,,Barcelona W
2023-08-05,Crawley Town,1,0,Bradford
2023-08-05,Wrexham,3,5,Milton Keynes Dons
2023-08-12,AFC Wimbledon,1,1,Wrexham
2023-08-12,Bradford,2,1,Colchester
2023-08-15,Stockport County,1,1,Bradford
2023-08-15,Wrexham,4,2,Walsall
2023-08-19,Morecambe,3,0,Bradford
2023-08-19,Wrexham,5,5,Swindon Town
2023-08-26,Barrow,1,1,Wrexham
2023-08-26,Bradford,1,0,Crewe
2023-09-02,Mansfield Town,0,0,Bradford
2023-09-02,Tranmere,0,1,Wrexham
2023-09-09,Bradford,1,1,Grimsby
2023-09-09,Wrexham,2,1,Doncaster
2023-09-16,Bradford,1,1,Harrogate Town
2023-09-16,Wrexham,3,0,Grimsby
2023-09-23,Newport County,1,4,Bradford
2023-09-23,Stockport County,5,0,Wrexham
2023-09-30,Bradford,1,3,Walsall
2023-09-30,Wrexham,3,3,Crewe
2023-10-03,Mansfield Town,0,0,Wrexham
2023-10-03,Tranmere,2,1,Bradford
2023-10-07,Bradford,1,0,Swindon Town
2023-10-07,Crawley Town,0,1,Wrexham
2023-10-14,AFC Wimbledon,0,1,Bradford
2023-10-14,Wrexham,3,2,Salford City
2023-10-21,Bradford,1,1,Wrexham
2023-10-24,Milton Keynes Dons,4,1,Bradford
2023-10-24,Wrexham,2,1,Sutton Utd
2023-10-28,Notts County,0,2,Wrexham
2023-10-28,Sutton Utd,2,1,Bradford
2023-11-11,Bradford,1,2,Barrow
2023-11-11,Wrexham,2,0,Gillingham
2023-11-18,Accrington ST,2,0,Wrexham
2023-11-18,Notts County,4,2,Bradford
2023-11-25,Bradford,1,0,Accrington ST
2023-11-25,Wrexham,6,0,Morecambe
2023-11-28,Forest Green,0,3,Bradford
2023-11-28,Harrogate Town,2,2,Wrexham
2024-01-23,Bradford,1,1,Salford City
2024-02-27,Forest Green,1,1,Wrexham
2023-12-16,Gillingham,0,2,Bradford
2023-12-16,Wrexham,2,1,Colchester
2023-12-22,Doncaster,1,3,Bradford
2023-12-23,Wrexham,2,0,Newport County
2023-12-26,Bradford,2,2,Morecambe
2023-12-26,Swindon Town,0,1,Wrexham
2023-12-29,Bradford,0,0,Stockport County
2023-12-29,Walsall,3,1,Wrexham
2024-01-01,Crewe,1,0,Bradford
2024-01-01,Wrexham,4,1,Barrow
2024-01-06,Bradford,2,4,Crawley Town
2024-02-20,Milton Keynes Dons,1,1,Wrexham
2024-01-13,Colchester,1,1,Bradford
2024-01-13,Wrexham,2,0,AFC Wimbledon
2024-03-05,Bradford,1,1,Doncaster
2024-01-20,Newport County,1,0,Wrexham
